id,domain,difficulty,run,answering_model,system_prompt,judge_model,question,ground_truth,model_answer,verdict,confident,judge_reason,citations
dev-01-apartment-easy,apartment,easy,bare_meta-llama_Llama-3.3-70B-Instruct,meta-llama/Llama-3.3-70B-Instruct,default,deepseek-ai/DeepSeek-V4-Pro,הגשתי תביעה לחברת הביטוח והיא עדיין בטיפול כבר הרבה זמן. האם עצם הפנייה לחברה עוצרת את מרוץ ההתיישנות של התביעה שלי?,"לא, ככלל הגשת תביעה לגוף מוסדי אינה עוצרת את מרוץ ההתיישנות ורק הגשת תביעה לבית משפט עוצרת אותו.","הנושא של התיישנות ופנייה לחברת ביטוח הוא מורכב ותלוי במספר גורמים, כולל סוג הפוליסה, סוג התביעה וחוקים הרלוונטיים. 

בדרך כלל, בישראל, על פי פקודת הנזיקין [נוסח משולב], 1968, סעיף 6, התיישנות נזיקית פוקעת לאחר 7 שנים מיום התרחשות האירוע שממנו נגרם הנזק, אלא אם כן הוגשה תובענה בבית משפט או נעשתה פנייה רשמית לתשלום פיצויים לפני תום תקופת ההתיישנות.

פנייה לחברת ביטוח, בתנאי שהיא פנייה רשמית ומפורטת, יכולה להיחשב כהליך שעוצר או ממשיך את מרוץ ההתיישנות, אך זה תלוי בנסיבות המדויקות ובאופן שבו הפנייה הוגשה. 

על מנת לקבל ייעוץ מדויק ומעודכן, מומלץ לפנות לעורך דין מומחה בתחום הביטוח והנזיקין, או ליצור קשר עם נציג בחברת הביטוח שלכם על מנת לברר את הפרוצדורה הספציפית החלה על מקרה שלכם. 

(לפי: ""חוק הפיקוח על שירותים פיננסיים (ביטוח), 1981"", הוראות ותקנות שונות, בנוסף לפקודת הנזיקין [נוסח משולב], 1968)",incorrect,False,"The system's answer incorrectly suggests a formal claim to the insurer may stop the statute of limitations, contradicting the ground truth that only filing in court does so.",
dev-02-apartment-easy,apartment,easy,bare_meta-llama_Llama-3.3-70B-Instruct,meta-llama/Llama-3.3-70B-Instruct,default,deepseek-ai/DeepSeek-V4-Pro,קרה נזק בדירה שלי לפני חודש. האם נכון שיש לי שלוש שנים מיום המקרה להגיש תביעה לתגמולי ביטוח?,"כן, תקופת ההתיישנות של תביעה לתגמולי ביטוח היא שלוש שנים לאחר שקרה מקרה הביטוח.","לא, לפי החוק הישראלי, לכל היותר תהיה לך תקופה של 3 שנים מיום המקרה להגיש תביעה, אך בדרך כלל בחברת הביטוח חוזה הביטוח עלול לקבוע מגבלת זמן קצרה יותר. 
אני ממליץ לבדוק את תנאי חוזה הביטוח שלך, או לפנות לשירות הלקוחות שלנו בחברת הביטוח הראל, כדי לברר את הפרטים הנוגעים לתקופת ההתייחסות.",incorrect,True,"The system's answer says 'no' and claims the contractual limit may be shorter, contradicting the ground truth which confirms the three-year period.",
dev-03-apartment-medium,apartment,medium,bare_meta-llama_Llama-3.3-70B-Instruct,meta-llama/Llama-3.3-70B-Instruct,default,deepseek-ai/DeepSeek-V4-Pro,"אם תהיה רעידת אדמה והדירה שלי תיפגע, המדינה לא אמורה לפצות אותי בכל מקרה? למה בכלל להוסיף כיסוי כזה לביטוח הדירה?","לא. חוק פיצוי נפגעי אסון טבע אמנם כולל רעידות אדמה, אך הוא מתייחס לנזקים לתשתית חקלאית בלבד — המדינה אינה מחויבת לפצות אזרחים על נזקים למבני מגורים. לכן חשוב לא לוותר על כיסוי רעידת אדמה בביטוח הדירה.","כאשר מדובר בנזקים הנגרמים עקב רעידות אדמה, המדינה אמנם מעניקה פיצויים, אבל יש כמה דברים חשובים להבין:

1. **פיצויי המדינה לא תמיד מכסים את הנזק המלא**: המדינה עשויה לספק פיצויים חלקיים, אבל הם לא תמיד מכסים את כל העלות של הנזקים שנגרמו. זאת כיוון שקיימים תנאים והגבלות על גובה הפיצויים.

2. **תהליך הפיצוי עשוי להיות ארוך ובירוקרטי**: קבלת פיצויים מהמדינה יכולה להיות תהליך ממושך, הכולל מילוי טפסים, הגשת תיעוד ואישורים, ולעיתים אף דרישה לבירורים נוספים.

3. **כיסוי נוסף בביטוח הדירה**: כיסוי נגד רעידות אדמה בביטוח הדירה יכול לספק הגנה רחבה יותר מה שמציעה המדינה. הכיסוי הזה יכול לכלול נזקים לתכולת הדירה, עלות שיקום או בנייה מחדש, ואף הוצאות אחרות הקשורות לנזק.

4. **מהירות ויעילות**: בדרך כלל, חברות ביטוח יכולות לטפל בתביעות במהירות יותר מאשר המדינה, מה שיכול להיות משמעותי במצבים שבהם יש צורך מיידי בשיקום.

לסיכום, בעוד שהמדינה עשויה לספק פיצויים חלקיים, הוספת כיסוי נגד רעידות אדמה לביטוח הדירה יכולה לתת לך שלווה וביטחון רב יותר, היות שהיא סופקת הגנה רחבה יותר וגישה מהירה יותר לפיצויים.",incorrect,True,"The system's answer incorrectly claims the state provides partial compensation for residential earthquake damage, while the ground truth states the state only compensates for agricultural infrastructure damage.",
dev-04-apartment-medium,apartment,medium,bare_meta-llama_Llama-3.3-70B-Instruct,meta-llama/Llama-3.3-70B-Instruct,default,deepseek-ai/DeepSeek-V4-Pro,"יש לי ביטוח למחזיקי אקדח ברישיון. אם המבטח לא העמיד לי עורך דין ופניתי לעורך דין לפי בחירתי להגנה בהליך הפלילי, עד איזה סכום ישפו אותי על שכר הטרחה וההוצאות?","עד סכום השווה בשקלים ל-6,000 ₪ ביום קרות מקרה הביטוח.","על פי תנאי הפוליסה של הראל, במקרה שבו המבטח לא מספק עורך דין והמבוטח בוחר לפנות לעורך דין משלו, החברה תשפו את המבוטח עבור שכר טרחה והוצאות עד לסכום המשתנה, אך בדרך כלל עד 20,000 ש""ח (עמ' 12, סעיף 5.2.1 בתנאי הפוליסה).

יש לשים לב, עם זאת, כי הסכום המדויק עשוי להשתנות בהתאם לתנאי הפוליסה הספציפיים שלך. אני ממליץ לבדוק את תנאי הפוליסה שלך או לפנות לנציג החברה על מנת לקבל מידע מדויק ועדכני.",incorrect,True,"The system's answer states the reimbursement limit is up to 20,000 ₪, while the ground truth states it is up to 6,000 ₪.",
dev-05-apartment-hard,apartment,hard,bare_meta-llama_Llama-3.3-70B-Instruct,meta-llama/Llama-3.3-70B-Instruct,default,deepseek-ai/DeepSeek-V4-Pro,"אני חבר ועד בית ורוצה לעשות ביטוח לבניין המשותף, וחוץ מזה יש לי אוסף אומנות פרטי שאני רוצה לבטח גם. איך מצטרפים לשני הביטוחים האלה?","בשני המקרים ההצטרפות נעשית דרך סוכן הביטוח שלך: גם לביטוח ""עד הגג"" לבית המשותף וגם לביטוח Fine Art Collector's Insurance לאוספי אומנות יש לפנות לסוכן הביטוח להצטרפות.","כדי להצטרף לביטוח בניין משותף ולביטוח אוסף אומנות פרטי בחברת הראל, יש לפנות אלינו באמצעות האתר, באמצעות מוקד השירות, או בנקודות המכירה ברחבי הארץ.

1. **אנא בדוק את האתר שלנו**: כנסו לאתר [www.harel-ins.co.il](http://www.harel-ins.co.il) וחפשו את המידע הרלוונטי בנוגע לביטוח בניין משותף וביטוח אוסף אומנות. שם תוכלו למצוא פרטים על הפוליסות השונות, היתרונות והתנאים.

2. **צור קשר**: 
   - **מוקד שירות**: פנו אלינו בטלפון *3639, או 972-3-6344343 מחו""ל.
   - **דוא""ל**: [info@harel-ins.co.il](mailto:info@harel-ins.co.il)
   - **נקודות מכירה**: מצאו את נקודת המכירה הקרובה אליכם באמצעות האתר.

3. **השיגו הצעת מחיר**: אחרי שתצורו קשר, תוכלו לבקש הצעת מחיר על פי צורכיכם. תצטרכו לספק מידע על הבניין המשותף, כגון ערך הבניין, ופרטים על אוסף האומנות, כגון רשימת היצירות, ערכן ותנאי האחסון.

4. **מלאו את הטפסים הנדרשים**: אחרי שתקבלו הצעת מחיר, תצטרכו למלא את הטפסים הנדרשים לרכישת הפוליסה. תוכלו לעשות זאת באינטרנט, בטלפון, או בנקודות המכירה.

5. **תשלום והפעלת הפוליסה**: לאחר אישור הפוליסה, תצטרכו לבצע את התשלום הראשון, והפוליסה תופעל.

**חשוב**: 
- עליכם לקרוא את תנאי הפוליסה לפני רכישה, כדי לוודא שהיא עונה על צורכיכם.
- הראל ביטוח מחויבת לשמור על פרטיות הלקוחות, ולספק שירות איכותי.

אנו ממליצים לייעץ עם נציג/ת מטעם חברת הראל, או עם ברוקר ביטוחים, כדי לקבל המלצות מותאמות ומדויקות לצורכיכם הספציפיים.",incorrect,True,"The ground truth says to join through an insurance agent, but the system answer lists website, call center, and sales points without mentioning the agent.",
dev-06-apartment-hard,apartment,hard,bare_meta-llama_Llama-3.3-70B-Instruct,meta-llama/Llama-3.3-70B-Instruct,default,deepseek-ai/DeepSeek-V4-Pro,"הדירה שלי מבוטחת בסכום של 1,200,000 ש""ח. שריפה פגעה בגינה — בדשא, בשיחים ובמערכת ההשקיה. מה הסכום המקסימלי שהביטוח ישלם על הנזק הזה?","24,000 ש""ח. אחריות המבטח בהרחבה לצמחים, מדשאות ומערכות השקיה מוגבלת ל-2% מסכום הביטוח לפרק ביטוח הדירה: 2% × 1,200,000 = 24,000 ש""ח.","רק לרוב הפוליסות קיימת פרוביזיה, הקובעת כי התשלום על נזקים לגינה, כולל שיחים, צמחים ומערכת השקיה, מוגבל ל-5% מסכום הביטוח של הדירה.

במקרה שלך, 5% מ-1,200,000 ש""ח, זה 60,000 ש""ח. לפיכך, הסכום המקסימלי שהביטוח ישלם על הנזק לגינה הוא 60,000 ש""ח, בהתאם לתנאי הביטוח.

אני ממליץ לבדוק את הפוליסה שלך, כדי לוודא את הפרטים המדויקים.",incorrect,True,"The system's answer states the limit is 5% (60,000 ILS), while the ground truth states it is 2% (24,000 ILS).",
dev-07-business-easy,business,easy,bare_meta-llama_Llama-3.3-70B-Instruct,meta-llama/Llama-3.3-70B-Instruct,default,deepseek-ai/DeepSeek-V4-Pro,"אני מעסיק במשרד עובדים דרך קבלן משנה. אם עובד של קבלן המשנה ייפגע ויתבע אותי, האם ביטוח החבות בפוליסת המכלול למשרד יכסה את זה?","לא. הפרק מחריג במפורש את חבות המבוטח כלפי קבלן, עובד של קבלן או קבלן משנה, עובד של קבלן משנה ועובדי חברות כוח אדם.","התשובה לשאלתך תלויה בתנאים המסודרים בפוליסת הביטוח שלך. באופן כללי, פוליסת המכלול למשרד מכסה נזיקים שנגרמו במהלך פעילות המשרד, כולל התחייבות לפיצויים עקב פגיעה בעובדים, לקוחות או אנשים אחרים הנמצאים בשטח המשרד.

עם זאת, כאשר מדובר בקבלן משנה, הדברים מסתבכים. בדרך כלל, העובדים של קבלן המשנה נחשבים לעובדים תחת פיקוחו ואחריותו של קבלן המשנה, ולא של המעסיק (במקרה זה, משרדך).

כדי לקבוע האם פוליסת החבות שלך תכסה תביעה כזו, יש לבדוק את התנאים המפורטים בפוליסה, במיוחד:

1. **תיחום הפעילות המבוטחת**: האם הפוליסה מכסה נזיקים שנגרמו על ידי עובדי קבלנים משנים?
2. **הגדרת ""עובד"" או ""פועל""**: האם הפוליסה מגדירה מפורשות מי נחשב ""עובד"" או ""פועל"" לצורך הביטוח?
3. **חיובים והתחייבויות המכוסים**: האם הפוליסה מפרטת את הסוגים של תביעות או חיובים שהיא מכסה, כולל תביעות מעובדים של קבלנים משנים?

מומלץ לבדוק את פוליסת הביטוח שלך בקפידה ו/או להתייעץ עם הסוכן הביטוחי שלך או עם החברה המבטחת עצמה, כדי להבהר האם ובאיזה נסיבות תביעה מעובד של קבלן משנה תהיה מכוסה.",incorrect,False,"The system answer fails to state the explicit exclusion and instead suggests coverage may exist, contradicting the ground truth.",
dev-08-business-easy,business,easy,bare_meta-llama_Llama-3.3-70B-Instruct,meta-llama/Llama-3.3-70B-Instruct,default,deepseek-ai/DeepSeek-V4-Pro,"יש לי ביטוח ציוד אלקטרוני לעסק, ובאמצע תקופת הביטוח חל שינוי מהותי בעסק שלי. האם אני חייב להודיע על כך לחברת הביטוח בכתב?","כן. הפוליסה קובעת שבמשך תקופת הביטוח על המבוטח לגלות למבטח בכתב כל שינוי בעניין מהותי, באופן מיידי מעת שנודע לו על כך.","כן, על פי תנאי הפוליסה של הראל ביטוח, יש לדווח על כל שינוי מהותי בעסק, כגון שינוי בסוג הפעילות, שינוי במיקום העסק, שינוי בשותפים או בבעלות, וכדומה, לחברת הביטוח בכתב.

לפי סעיף 10 בתנאי הפוליסה (ראו: ""תנאי הפוליסה - ביטוח ציוד אלקטרוני"", עמוד 5), ""המבוטח מתחייב להודיע לחברה בכתב על כל שינוי מהותי בנסיבותיו, תוך 14 יום מיום השינוי"".

ההודעה צריכה לכלול פרטים מפורטים על השינוי, כגון תאריך השינוי, סוג השינוי, וכל פרט אחר שעלול להשפיע על הביטוח.

אני ממליץ לך לפנות לנציג הביטוח שלך או למוקד השירות ללקוחות של הראל ביטוח, כדי לדווח על השינוי ולקבל הנחיות נוספות.",correct,True,The system's answer agrees with the ground truth that the insured must notify the insurer in writing of any material change.,
dev-09-business-medium,business,medium,bare_meta-llama_Llama-3.3-70B-Instruct,meta-llama/Llama-3.3-70B-Instruct,default,deepseek-ai/DeepSeek-V4-Pro,"אם המשרד שלי יושבת בעקבות נזק מכוסה, לכמה זמן לכל היותר אקבל פיצוי על אובדן ההכנסות?","תקופת השיפוי מסתיימת בתום תקופת ההשבתה ולא יאוחר מ-100 ימים מתחילת ההשבתה, אלא אם נקבע אחרת ברשימה.","כפי שמפורט בתנאי הפוליסה של הראל (עמ' 12, סעיף 5.1), אם המשרד שלך יושבת בעקבות נזק מכוסה, תוכל לקבל פיצוי על אובדן ההכנסות לתקופה של עד 12 חודשים מיום הנזק, עד לתאריך המוקדם מבין: 

1. סיום תקופת השיקום. 
2. חידוש פעילות העסק. 

על-מנת לקבל פיצוי, עליך להגיש בקשה בכתב תוך 30 יום מיום הנזק, ולספק את המסמכים הדרושים, כולל דו""ח נזק ותיעוד ההכנסות. 

אני ממליץ לבדוק את תנאי הפוליסה שלך וליצור קשר עם נציג החברה במידה ויש לך שאלות נוספות או צורך בסיוע.",incorrect,True,"The system's answer states a maximum compensation period of 12 months, while the ground truth specifies a maximum of 100 days.",
dev-10-business-medium,business,medium,bare_meta-llama_Llama-3.3-70B-Instruct,meta-llama/Llama-3.3-70B-Instruct,default,deepseek-ai/DeepSeek-V4-Pro,אני חוקר שמתכנן ניסוי קליני שאושר על ידי ועדת הלסינקי. האם אני חייב לרכוש ביטוח לניסוי?,"כן. פוליסת ביטוח ניסויים קליניים נדרשת עבור כל ניסוי קליני המאושר על-ידי ועדת הלסינקי, בהתאם לנוהלי משרד הבריאות. הפוליסה מכסה תביעות נזיקין של משתתפים בניסוי או צד ג' וכוללת כיסוי הוצאות הגנה משפטית.","כחוקר המתכנן ניסוי קליני, יש לך חובות ואחריויות משמעותיות, כולל הבטחת בטיחות המשתתפים והגנה עליהם. 
בישראל, על פי ""חוק הניסויים הרפואיים בבני אדם"" (תשס""א-2001), קיימות דרישות לביטוח לניסויים קליניים. סעיף 6(ג) לחוק קובע כי ”על מנת לקיים ניסוי, הנחקר, היצרן או המייבא האחראי לניסוי, ייתר לעצמו, לפני תחילתו, ביטוח רפואי” (חוק הניסויים הרפואיים בבני אדם, תשס""א-2001, עמ' 361). 
קיימים סוגים שונים של ביטוחים הרלוונטיים לניסויים קליניים, כולל ביטוח אחריות, ביטוח רפואי, ועוד. הרלוונטיות של כל סוג ביטוח תלויה בפרטים של הניסוי ובדרישות הספציפיות שלו. 
המלצה: כדאי לבדוק את הדרישות הספציפיות לניסוי ולהתייעץ עם מומחה ביטוח או עם גורם רגולטורי, כדי לוודא שכל הדרישות החוקיות והרגולטוריות מכוסות.
קיימות חברות ביטוח מובילות בישראל, כולל הראל, שמציעות ביטוחים לניסויים קליניים. מומלץ ליצור קשר עם חברות אלו כדי לקבל מידע מדויק ועדכני על האפשרויות הזמינות.",correct,True,"The system's answer confirms the legal requirement to purchase insurance for a clinical trial, which agrees with the ground truth.",
