id,domain,difficulty,run,answering_model,system_prompt,judge_model,question,ground_truth,model_answer,verdict,confident,judge_reason,citations
dev-01-apartment-easy,apartment,easy,bare_zai-org_GLM-5.2,zai-org/GLM-5.2,default,deepseek-ai/DeepSeek-V4-Pro,הגשתי תביעה לחברת הביטוח והיא עדיין בטיפול כבר הרבה זמן. האם עצם הפנייה לחברה עוצרת את מרוץ ההתיישנות של התביעה שלי?,"לא, ככלל הגשת תביעה לגוף מוסדי אינה עוצרת את מרוץ ההתיישנות ורק הגשת תביעה לבית משפט עוצרת אותו.",,refusal,False,"The system's answer is empty, providing no information.",
dev-02-apartment-easy,apartment,easy,bare_zai-org_GLM-5.2,zai-org/GLM-5.2,default,deepseek-ai/DeepSeek-V4-Pro,קרה נזק בדירה שלי לפני חודש. האם נכון שיש לי שלוש שנים מיום המקרה להגיש תביעה לתגמולי ביטוח?,"כן, תקופת ההתיישנות של תביעה לתגמולי ביטוח היא שלוש שנים לאחר שקרה מקרה הביטוח.","שלום רב,

תשובה לשאלתך: מבחינה חוקית, אכן נכון שקיימת תקופת התיישנות של שלוש שנים, אך מבחינה חוזית ופרקטית, חשוב מאוד לדווח על הנזק באופן מיידי. 

**ההסבר המפורט:**
על פי **סעיף 44(א) לחוק חוזה הביטוח, התשמ""א-1981**: ""תביעה לתגמולי ביטוח מתיישנת בתום שלוש שנים מיום שאירע מקרה הביטוח שעליו מבוססת התביעה"". לכן, מבחינה חוקית קיימת אכן תקופת התיישנות של שלוש שנים ממועד אירוע הנזק.

עם זאת, חשוב להדגיש כי תקנון פוליסת ביטוח הרכוש של הראל (וכן פוליסות רכוש אחרות) מחייב את המבוטח **לדווח לחברת הביטוח על מקרה הביטוח בהקדם האפשרי וללא דיחוי** מרגע גילוי הנזק. 

הסיבה לכך היא שחברת הביטוח צריכה לאפשר לשמאי מטעמה לבדוק את הנזק, להעריך את היקפו ולמנוע החמרה שלו. דחיית דיווח הנזק, אפילו בחודש, עלולה לפגוע ביכולת שלנו לאשר את התביעה, מאחר שהיקף הנזק עשוי להשתנות, או שיהיה קשה להוכיח את הגורם לנזק ושלא חלה החמרה עקב הזמן שחלף. במקרים מסוימים, דיווח מאוחר מאוד עלול אף להוות עילה לדחיית התביעה בשל הפרת חובת הדיווח החוזית.

**מה כדאי לעשות כעת?**
למרות שחלפו חודש מהמקרה, כדאי ורצוי לדווח על הנזק בהקדם האפשרי. ניתן לפתוח תביעה באזור האישי באתר הראל או באפליקציית ""הראל שלי"", או לפנות למוקד התביעות שלנו בטלפון *2520, ונציגנו ישמחו לסייע לך בהגשת התביעה ובמיצוי הזכויות מול הפוליסה. 

אני עומד/ת לרשותך אם יש לך שאלות נוספות או אם זקוק/ה לסיוע בשלב פתיחת התביעה.",correct,True,"The system's answer confirms the three-year limitation period from the date of the incident, matching the ground truth.",
dev-03-apartment-medium,apartment,medium,bare_zai-org_GLM-5.2,zai-org/GLM-5.2,default,deepseek-ai/DeepSeek-V4-Pro,"אם תהיה רעידת אדמה והדירה שלי תיפגע, המדינה לא אמורה לפצות אותי בכל מקרה? למה בכלל להוסיף כיסוי כזה לביטוח הדירה?","לא. חוק פיצוי נפגעי אסון טבע אמנם כולל רעידות אדמה, אך הוא מתייחס לנזקים לתשתית חקלאית בלבד — המדינה אינה מחויבת לפצות אזרחים על נזקים למבני מגורים. לכן חשוב לא לוותר על כיסוי רעידת אדמה בביטוח הדירה.","# רעידת אדמה – פיצוי מהמדינה לעומת ביטוח פרטי

באכן, המדינה אכן מפצה בגין נזקי רעידת אדמה למבני מגורים, דרך מס הרכוש, אך חשוב להבין את המגבלות:

## מה כן מכסה המדינה
- נזק ישיר למבנה המגורים עצמו (בכפוף לתקרות פיצוי שנקבעו בחוק)
- הפיצוי ניתן בדר""כ לאחר שהאזור מוכרז כ""אזור אסון""

## למה כדאי בכל זאת להוסיף כיסוי לביטוח הדירה

- **תכולה** – פיצוי המדינה אינו מכסה נזק לתכולת הדירה (ריהוט, מכשירי חשמל, וכדומה)
- **תקרות פיצוי מוגבלות** – הפיצוי הממשלתי ניתן בכפוף לתקרות שנקבעו בחוק, ועלול לא לכסות את עלות השיפוץ המלא
- **הוצאות נלוות** – ביטוח פרטי יכול לכסות הוצאות נלוות כמו שכירת דירה חלופית בתקופת השיפוץ, פינוי הריסות, ועוד
- **זמן טיפול** – תהליך הפיצוי הממשלתי עומד בתורים ארוכים, בעוב שביטחון פרטי עשוי לזרז את ההליך
- **סוגי נכסים מסוימים** – ייתכן שלא יכוסו או יקבלו פיצוי חלקי בלבד דרך המדינה

💡 **כדלקן**: מומלץ לבדוק את לגבי הרחבת ביטוח הדירה לכיסוי רעידת אדמה. נשמח לסייע ולספק פרטים נוספים.

---

**הערה**: אין בידי מידע עדכני ממקורות רשמיים של הראל לצטוט בתשתיות specifierים. כדאי לבדוק את מסמכי המדיניות באתר הראל או לפנות לנציג מכירות.",incorrect,True,"The system's answer incorrectly states the state compensates for earthquake damage to residential buildings, contradicting the ground truth that it only covers agricultural infrastructure.",
dev-04-apartment-medium,apartment,medium,bare_zai-org_GLM-5.2,zai-org/GLM-5.2,default,deepseek-ai/DeepSeek-V4-Pro,"יש לי ביטוח למחזיקי אקדח ברישיון. אם המבטח לא העמיד לי עורך דין ופניתי לעורך דין לפי בחירתי להגנה בהליך הפלילי, עד איזה סכום ישפו אותי על שכר הטרחה וההוצאות?","עד סכום השווה בשקלים ל-6,000 ₪ ביום קרות מקרה הביטוח.",,refusal,False,"The system's answer is empty, providing no information.",
dev-05-apartment-hard,apartment,hard,bare_zai-org_GLM-5.2,zai-org/GLM-5.2,default,deepseek-ai/DeepSeek-V4-Pro,"אני חבר ועד בית ורוצה לעשות ביטוח לבניין המשותף, וחוץ מזה יש לי אוסף אומנות פרטי שאני רוצה לבטח גם. איך מצטרפים לשני הביטוחים האלה?","בשני המקרים ההצטרפות נעשית דרך סוכן הביטוח שלך: גם לביטוח ""עד הגג"" לבית המשותף וגם לביטוח Fine Art Collector's Insurance לאוספי אומנות יש לפנות לסוכן הביטוח להצטרפות.","שלום רב,

שמח לעזור לך עם שני הנושאים. נעבור על כל אחד בנפרד:

---

## ביטוח בניין משותף

כחבר ועד בית, תוכל לרכוש ביטוח בניין משותף הכולל הגנה על המבנה המשותף והחלקים הציבוריים (גג, חזיתות, חדרי מדרגות, מעלית, וכו').

**כדי להצטרף, יש להיערך מראש:**
- פרטי הבניין: כתובת, מספר קומות, מספר דירות, גיל הבניין, שטח מוערך
- פרטי המבנה: סוג בנייה, חיפוי חיצוני, גג (שטוח/משופע), מעלית (כולל פוליסת מעלית במידת הצורך)
- היקף הכיסוי המבוקש: נזקי אש, נזקי טבע, צנרת, זגוגיות וכו'
- פרטי ועד הבית ומספר חשבון לחיוב

ניתן לפנות לסוכן הביטוח / אלינו על מנת שנכין הצעת מחיר.

---

## ביטוח אוסף אמנות פרטי

ביטוח אוסף אמנות הוא ביטוח אישי הנרכש בנפרד. כדאי לדעת:

- הביטוח נעשה על בסיס **שמאות מקצועית** של כל פריט (או על סמך חשבוניות רכישה עדכניות)
- יש לציין את סוג הפריטים (ציורים, פסלים, צילומים וכו'), הערך הכולל, והיכן מוחזקים (בבית הפרטי / בכספת וכו')
- ניתן לרכוש כיסויים נוספים כגון נזקי מין, גניבה, אובדן עקב שבר, וביטוח בעת הובלה ותצוגה

---

## כיצד לפנות

**לביטוח הבניין / לביטוח הדירה:** חייגו למוקד הביטוח הישיר של הראל – 2628* או דרך האתר www.harel.co.il

**לביטוח אוסף אמנות:** מומלץ לפנות באופן ספציפי לביטוח ערכי / ביטוח דירה ולעיתים הדבר ידרוש את משרד הפקת השמאות או מעבר לסוכן הפרטי. נספח זה נכלל לרוב בביטוח ""דירה ותכולה"" או בפוליסה נפרדת מסוג ""רכוש מיוחד"".

האם יש לך עדכנות שמאות לאום האמנות? והאם יש כבר פוליסת ביטוח דירה פרטית שלך (לא ביטוח הבניין) שאליה ניתן לצרף את האוסף?",incorrect,True,"The ground truth says both insurances are joined through an insurance agent, but the system's answer directs to a direct insurance hotline and website for the building insurance, contradicting the agent-only method.",
dev-06-apartment-hard,apartment,hard,bare_zai-org_GLM-5.2,zai-org/GLM-5.2,default,deepseek-ai/DeepSeek-V4-Pro,"הדירה שלי מבוטחת בסכום של 1,200,000 ש""ח. שריפה פגעה בגינה — בדשא, בשיחים ובמערכת ההשקיה. מה הסכום המקסימלי שהביטוח ישלם על הנזק הזה?","24,000 ש""ח. אחריות המבטח בהרחבה לצמחים, מדשאות ומערכות השקיה מוגבלת ל-2% מסכום הביטוח לפרק ביטוח הדירה: 2% × 1,200,000 = 24,000 ש""ח.","# כיסוי נזקי גינה בביטוח המבנה

בהתאם לתנאי פוליסת ביטוח המבנה של הראל, נזקי שריפה לגינה — דשא, שיחים ומערכת השקיה — נכללים בכיסוי ביטוח המבנה, אך ישנה מגבלה על הסכום המקסימלי לתשלום.

## הסכום המקסימלי לתשלום על נזקי גינה

**כאשר סכום ביטוח המבנה הוא 1,200,000 ש""ח, הסכום המקסימלי שהביטוח ישלם על נזקי הגינה הוא כ-120,000 ש""ח** — המהווה כ-10% מסכום ביטוח המבנה.

**דגשים חשובים:**
- התשלום מוגבל לסכום הנזק בפועל, ולא יעלה על מגבלת הכיסוי.
- ייתכן שיחול סעיף השתתפות עצמית (דדוקטיבל), אשר ינוכה מסכום הפיצוי בהתאם לתנאי הפוליסה.
- שימו לב שצמחים או עצים שניטעו על ידי המבוטח עשויים להיות מכוסים בסכום מוגבל יותר, ויש לבדוק את ההגדרות הספציפיות בפוליסתכם.

> **המלצה:** כדי לקבל מספר מדויק המתאים לפוליסה הספציפית שלכם ולוודא אם קיימות מגבלות משנה לכל רכיב (דשא / שיחים / מערכת השקיה), מומלץ לפנות לסוכן או לשירות הלקוחות של הראל עם מספר הפוליסה לקבלת פרטים מלאים.

---

*האמור לעיל מבוסס על מבנה הכיסוי המקובל בפוליסות מבנה של הראל. פרטי הכיסוי והמגבלות יכולים להשתנות בין פוליסה לפוליסה.*",incorrect,True,"The system's answer states the maximum payout is about 120,000 ILS (10%), while the ground truth states it is 24,000 ILS (2%).",
dev-07-business-easy,business,easy,bare_zai-org_GLM-5.2,zai-org/GLM-5.2,default,deepseek-ai/DeepSeek-V4-Pro,"אני מעסיק במשרד עובדים דרך קבלן משנה. אם עובד של קבלן המשנה ייפגע ויתבע אותי, האם ביטוח החבות בפוליסת המכלול למשרד יכסה את זה?","לא. הפרק מחריג במפורש את חבות המבוטח כלפי קבלן, עובד של קבלן או קבלן משנה, עובד של קבלן משנה ועובדי חברות כוח אדם.","שלום רב, 

באופן עקרוני, ביטוח החבות כלפי צד ג' בפוליסת המכלול למשרדים של הראל כולל השערה מובנית הנוגעת לעובדי קבלני משנה. משמעות הדבר היא שתביעה של עובד קבלן משנה בגין פציעה שאירעה לו במהלך עבודתו לרוב **לא תכוסה** על ידי הפוליסה הבסיסית באופן אוטומטי.

במקראה הסטנדרטית של פוליסת המכלול למשרדים (בסעיף ההשערות של חבות כלפי צד ג'), קיימת השערה הפוטרת את חברת הביטוח מאחריות לנזקי גוף של עובדיו של המבוטח או של עובדי קבלן משנה הפועל עבור המבוטח. ההיגיון מאחורי השערה זו הוא שעובדים אלו אמורים להיות מכוסים על ידי פוליסת ביטוח חבות מעבידים ו/או צד ג' של קבלן המשנה עצמו.

על מנת שתהיו מוגנים במקרה כזה, קיימות שתי דרכי פעולה מקובלות:
1. **הרחבת הפוליסה שלכם:** ניתן לרכוש הרחבה לפוליסת המכלול שלכם המכסה עובדי קבלני משנה (לרוב כפוף בתנאי שקבלן המשנה מחזיק בביטוח חבות מעבידים בעצמו, ובתשלום פרמיה נוסף).
2. **ביטוח הקבלן עצמו:** הדרך הבטוחה ביותר היא לדרוש מקבלן המשנה, טרם תחילת העבודה, להציג פוליסת ביטוח חבות מעבידים וחבות כלפי צד ג' תקפות, ולוודא שבפוליסה שלו נוספת הרחבת ""מבוטח נוסף/מזמין עבודה"" הכוללת את שם העסק שלכם ומספר הע.מ. שלכם. כך, אם יוגש נגדכם תביעה, תוכלו להעביר אותה ישירות לחברת הביטוח של קבלן המשנה.

מכיוון שתנאי הפוליסה וההשערות עשויים להשתנות בהתאם לגרסת המקראה המדויקת של פוליסת המכלול שרכשתם, מומלץ לבדוק את מסמך הפוליסה הספציפי שברשותכם. אם תרצו, תוכלו להעביר אליי את סריקת פוליסת המכלול שלכם, ואוכל להפנותך לעמוד ולסעיף המדויקים במסמך שלכם המתייחסים להשערה זו ולאפשרויות ההרחבה.

לכל שאלה נוספת, אשמח לסייע.",correct,True,"The system's answer correctly states that the basic policy excludes coverage for subcontractor employee injuries, matching the ground truth.",
dev-08-business-easy,business,easy,bare_zai-org_GLM-5.2,zai-org/GLM-5.2,default,deepseek-ai/DeepSeek-V4-Pro,"יש לי ביטוח ציוד אלקטרוני לעסק, ובאמצע תקופת הביטוח חל שינוי מהותי בעסק שלי. האם אני חייב להודיע על כך לחברת הביטוח בכתב?","כן. הפוליסה קובעת שבמשך תקופת הביטוח על המבוטח לגלות למבטח בכתב כל שינוי בעניין מהותי, באופן מיידי מעת שנודע לו על כך.","שלום רב,

כן, בהחלט. על פי תנאי פוליסת ביטוח ציוד אלקטרוני לעסקים (ובהתאם לחוק חוזה הביטוח), קיימת חובה על המבוטח לדווח לחברת הביטוח בכתב על כל שינוי מהותי בעסק המתרחש במהלך תקופת הביטוח. 

**מה נחשב לשינוי מהותי?**
שינויים העשויים להשפיע על מידת הסיכון של הציוד המבוטח, כגון:
* שינוי בכתובת העסק או העברת הציוד למיקום אחר.
* שינוי בתחום עיסוק העסק או בטיב העבודה המתבצעת באמצעות הציוד.
* רכישת ציוד חדש ויקר ערך שלא הוזכר קודם לכן, או הוספת ציוד המעלה את סכום הביטוח הכולל משמעותית.
* שינויים במאפייני המבנה או שיטת האבטחה בעסק.

**מדוע חשוב לדווח בכתב?**
שינוי מהותי עשוי להשפיע על גובה הפרמיה, תנאי הכיסוי והיקף הפוליסה. במידה ולא תדווח על השינוי בכתב ויתרחש אירוע שקשור או מושפע מאותו שינוי, חברת הביטוח רשאית לסרב לשלם פיצוי מלא, להקטין את גובה התגמול, או במקרים מסוימים אף לבטל את הכיסוי הביטוחי בדיעבד. 

מומלץ להעביר את ההודעה בכתב לסוכן הביטוח שלך או ישירות למחלקת שירות לקוחות/תיקים של הראל בהקדם האפשרי, כדי שנוכל לבחון את השינוי, לעדכן את הפוליסה בהתאם ולוודא שהציוד שלך נותר מכוסה באופן מלא ותקין.

אם תרצה, תוכל למסור לי את פרטי השינוי ואשמח לסייע לך בהעברת הדיווח.",correct,True,"The system's answer explicitly confirms the obligation to notify in writing, matching the ground truth.",
dev-09-business-medium,business,medium,bare_zai-org_GLM-5.2,zai-org/GLM-5.2,default,deepseek-ai/DeepSeek-V4-Pro,"אם המשרד שלי יושבת בעקבות נזק מכוסה, לכמה זמן לכל היותר אקבל פיצוי על אובדן ההכנסות?","תקופת השיפוי מסתיימת בתום תקופת ההשבתה ולא יאוחר מ-100 ימים מתחילת ההשבתה, אלא אם נקבע אחרת ברשימה.",,refusal,False,"The system's answer is empty, providing no information.",
dev-10-business-medium,business,medium,bare_zai-org_GLM-5.2,zai-org/GLM-5.2,default,deepseek-ai/DeepSeek-V4-Pro,אני חוקר שמתכנן ניסוי קליני שאושר על ידי ועדת הלסינקי. האם אני חייב לרכוש ביטוח לניסוי?,"כן. פוליסת ביטוח ניסויים קליניים נדרשת עבור כל ניסוי קליני המאושר על-ידי ועדת הלסינקי, בהתאם לנוהלי משרד הבריאות. הפוליסה מכסה תביעות נזיקין של משתתפים בניסוי או צד ג' וכוללת כיסוי הוצאות הגנה משפטית.","שלום רב,

כן, בישראל קיימת חובה לערוך ביטוח למשתתפים בניסוי קליני. החובה נובעת מתקנות בריאות העם (ניסויים קליניים בבני אדם), התשמ""א-1980 (ובפרט תיקון משנת 1999), אשר קובעות כי יש לבטח את המשתתפים בניסוי הקליני נגד נזקים שעלולים להיגרם להם כתוצאה מהשתתפותם בניסוי.

עיקרי החובה:
- יש לבטח את כל המשתתפים בניסוי הקליני טרם תחילתו.
- גם ניסוי שאושר על ידי ועדת הלסינקי אינו יכול להתחיל ללא ביטוח תקף.
- הביטוח מכסה נזקים גופניים הנגרמים למשתתף כתוצאה מההליך הניסויי, ובתנאים מסוימים גם נזקים נלווים.

תהליך:
- חברת הביטוח מאשרת את תנאי הניסוי ומנפיקה פוליסת ביטוח ניסויים קליניים ייעודית, המוצגת לוועדת הלסינקי/משרד הבריאות כחלק מהאישורים הדרושים למתן אישור לביצוע הניסוי.

הראל מציעה כיסוי ביטוחי לניסויים קליניים בהתאם לדרישות הרגולטוריות. לצורך הגשת בקשה להצעת מחיר והנפקת פוליסה יש להציג, בין היתר, את פרוטוקול הניסוי, טופס הסכמה מדעת, ואישור/בקשה מוועדת הלסינקי.

אשמח לסייע בקישור לגורם המקצועי הרלוונטי לקדם את הבקשה ולספק הצעת מחיר. אנא פנה/פני בפרטים הרלוונטיים (שם המוסד, מספר משתתפים, משך הניסוי וכיו""ב) ונמשיך בתהליך.",correct,True,"The system's answer confirms the obligation to purchase insurance for a Helsinki-approved clinical trial, matching the ground truth.",
