id,domain,difficulty,run,answering_model,system_prompt,judge_model,question,ground_truth,model_answer,verdict,confident,judge_reason,citations
dev-01-apartment-easy,apartment,easy,bare_deepseek-ai_DeepSeek-V4-Pro_cite,deepseek-ai/DeepSeek-V4-Pro,cite,deepseek-ai/DeepSeek-V4-Pro,הגשתי תביעה לחברת הביטוח והיא עדיין בטיפול כבר הרבה זמן. האם עצם הפנייה לחברה עוצרת את מרוץ ההתיישנות של התביעה שלי?,"לא, ככלל הגשת תביעה לגוף מוסדי אינה עוצרת את מרוץ ההתיישנות ורק הגשת תביעה לבית משפט עוצרת אותו.","לפי מסמכי חברת הראל שבידינו, הגשת תביעה בכתב לחברת הביטוח אכן עוצרת את מרוץ ההתיישנות, אך באופן זמני בלבד, עד שהחברה מודיעה לך את עמדתה בכתב.  

החוק קובע שתקופת ההתיישנות בתביעות ביטוח היא שלוש שנים. כאשר מגישים תביעה, ההתיישנות נעצרת מרגע הגשת התביעה בכתב ועד שהחברה שולחת לך הודעה בכתב על החלטתה.  
(מסמך ""הליך תביעה והתיישנות"", עמוד 1)  

לאחר שהחברה מודיעה לך על עמדתה, חידוש מרוץ ההתיישנות מתחיל מחדש.",incorrect,True,"The system claims filing a claim with the insurer stops the statute of limitations, while the ground truth states only filing in court does.",
dev-02-apartment-easy,apartment,easy,bare_deepseek-ai_DeepSeek-V4-Pro_cite,deepseek-ai/DeepSeek-V4-Pro,cite,deepseek-ai/DeepSeek-V4-Pro,קרה נזק בדירה שלי לפני חודש. האם נכון שיש לי שלוש שנים מיום המקרה להגיש תביעה לתגמולי ביטוח?,"כן, תקופת ההתיישנות של תביעה לתגמולי ביטוח היא שלוש שנים לאחר שקרה מקרה הביטוח.","כן, על פי חוק חוזה הביטוח, התשמ""א-1981, תקופת ההתיישנות לתביעה לתגמולי ביטוח היא שלוש שנים מיום קרות מקרה הביטוח (חוק חוזה הביטוח, התשמ""א-1981, עמוד לא ידוע). עם זאת, מומלץ לבדוק את תנאי הפוליסה הספציפית שלך, שכן ייתכנו הוראות שונות בפוליסה. לפרטים מדויקים, תוכל לפנות לשירות הלקוחות שלנו.",correct,True,"The system's answer correctly confirms the three-year limitation period from the date of the insurance event, matching the ground truth.",
dev-03-apartment-medium,apartment,medium,bare_deepseek-ai_DeepSeek-V4-Pro_cite,deepseek-ai/DeepSeek-V4-Pro,cite,deepseek-ai/DeepSeek-V4-Pro,"אם תהיה רעידת אדמה והדירה שלי תיפגע, המדינה לא אמורה לפצות אותי בכל מקרה? למה בכלל להוסיף כיסוי כזה לביטוח הדירה?","לא. חוק פיצוי נפגעי אסון טבע אמנם כולל רעידות אדמה, אך הוא מתייחס לנזקים לתשתית חקלאית בלבד — המדינה אינה מחויבת לפצות אזרחים על נזקים למבני מגורים. לכן חשוב לא לוותר על כיסוי רעידת אדמה בביטוח הדירה.","לפי תנאי הפוליסה של Harel Insurance, כיסוי לרעידת אדמה בביטוח דירה ניתן לרכוש **בתוספת פרמיה**. הכיסוי הבסיסי לביטוח מבנה אינו כולל נזקי רעידת אדמה – יש לבחור במפורש בהרחבה זו (ביטוח דירה, pages 5, 19).  

לגבי פיצוי מהמדינה: בישראל פועלת **קרן פיצויים ממשלתית (מס רכוש)**, אך הכיסוי שלה מוגבל. לפי חוק מס רכוש וקרן פיצויים, הפיצוי לנזקי רעידת אדמה ניתן **רק למבנים שהוכרזו במסלול ""מבנה ירוק"" בהתאם לתקן ישראלי 413**, וגם אז ייתכנו השתתפות עצמית, תקרות פיצוי או עיכובים בבירוקרטיה (ביטוח דירה, pages 5, 14). פוליסת ביטוח פרטית מרחיבה את הכיסוי גם למבנים שאינם עומדים בתקן, ומאפשרת פיצוי בתנאים מוגדרים מראש, ללא תלות במדיניות ממשלתית משתנה.  

לכן, כיסוי פרטי לרעידת אדמה נועד להשלים פערים שאינם מכוסים על ידי המדינה.",incorrect,True,"The system's answer contradicts the ground truth by claiming the government fund covers residential earthquake damage under certain conditions, whereas the ground truth states it only covers agricultural infrastructure.",
dev-04-apartment-medium,apartment,medium,bare_deepseek-ai_DeepSeek-V4-Pro_cite,deepseek-ai/DeepSeek-V4-Pro,cite,deepseek-ai/DeepSeek-V4-Pro,"יש לי ביטוח למחזיקי אקדח ברישיון. אם המבטח לא העמיד לי עורך דין ופניתי לעורך דין לפי בחירתי להגנה בהליך הפלילי, עד איזה סכום ישפו אותי על שכר הטרחה וההוצאות?","עד סכום השווה בשקלים ל-6,000 ₪ ביום קרות מקרה הביטוח.","בביטוח למחזיקי אקדח ברישיון של הראל, אם המבטח לא העמיד עורך דין מטעמו ופנית לעורך דין לפי בחירתך לצורך הגנה בהליך פלילי, הפיצוי המקסימלי עבור שכר טרחה והוצאות הוא עד **50,000 ש""ח** (בכפוף להשתתפות עצמית של 1,000 ש""ח).  

(דברי הסבר לביטוח מחזיקי אקדח ברישיון, עמוד 2)",incorrect,True,"The system states a maximum of 50,000 ₪, but the ground truth states a maximum of 6,000 ₪.",
dev-05-apartment-hard,apartment,hard,bare_deepseek-ai_DeepSeek-V4-Pro_cite,deepseek-ai/DeepSeek-V4-Pro,cite,deepseek-ai/DeepSeek-V4-Pro,"אני חבר ועד בית ורוצה לעשות ביטוח לבניין המשותף, וחוץ מזה יש לי אוסף אומנות פרטי שאני רוצה לבטח גם. איך מצטרפים לשני הביטוחים האלה?","בשני המקרים ההצטרפות נעשית דרך סוכן הביטוח שלך: גם לביטוח ""עד הגג"" לבית המשותף וגם לביטוח Fine Art Collector's Insurance לאוספי אומנות יש לפנות לסוכן הביטוח להצטרפות.","כדי להצטרף לביטוח בניין משותף ולביטוח אוסף אמנות פרטי בחברת הראל, תוכל לפנות לאחד מערוצי ההתקשרות הזמינים:

*   **אפליקציית הראל:** ניתן להצטרף לביטוחים השונים ישירות דרך האפליקציה. (מקור: אתר הראל, הצטרפות, עמוד הצטרפות לביטוח)
*   **טלפון:** ניתן ליצור קשר עם מוקד המכירות הטלפוני של הראל במספר 1-800-444-888. (מקור: אתר הראל, הצטרפות, עמוד הצטרפות לביטוח)
*   **סוכן ביטוח:** ניתן להצטרף לביטוחים דרך סוכן ביטוח מורשה מטעם הראל. (מקור: אתר הראל, הצטרפות, עמוד הצטרפות לביטוח)

חשוב לי לציין שבמסמכי המידע שסופקו לי, קיים מידע מפורט על ביטוח דירה, הכולל התייחסות לאחריות ועד הבית (מקור: חוברת מידע מלאה על ביטוח דירה, עמודים 2, 5). עם זאת, לא מצאתי במסמכים אלו מידע ספציפי על תהליך ההצטרפות לביטוח בניין משותף או על קיומו של ביטוח ייעודי לאוספי אמנות פרטיים.

לכן, כדי לקבל מידע מדויק ומלא על תהליך ההצטרפות, הכיסויים, התנאים והמחירים לשני סוגי הביטוחים הללו, מומלץ מאוד ליצור קשר ישיר עם הראל באחד הערוצים שצוינו לעיל.",incorrect,True,"The ground truth states joining is exclusively through an insurance agent, but the system's answer lists multiple channels including app and phone, contradicting the required method.",
dev-06-apartment-hard,apartment,hard,bare_deepseek-ai_DeepSeek-V4-Pro_cite,deepseek-ai/DeepSeek-V4-Pro,cite,deepseek-ai/DeepSeek-V4-Pro,"הדירה שלי מבוטחת בסכום של 1,200,000 ש""ח. שריפה פגעה בגינה — בדשא, בשיחים ובמערכת ההשקיה. מה הסכום המקסימלי שהביטוח ישלם על הנזק הזה?","24,000 ש""ח. אחריות המבטח בהרחבה לצמחים, מדשאות ומערכות השקיה מוגבלת ל-2% מסכום הביטוח לפרק ביטוח הדירה: 2% × 1,200,000 = 24,000 ש""ח.","לפי הפוליסה לביטוח דירה, הכיסוי לנזק לרכוש בגינה (צמחיה ומערכות השקיה) כפוף למגבלות שונות. צמחיה ועצים שאינם בחממה אינם מכוסים כלל (ביטוח דירה, 40). מערכת השקיה, צנרת מים וצנרת ביוב מחוץ למבנה הדירה מכוסים רק כנגד סיכוני צד ג' ורעידת אדמה (ביטוח דירה, 30). מכיוון שהנזק נגרם משריפה – שהיא סיכון מבוטח – הכיסוי מוגבל. צמחיה אינה מכוסה, ומערכת ההשקיה מחוץ לדירה אינה מכוסה לשריפה. לכן סכום הפיצוי המקסימלי הוא 0 ש""ח.

אינני יכול לאמת סכום אחר במסמכים שברשותי.",incorrect,True,"The system's answer states the maximum payout is 0, while the ground truth states it is 24,000.",
dev-07-business-easy,business,easy,bare_deepseek-ai_DeepSeek-V4-Pro_cite,deepseek-ai/DeepSeek-V4-Pro,cite,deepseek-ai/DeepSeek-V4-Pro,"אני מעסיק במשרד עובדים דרך קבלן משנה. אם עובד של קבלן המשנה ייפגע ויתבע אותי, האם ביטוח החבות בפוליסת המכלול למשרד יכסה את זה?","לא. הפרק מחריג במפורש את חבות המבוטח כלפי קבלן, עובד של קבלן או קבלן משנה, עובד של קבלן משנה ועובדי חברות כוח אדם.","על פי פוליסת המכלול לעסק של הראל, ביטוח החבויות מכסה אחריות משפטית של המבוטח לתאונות עבודה של עובדיו. הכיסוי חל על פי חוק האחריות המשפטית של המעביד, ובתנאי שלמבוטח לא היה ביטוח תקף על פי פקודת הביטוח הלאומי (סעיף 6.1 בפוליסה).  

אולם, לגבי עובדים של קבלן משנה, מצוין במפורש בהרחבה לביטוח אחריות מעבידים (סעיף 6.3.6) כי הכיסוי מורחב גם לעובדים של קבלן משנה, ובתנאי שטרם חלפו 24 חודשים מהמועד בו החלו לעבוד אצלך.  

לכן, כל עוד העובד של קבלן המשנה עובד אצלך פחות משנתיים, ביטוח החבות במכלול אכן יכסה תביעה של אותו עובד נגדך.  

מקור: מכלול לעסק – חוברת פוליסה, סעיפים 6.1 ו-6.3.6.",incorrect,True,"The ground truth states the policy explicitly excludes liability toward subcontractor employees, while the system's answer claims coverage exists under certain conditions.",
dev-08-business-easy,business,easy,bare_deepseek-ai_DeepSeek-V4-Pro_cite,deepseek-ai/DeepSeek-V4-Pro,cite,deepseek-ai/DeepSeek-V4-Pro,"יש לי ביטוח ציוד אלקטרוני לעסק, ובאמצע תקופת הביטוח חל שינוי מהותי בעסק שלי. האם אני חייב להודיע על כך לחברת הביטוח בכתב?","כן. הפוליסה קובעת שבמשך תקופת הביטוח על המבוטח לגלות למבטח בכתב כל שינוי בעניין מהותי, באופן מיידי מעת שנודע לו על כך.","כן, על פי תנאי הפוליסה, עליך להודיע לחברת הביטוח בכתב על כל שינוי מהותי שחל בעסק במהלך תקופת הביטוח.  

החובה הזו מפורטת בסעיף 5 לתנאים הכלליים של ביטוח רכוש לעסק, שם נקבע במפורש:  
""על המבוטח להודיע לחברה מיד בכתב על כל שינוי מהותי שחל במהלך תקופת הביטוח..."" (תנאים כלליים לביטוח רכוש לעסק, עמ' 7)",correct,True,"The system's answer confirms the obligation to notify in writing, matching the ground truth.",
dev-09-business-medium,business,medium,bare_deepseek-ai_DeepSeek-V4-Pro_cite,deepseek-ai/DeepSeek-V4-Pro,cite,deepseek-ai/DeepSeek-V4-Pro,"אם המשרד שלי יושבת בעקבות נזק מכוסה, לכמה זמן לכל היותר אקבל פיצוי על אובדן ההכנסות?","תקופת השיפוי מסתיימת בתום תקופת ההשבתה ולא יאוחר מ-100 ימים מתחילת ההשבתה, אלא אם נקבע אחרת ברשימה.","לפי פוליסת ביטוח מקיף לעסק של הראל, הפיצוי על אובדן הכנסות במקרה של השבתת המשרד עקב נזק מכוסה ישולם לתקופת השיפוי, שהיא התקופה המרבית הנקובה בלוח הפיצוי (בדרך כלל 12 חודשים) או הזמן הדרוש בפועל לשיקום העסק – לפי הקצרה מביניהן, אלא אם צוין אחרת במפרט הפוליסה (הראל ביטוח מקיף לעסק, עמ' 4–5, 12).",incorrect,True,"The system states a maximum of 12 months, while the ground truth states a maximum of 100 days.",
dev-10-business-medium,business,medium,bare_deepseek-ai_DeepSeek-V4-Pro_cite,deepseek-ai/DeepSeek-V4-Pro,cite,deepseek-ai/DeepSeek-V4-Pro,אני חוקר שמתכנן ניסוי קליני שאושר על ידי ועדת הלסינקי. האם אני חייב לרכוש ביטוח לניסוי?,"כן. פוליסת ביטוח ניסויים קליניים נדרשת עבור כל ניסוי קליני המאושר על-ידי ועדת הלסינקי, בהתאם לנוהלי משרד הבריאות. הפוליסה מכסה תביעות נזיקין של משתתפים בניסוי או צד ג' וכוללת כיסוי הוצאות הגנה משפטית.","לפי מדריך חיתום ביטוח ניסויים רפואיים בבני אדם של הראל, **רוב** סוגי הניסויים הרפואיים המאושרים על ידי ועדת הלסינקי ורשויות הבריאות המוסמכות **נדרשים** בביטוח ייעודי, ויש לרכוש את הביטוח טרם תחילת ביצוע הניסוי הקליני (מצגת ביטוח ניסויים קליניים, עמוד 6).

עם זאת, קיימים חריגים – למשל, סקרים/שאלונים, מחקר על ביצועי מעבדה, ומחקר מדעי-חברתי ללא התערבות בגוף, שאינם מחויבים בביטוח (מצגת ביטוח ניסויים קליניים, עמוד 6).

לפיכך, יש לבחון את סוג הניסוי הספציפי שלך.",partial,True,"The ground truth states all Helsinki-approved trials require insurance, but the system's answer says most do with exceptions, partially contradicting the absolute requirement.",
