id,domain,difficulty,run,answering_model,system_prompt,judge_model,question,ground_truth,model_answer,verdict,confident,judge_reason,citations
dev-01-apartment-easy,apartment,easy,bare_nvidia_Nemotron-3-Ultra-550b-a55b_cite,nvidia/Nemotron-3-Ultra-550b-a55b,cite,deepseek-ai/DeepSeek-V4-Pro,הגשתי תביעה לחברת הביטוח והיא עדיין בטיפול כבר הרבה זמן. האם עצם הפנייה לחברה עוצרת את מרוץ ההתיישנות של התביעה שלי?,"לא, ככלל הגשת תביעה לגוף מוסדי אינה עוצרת את מרוץ ההתיישנות ורק הגשת תביעה לבית משפט עוצרת אותו.","לא – עצם הפנייה לחברה אינה עוצרת את מרוץ ההתיישנות של התביעה. לפי הדין הישראלי, תקופת ההתיישנות (שלוש שנים מיום האירוע הביטוחי) ממשיכה לרוץ עד שהחברה מכירה בכתב בקיומה של התביעה או שולחת דרישה רשמית שמוכרת את הזכות. איני יכול לאמת את המידע הזה במסמך ספציפי של Harel Insurance (שם מסמך, עמוד).",correct,True,"The system's answer correctly states that contacting the company does not stop the statute of limitations, matching the ground truth.",
dev-02-apartment-easy,apartment,easy,bare_nvidia_Nemotron-3-Ultra-550b-a55b_cite,nvidia/Nemotron-3-Ultra-550b-a55b,cite,deepseek-ai/DeepSeek-V4-Pro,קרה נזק בדירה שלי לפני חודש. האם נכון שיש לי שלוש שנים מיום המקרה להגיש תביעה לתגמולי ביטוח?,"כן, תקופת ההתיישנות של תביעה לתגמולי ביטוח היא שלוש שנים לאחר שקרה מקרה הביטוח.",איני יכול לאמת את התשובה מאחר שאין לי גישה למסמכי הראל ביטוח והעמודים הרלוונטיים.,refusal,False,"The system states it cannot verify the answer due to lack of access to relevant documents, which is a refusal to answer.",
dev-03-apartment-medium,apartment,medium,bare_nvidia_Nemotron-3-Ultra-550b-a55b_cite,nvidia/Nemotron-3-Ultra-550b-a55b,cite,deepseek-ai/DeepSeek-V4-Pro,"אם תהיה רעידת אדמה והדירה שלי תיפגע, המדינה לא אמורה לפצות אותי בכל מקרה? למה בכלל להוסיף כיסוי כזה לביטוח הדירה?","לא. חוק פיצוי נפגעי אסון טבע אמנם כולל רעידות אדמה, אך הוא מתייחס לנזקים לתשתית חקלאית בלבד — המדינה אינה מחויבת לפצות אזרחים על נזקים למבני מגורים. לכן חשוב לא לוותר על כיסוי רעידת אדמה בביטוח הדירה.","
<tool_call>
{""name"": ""search_knowledge_base"", ""arguments"": {""query"": ""רעידת אדמה כיסוי ביטוח דירה מדינה פיצוי ישראל"", ""k"": 5}}
<tool_call>
{""name"": ""search_knowledge_base"", ""arguments"": {""query"": ""earthquake coverage home insurance Israel state compensation"", ""k"": 5}}
<tool_call>
{""name"": ""search_knowledge_base"", ""arguments"": {""query"": ""ביטוח רעידות אדמה חוק פיצויים מדינה"", ""k"": 5}}",refusal,False,The system's answer consists only of tool calls and provides no substantive response to the user's question.,
dev-04-apartment-medium,apartment,medium,bare_nvidia_Nemotron-3-Ultra-550b-a55b_cite,nvidia/Nemotron-3-Ultra-550b-a55b,cite,deepseek-ai/DeepSeek-V4-Pro,"יש לי ביטוח למחזיקי אקדח ברישיון. אם המבטח לא העמיד לי עורך דין ופניתי לעורך דין לפי בחירתי להגנה בהליך הפלילי, עד איזה סכום ישפו אותי על שכר הטרחה וההוצאות?","עד סכום השווה בשקלים ל-6,000 ₪ ביום קרות מקרה הביטוח.",איני יכול לאמת את התשובה מכיוון שאין לי גישה למסמך המדויק של הראל ביטוח והעמוד הרלוונטי.,refusal,False,The system states it cannot verify the answer due to lack of access to the policy document.,
dev-05-apartment-hard,apartment,hard,bare_nvidia_Nemotron-3-Ultra-550b-a55b_cite,nvidia/Nemotron-3-Ultra-550b-a55b,cite,deepseek-ai/DeepSeek-V4-Pro,"אני חבר ועד בית ורוצה לעשות ביטוח לבניין המשותף, וחוץ מזה יש לי אוסף אומנות פרטי שאני רוצה לבטח גם. איך מצטרפים לשני הביטוחים האלה?","בשני המקרים ההצטרפות נעשית דרך סוכן הביטוח שלך: גם לביטוח ""עד הגג"" לבית המשותף וגם לביטוח Fine Art Collector's Insurance לאוספי אומנות יש לפנות לסוכן הביטוח להצטרפות.",איני יכול לאמת את התשובה ללא גישה למסמכי הראל ביטוח ספציפיים עם מספרי עמודים.,refusal,False,"The system refuses to answer, stating it cannot verify without specific documents.",
dev-06-apartment-hard,apartment,hard,bare_nvidia_Nemotron-3-Ultra-550b-a55b_cite,nvidia/Nemotron-3-Ultra-550b-a55b,cite,deepseek-ai/DeepSeek-V4-Pro,"הדירה שלי מבוטחת בסכום של 1,200,000 ש""ח. שריפה פגעה בגינה — בדשא, בשיחים ובמערכת ההשקיה. מה הסכום המקסימלי שהביטוח ישלם על הנזק הזה?","24,000 ש""ח. אחריות המבטח בהרחבה לצמחים, מדשאות ומערכות השקיה מוגבלת ל-2% מסכום הביטוח לפרק ביטוח הדירה: 2% × 1,200,000 = 24,000 ש""ח.",אינני יכול לאמת את התשובה ממסמכי הראל (Harel) מכיוון שאין בידי את שם המסמך המדויק ומספר העמוד הרלוונטי.,refusal,False,"The system states it cannot verify the answer without the exact document, which is a refusal to provide the requested information.",
dev-07-business-easy,business,easy,bare_nvidia_Nemotron-3-Ultra-550b-a55b_cite,nvidia/Nemotron-3-Ultra-550b-a55b,cite,deepseek-ai/DeepSeek-V4-Pro,"אני מעסיק במשרד עובדים דרך קבלן משנה. אם עובד של קבלן המשנה ייפגע ויתבע אותי, האם ביטוח החבות בפוליסת המכלול למשרד יכסה את זה?","לא. הפרק מחריג במפורש את חבות המבוטח כלפי קבלן, עובד של קבלן או קבלן משנה, עובד של קבלן משנה ועובדי חברות כוח אדם.",אני לא יכול לאמת את התשובה מכיוון שאין לי גישה למסמך הספציפי של הראל ביטוח המציין את הכיסוי של ביטוח חבות בפוליסת המכלול למשרד עבור עובדי קבלן משנה.,refusal,False,"The system states it cannot verify the answer due to lack of access to the specific policy document, which is a refusal to answer.",
dev-08-business-easy,business,easy,bare_nvidia_Nemotron-3-Ultra-550b-a55b_cite,nvidia/Nemotron-3-Ultra-550b-a55b,cite,deepseek-ai/DeepSeek-V4-Pro,"יש לי ביטוח ציוד אלקטרוני לעסק, ובאמצע תקופת הביטוח חל שינוי מהותי בעסק שלי. האם אני חייב להודיע על כך לחברת הביטוח בכתב?","כן. הפוליסה קובעת שבמשך תקופת הביטוח על המבוטח לגלות למבטח בכתב כל שינוי בעניין מהותי, באופן מיידי מעת שנודע לו על כך.",איני יכול לאמת את התשובה מתוך מסמכי Harel Insurance.,refusal,False,"The system states it cannot verify the answer from the documents, which is a refusal to answer.",
dev-09-business-medium,business,medium,bare_nvidia_Nemotron-3-Ultra-550b-a55b_cite,nvidia/Nemotron-3-Ultra-550b-a55b,cite,deepseek-ai/DeepSeek-V4-Pro,"אם המשרד שלי יושבת בעקבות נזק מכוסה, לכמה זמן לכל היותר אקבל פיצוי על אובדן ההכנסות?","תקופת השיפוי מסתיימת בתום תקופת ההשבתה ולא יאוחר מ-100 ימים מתחילת ההשבתה, אלא אם נקבע אחרת ברשימה.",אינני יכול לאמת את התשובה ללא מסמך מדיניות ספציפי של הראל ביטוח ועמוד המתייחס לתקופת הפיצוי המקסימלית לאובדן הכנסות עקב השבתת משרד.,refusal,False,"The system states it cannot verify the answer without the specific policy document, which is a refusal to answer.",
dev-10-business-medium,business,medium,bare_nvidia_Nemotron-3-Ultra-550b-a55b_cite,nvidia/Nemotron-3-Ultra-550b-a55b,cite,deepseek-ai/DeepSeek-V4-Pro,אני חוקר שמתכנן ניסוי קליני שאושר על ידי ועדת הלסינקי. האם אני חייב לרכוש ביטוח לניסוי?,"כן. פוליסת ביטוח ניסויים קליניים נדרשת עבור כל ניסוי קליני המאושר על-ידי ועדת הלסינקי, בהתאם לנוהלי משרד הבריאות. הפוליסה מכסה תביעות נזיקין של משתתפים בניסוי או צד ג' וכוללת כיסוי הוצאות הגנה משפטית.",איני יכול לאמת את התשובה מתוך מסמכי הראל ביטוח.,refusal,False,"The system states it cannot verify the answer from Harel's documents, which is a refusal to answer.",
