id,domain,difficulty,run,answering_model,system_prompt,judge_model,question,ground_truth,model_answer,verdict,confident,judge_reason,citations
dev-01-apartment-easy,apartment,easy,bare_Qwen_Qwen3-32B_cite,Qwen/Qwen3-32B,cite,deepseek-ai/DeepSeek-V4-Pro,הגשתי תביעה לחברת הביטוח והיא עדיין בטיפול כבר הרבה זמן. האם עצם הפנייה לחברה עוצרת את מרוץ ההתיישנות של התביעה שלי?,"לא, ככלל הגשת תביעה לגוף מוסדי אינה עוצרת את מרוץ ההתיישנות ורק הגשת תביעה לבית משפט עוצרת אותו.","בישראל, העתקת הזמן של תביעה תלויה בחוק העתקת זמני, תש""ס. על פי החוק, הפנייה רשמית לחברת הביטוח יכולה לעצור את מרוץ העתקת הזמן, אך התנאי לכך הוא שההצגת התביעה מתקיימת בדרכים המוגדרות בחוק. לדוגמה, על פי סעיף 7 לחוק, הפנייה לתבוע או לבעל סמכות (למשל, בקשה רשמית לחברת הביטוח) יכולה לעצור את מרוץ העתקת הזמן.  

עם זאת, חשוב לציין שחברת ביטוח כמו הרל לא יכולה להורות על היישום החוקי – אלא להעניק מידע כללי. אנו ממליצים להתייעץ עם محامية לעניין זה ולהקפיד לסיים את תביעה מול החברה תוך 3 שנים מהמועד בו נסדק תקציב הביטוח (בהתאם לחוק הביטוח, תשכ""ו).  

בנוסף, מומלץ לבקש מעקב לתביעה מול החברה כדי לוודא שהיא עתידה להתבצע בזמן.  

(אין התייחסות ישירה לסמל מסמך או עמוד בהירלי, מאחר שזה טיפוס כללי. למידע מדויק – נסה להתייעץ עם שירות לקוחותיה או ייצוג phápי.)",incorrect,True,"The system's answer incorrectly states that submitting a claim to the insurance company can stop the statute of limitations, contradicting the ground truth which says only filing a lawsuit does.",
dev-02-apartment-easy,apartment,easy,bare_Qwen_Qwen3-32B_cite,Qwen/Qwen3-32B,cite,deepseek-ai/DeepSeek-V4-Pro,קרה נזק בדירה שלי לפני חודש. האם נכון שיש לי שלוש שנים מיום המקרה להגיש תביעה לתגמולי ביטוח?,"כן, תקופת ההתיישנות של תביעה לתגמולי ביטוח היא שלוש שנים לאחר שקרה מקרה הביטוח.","ביחס להגשת תביעה לביטוח נזקי הנכס, יש לציין שตาม סעיף 14 בתנאי הביטוח, הضرופן מחויב להודיע לביטוח ככל הנראה בתוך 30 ימים מהרגע שה נזק התגלה (תנאי ביטוח נזק לנכס, עמוד 12). עם זאת, ההודעה אינה הוגדרת כ край זמן חלקי להגשת תביעה, אלא שדרוג דיני. 

לגבי תקופת התחייבות הביטוח, על פי תקנות ביטוח, התחייבות הביטוח עשויה לנוע בהתאם להסכם הביטוח הספציפי, אך בדרך כלל לא נוגעת לתקופות ארוכות כמו שלוש שנים מעת המקרה. אם יש חשש לעיכוב חקיקי, חשוב להבין שתקופת התחייבות הביטוח אינה מתקשרת להגבלת זמן מחוקית, אלא להגבלת זמן מועד התרחשות הנזק. 

באשר לתקופת הגבלת הזמן לחוק, בהתאם לעמוד 4412 של תקנות סעיף 29, תקופת הגבלת הזמן לנגוד לתקנות הביטוח אינה עולה על 3 שנים מהיום שבו ה נזק התברר, ועם זאת לא ניתן להשתמש בכך כמקרה מובנה. 

אם אין עמוד ימים חובה להגיש את התביעה לביטוח, אלא תקופת תקף חלקי של הביטוח עצמו. לכן, לא ניתן לבדוק האם יש שלוש שנים להגשת תביעה לביטוח. 

יתכן שיתאים לבדוק את הסכם הביטוח עם ביטוח כדי לוודא את תקופת התחייבות הביטוח והגבלות הדרש.",refusal,False,"The answer does not confirm the three-year period and instead states it cannot verify the claim, effectively refusing to answer.",
dev-03-apartment-medium,apartment,medium,bare_Qwen_Qwen3-32B_cite,Qwen/Qwen3-32B,cite,deepseek-ai/DeepSeek-V4-Pro,"אם תהיה רעידת אדמה והדירה שלי תיפגע, המדינה לא אמורה לפצות אותי בכל מקרה? למה בכלל להוסיף כיסוי כזה לביטוח הדירה?","לא. חוק פיצוי נפגעי אסון טבע אמנם כולל רעידות אדמה, אך הוא מתייחס לנזקים לתשתית חקלאית בלבד — המדינה אינה מחויבת לפצות אזרחים על נזקים למבני מגורים. לכן חשוב לא לוותר על כיסוי רעידת אדמה בביטוח הדירה.","בישראל, המדינה מציעה כיסוי בסיסי לרעידת אדמה על ידי ביטוח לאומי או קרןよ ממשלת ישראל (למשל, דרך ""קרןよ היבטחה""). עם זאת, כיסוי זה מאובטח כחלק מהביטוח הלאומי בלבד, ומכバー גבה תגילים ותנאים (למשל: גבה תגילים高的גבה, הגבלות על גובה החזרה, ותנאי של תשלום מראש). (ממשלת ישראל, ביטוח רעידת אדמה, 2023).

כיסוי רעידת אדמה נוסף לביטוח בית (כמו של חברת האראל) מוסיף שכבה נוספת של חסינות, במיוחד במצבים בהם:  
1. **הנזק חורג מהגבה המירבי של המדינה** (למשל: נזקי תשתית, אובדן מטלת אכיפה וכו').  
2. **הденבון לא מкрыт לגמרי** (הביטוח הלאומי לא מכסה את כל הденבון, ואילו ביטוח הבית יכול לכסות גיוון).  
3. **הגישה ל法定 ביטוח המדינה איטית או שמבוקשים מסמכים רבים**.  

לפי תיעוד האראל (документ ""ביטוח דירה"", עמוד 12), רעידת אדמה נחשבת לנזק ""טבעי"", והיא **לא נכללת בכיסוי הבסיסי של ביטוח הבית** – ולכן יש צורך להוסיף כיסוי מיוחד (כגון ""הצהרת כיסוי לרעידת אדמה"", דף 46-48).  

לסיכום, הביטוח לא יתנו מהמדינה **ב manera אוטומטית** – יש צורך להירשם ל法定 ביטוח או להוסיף כיסוי פרטי, ככלי עימוד.",incorrect,True,"The system's answer claims the state offers basic earthquake coverage, contradicting the ground truth that the state is not obligated to compensate for residential damage.",
dev-04-apartment-medium,apartment,medium,bare_Qwen_Qwen3-32B_cite,Qwen/Qwen3-32B,cite,deepseek-ai/DeepSeek-V4-Pro,"יש לי ביטוח למחזיקי אקדח ברישיון. אם המבטח לא העמיד לי עורך דין ופניתי לעורך דין לפי בחירתי להגנה בהליך הפלילי, עד איזה סכום ישפו אותי על שכר הטרחה וההוצאות?","עד סכום השווה בשקלים ל-6,000 ₪ ביום קרות מקרה הביטוח.","לפי מסמך הביטוח ""הutches לביטוחי מחזיקי רישיון ואקדחים"" (2023), עמוד 7, ביטוח למתווך מוסדר כולל צ Covers את תשלומי ציות לעורך דין וucedים משפטיות בהליך פלילי בהיקף של עד 50,000 ₪ לשכת הاجر וucedים כלליים. 

אם העורך דין שסיימת מטעמך לפי בחירتك, עליו לספק חשבונית לתשלום והוצאות, ואחר-כך תוכל לבקש את החזר הוצאות לפי שقف הביטוח המפורטים במסמך (הutches, עמוד 7, סעיף 6.2). יש לבדוק את הסכום המדויק בשקופת הביטוח שלך, שכן ייתכן שישנה הסתגלות בהתאם למסלול הביטוח הספציפי.",incorrect,True,"The system's answer states coverage up to 50,000 ₪, while the ground truth specifies up to 6,000 ₪.",
dev-05-apartment-hard,apartment,hard,bare_Qwen_Qwen3-32B_cite,Qwen/Qwen3-32B,cite,deepseek-ai/DeepSeek-V4-Pro,"אני חבר ועד בית ורוצה לעשות ביטוח לבניין המשותף, וחוץ מזה יש לי אוסף אומנות פרטי שאני רוצה לבטח גם. איך מצטרפים לשני הביטוחים האלה?","בשני המקרים ההצטרפות נעשית דרך סוכן הביטוח שלך: גם לביטוח ""עד הגג"" לבית המשותף וגם לביטוח Fine Art Collector's Insurance לאוספי אומנות יש לפנות לסוכן הביטוח להצטרפות.","ל投保共建建筑和私人艺术品集合保險，需按以下步驟操作：

1. **共建建筑集体保险**：  
   需要与 Harel 保險公司联系并提交「建筑共有部分集体保险申请表」（文档名称：*השיקול לביטוח משותף למשכנה*，第 15 頁）。此申請需提供建築物所有權人名單、建築用途及風險評估。（*נוהלי ביטוח עולמית לנכסים*，第 55 頁）  

2. **私人藝術品保險**：  
   Harel 提供藝術品附加保險（*ביטוח אמנות וסמלים*），需單獨申請。需提交藝術品鑑定文件、照片及估值報告。具體條款可參考「Harel 藝術品保險條款」（文档页码待确认，建議聯繫客服部門索取）。  

**下一步行動**：  
- 對於建筑保險，聯繫 Harel 獲取申請表並組織所有業主會議表決。  
- 對於藝術品保險，準備藝術品相關文件後，直接聯繫 Harel 保險顧問（電話：1234 777 03）評估需求。  

如需更詳細的表格或條款，建議直接聯繫 Harel 客戶服務部。",incorrect,True,"The system's answer provides specific forms and phone numbers not mentioned in the ground truth, and does not state that joining both insurances is done through the insurance agent as the ground truth specifies.",
dev-06-apartment-hard,apartment,hard,bare_Qwen_Qwen3-32B_cite,Qwen/Qwen3-32B,cite,deepseek-ai/DeepSeek-V4-Pro,"הדירה שלי מבוטחת בסכום של 1,200,000 ש""ח. שריפה פגעה בגינה — בדשא, בשיחים ובמערכת ההשקיה. מה הסכום המקסימלי שהביטוח ישלם על הנזק הזה?","24,000 ש""ח. אחריות המבטח בהרחבה לצמחים, מדשאות ומערכות השקיה מוגבלת ל-2% מסכום הביטוח לפרק ביטוח הדירה: 2% × 1,200,000 = 24,000 ש""ח.","ตามเอกสารนโยบายการประกันภัยของ Harel ฉบับที่ 2726.7 (หน้า 3-4) เงื่อนไขสำหรับการคุ้มครองจากอัคคีภัยบ้านพักอาศัย (ส่วนการคุ้มครองสถานที่ก่อสร้างและสิ่งจัดเตรียม) ระบุว่า ""การคุ้มครองจะครอบคลุมความเสียหายที่เกิดขึ้นแก่โครงสร้างหลักของบ้าน (กำแพง หลังคา ฐานราก) รวมถึงระบบติดตั้งในตัวเช่น ระบบน้ำและระบบไฟฟ้า แต่ไม่รวมพื้นที่สวน สนามหญ้า หรือสิ่งปลูกสร้างที่ไม่ใช่โครงสร้างหลัก ซึ่งการคุ้มครองพื้นที่เหล่านี้อาจอยู่ภายใต้เงื่อนไขหรือทุนประกันที่แยกต่างหาก"" (เอกสาร 2726.7, หน้า 4)  

ในกรณีของท่าน:  
1. เนื่องจากความเสียหายเกิดที่สวน หญ้า และระบบชลประทาน (ไม่ใช่โครงสร้างหลักของบ้าน) การคุ้มครองอาจอยู่ภายใต้ **ทุนประกันที่แยกสำหรับส่วนภายนอก** (เช่น สวน/สนามหญ้า) ซึ่งกำหนดไว้เพิ่มเติมในสัญญา  
2. การประกันภัยทั่วไปของ Harel ระบุว่า ""สิ่งจัดเตรียมภายนอก (เช่น เส้นน้ำสวน/ระบบน้ำ) ถูกคุ้มครองไม่เกิน 10% ของทุนประกันหลัก โดยมีเพดานเพิ่มเติม 100,000 เหรียญสหรัฐ (หรือประมาณ 350,000 NIS) สำหรับค่าซ่อมแซมสวน/สนามหญ้า"" (เอกสาร 2726.7, หน้า 4)  

**สรุปเบื้องต้น**:  
- ทุนประกันหลักสำหรับบ้าน (1,200,000 NIS) **ไม่ครอบคลุม** ค่า修缮สวนโดยตรง  
- ทุนที่ใช้ได้จริงสำหรับความเสียหายที่สวนและระบบชลประทานคือ **ประมาณ 350,000 NIS** (ขึ้นอยู่กับรายละเอียดสัญญา)  

คำแนะนำ: โปรดตรวจสอบนโยบายเฉพาะของท่านเพื่อยืนยันทุนที่แน่ชัด เนื่องจากขึ้นอยู่กับการเลือกแผนเสริมและข้อจำกัดเพิ่มเติม (เช่น ค่าทวงค่าเสียหาย)",incorrect,True,"The system's answer states a maximum of approximately 350,000 NIS, while the ground truth specifies 24,000 NIS (2% of 1,200,000).",
dev-07-business-easy,business,easy,bare_Qwen_Qwen3-32B_cite,Qwen/Qwen3-32B,cite,deepseek-ai/DeepSeek-V4-Pro,"אני מעסיק במשרד עובדים דרך קבלן משנה. אם עובד של קבלן המשנה ייפגע ויתבע אותי, האם ביטוח החבות בפוליסת המכלול למשרד יכסה את זה?","לא. הפרק מחריג במפורש את חבות המבוטח כלפי קבלן, עובד של קבלן או קבלן משנה, עובד של קבלן משנה ועובדי חברות כוח אדם.","לפי דוגמה לסוג תביעה כזו, ביטוח החבות בפולית המכלול עשירה לא מכסה תביעות שנוצרות ממשיכי-ה العمل או פועלים של קבלנים משנה (תע""מ). הביטוח מכסה ריבית תביעות שהמקור בהן הוא באיזה פועל או משלוחים, אך אינו מכסה תביעות הנובעות ממשיכי-ה העבודה או פועלים משלוחים. כמו כן, יש צורך לבדוק את סעיפים מתקדמים בתนโยบาย שמתיחסים לחבות הנובעת מהתנהלות ביטחונית של הקבלן. 

ייתכן שהפוליסת המכלול שלכם תהיה מוסדרת אחרת, אך באופן כללי, תביעה של עובד קבלן משנה על פגיעה שנוצרה בעבודת הפרויקט תופנה לקבלן ולא למשכיר הראשי. עם זאת, אם הטענה תלויה בטעות או חוסר ביטחון שנבע מהתנהלותכם - ייתכן שהביטוח ייכסה (תלוי בתנאי הביטוח הספציפיים). 

כדי לענות בצורה מדווקה, יש לבדוק את תนโย תนโย הספציפית בדף חבות (סיפר חבות / תביעה מול עובדי קבלנים). אם אינכם יכולים לוודא את התנאי - מומלץ לפנות trựcית לשירות הלקוחות של הראל.",incorrect,True,"The system's answer says coverage 'may' exist and depends on the policy, while the ground truth states the policy explicitly excludes liability toward subcontractor employees.",
dev-08-business-easy,business,easy,bare_Qwen_Qwen3-32B_cite,Qwen/Qwen3-32B,cite,deepseek-ai/DeepSeek-V4-Pro,"יש לי ביטוח ציוד אלקטרוני לעסק, ובאמצע תקופת הביטוח חל שינוי מהותי בעסק שלי. האם אני חייב להודיע על כך לחברת הביטוח בכתב?","כן. הפוליסה קובעת שבמשך תקופת הביטוח על המבוטח לגלות למבטח בכתב כל שינוי בעניין מהותי, באופן מיידי מעת שנודע לו על כך.","כן, לפי נהלי הביטוח של ביטוח עסקי להראל,คุณ מחויב לדווח לחברת הביטוח על שינוי מהותי בעסק בכתב תוך 10 ימים ממועד קיומו, גם אם发生变化 מתרחש באמצע תקופת הביטוח. סיבה לכך היא ששינוי זה יכול להשפיע על שיקול דעת החברה בעניין סכומי הביטוח, התחייבותות, או תקף הביטוח עצמו. אינך יכול להניח כי דיווח מילולי יספיק – הנדרש הוא הודעה书面 (เช่น, דואר אלקטרוני, קובץ, או תביעה נסמכת) במלוא שמן. 

מקור התשובה: פקודות ביטוח עסקי להראל, עמוד 7 (חלק ג', זיינס מכרז). אם השינוי כולל, לדוגמה, שינוי בסוג הפעילות, תוספת מתקנים, או העברה של מבני תעשיה, הוא נחשב כ""שינוים מהותיים"" לצורך הדין tersebut.",correct,True,"The system's answer correctly states that written notification is required, which matches the ground truth.",
dev-09-business-medium,business,medium,bare_Qwen_Qwen3-32B_cite,Qwen/Qwen3-32B,cite,deepseek-ai/DeepSeek-V4-Pro,"אם המשרד שלי יושבת בעקבות נזק מכוסה, לכמה זמן לכל היותר אקבל פיצוי על אובדן ההכנסות?","תקופת השיפוי מסתיימת בתום תקופת ההשבתה ולא יאוחר מ-100 ימים מתחילת ההשבתה, אלא אם נקבע אחרת ברשימה.","לפי תקנון ""ביטוח חיים וחיסכון"" של ההראל (עמוד 15), הפיצוי על אובדן הכנסות לאחר נטיעת משפחתי (למשל, התיישנות לצפיית תקלות) מוגבל ל-6 חודשים סופר. כלומר, לאחר שהמשרד שלך יושבת בעקבות נזק מכוסה, תוכל/י לקבל פיצוי להכנסות אובדנית לכל היותר עד 6 חודשים מהרגע שבו הקטנת את הפעילות העסקית. 

עם זאת, אם יש סיבות יוצאות מהכלל, כמו נזק חמור שדורש התיישנות ארוכה יותר, ההראל עשוי למלא את התלונות גם מעבר ל-6 החודשים,شرط שיעוררו התלונות ולפני זה יתקיים פתרון תקציבי מתאים. 

לכן, באופן כללי - הסכום הגבוה ביותר יהיה עד 6 חודשים, אך יש להתייעץ עם ההראל להזניק את המקרה הספציפי.",incorrect,True,"The system's answer states a maximum of 6 months, while the ground truth specifies a maximum of 100 days.",
dev-10-business-medium,business,medium,bare_Qwen_Qwen3-32B_cite,Qwen/Qwen3-32B,cite,deepseek-ai/DeepSeek-V4-Pro,אני חוקר שמתכנן ניסוי קליני שאושר על ידי ועדת הלסינקי. האם אני חייב לרכוש ביטוח לניסוי?,"כן. פוליסת ביטוח ניסויים קליניים נדרשת עבור כל ניסוי קליני המאושר על-ידי ועדת הלסינקי, בהתאם לנוהלי משרד הבריאות. הפוליסה מכסה תביעות נזיקין של משתתפים בניסוי או צד ג' וכוללת כיסוי הוצאות הגנה משפטית.","על פי ביטוחי הראל, בד""כ יש צורך בביטוח תובעים (למשל, ביטוח אחריות להרträים) עבור ניסויים קליניים, גם לאחר האישור של ועדת הלסינקי. ביטוח זה מכסה נזקים שיכולים להיגרם לעמיתי הניסוי. 

עם זאת, **אין ביטוח רשמי של הראל שנקבע כנדרש באופן אוטומטי** לכולם ניסויים. הנדרש תלוי בתקציב וב主办方 (למשל, מוסד אקדמי, חברות תרופות). לעיתים, ביטוח זה מסופק על ידי המוסד של המحقق או על ידי מוניטין. 

במקרה שמדובר במחקר תפעולי תחת חוק הלאום (שלא מחייב ביטוח), או קיים ביטוח קיים (כגון ביטוח מוסד), ייתכן שלא יידרש ביטוח נוסף. 

כדי לוודא את הדרישות המדויקות, מומלץ לפנות יישורית לแผน היעד של הראל או לעובד ביטוח מוסמך (הראל, עמוד 25, ""ביטוח תובעים- מדריך""). 

אם אין ביטוח ספציפי למחקר, הراשה יידרש לבדוק את חוק ההרträים והביטוחים להגנת ניסויים (ת.ת. 2003).",incorrect,True,"The system's answer contradicts the ground truth by stating insurance is not automatically required, while the ground truth clearly states it is mandatory.",
