id,domain,difficulty,run,answering_model,system_prompt,judge_model,question,ground_truth,model_answer,verdict,confident,judge_reason,citations
dev-01-apartment-easy,apartment,easy,rag_topk8_moonshotai_Kimi-K2.6,unknown — see ours/experiments.jsonl,,deepseek-ai/DeepSeek-V4-Pro,הגשתי תביעה לחברת הביטוח והיא עדיין בטיפול כבר הרבה זמן. האם עצם הפנייה לחברה עוצרת את מרוץ ההתיישנות של התביעה שלי?,"לא, ככלל הגשת תביעה לגוף מוסדי אינה עוצרת את מרוץ ההתיישנות ורק הגשת תביעה לבית משפט עוצרת אותו.","לא, ככלל הגשת תביעה לגוף מוסדי (כמו חברת ביטוח) אינה עוצרת את מרוץ ההתיישנות; רק הגשת תביעה לבית משפט עוצרת את מרוץ ההתיישנות.",correct,True,"The system's answer matches the ground truth that filing a claim with an institutional body does not stop the statute of limitations, only filing in court does.","[{""file"": ""long-term-care/files/טופס-הגשת-תביעה-ביטוח-סיעודי.pdf"", ""page"": 5, ""quote"": ""ככלל, הגשת תביעה לגוף מוסדי אינה עוצרת את מרוץ ההתיישנות, ורק הגשת תביעה לבית משפט עוצרת את מרוץ ההתיישנות.""}]"
dev-02-apartment-easy,apartment,easy,rag_topk8_moonshotai_Kimi-K2.6,unknown — see ours/experiments.jsonl,,deepseek-ai/DeepSeek-V4-Pro,קרה נזק בדירה שלי לפני חודש. האם נכון שיש לי שלוש שנים מיום המקרה להגיש תביעה לתגמולי ביטוח?,"כן, תקופת ההתיישנות של תביעה לתגמולי ביטוח היא שלוש שנים לאחר שקרה מקרה הביטוח.","כן, נכון. לפי הוראות סעיף 31 לחוק חוזה הביטוח, תקופת ההתיישנות של תביעה לתגמולי ביטוח היא שלוש שנים לאחר שקרה מקרה הביטוח.",correct,True,"The system's answer confirms the three-year limitation period, matching the ground truth.","[{""file"": ""apartment/files/הודעה-על-תקופת-התיישנות.pdf"", ""page"": 1, ""quote"": ""תקופת ההתיישנות של תביעה לתגמולי ביטוח היא שלוש שנים לאחר שקרה מקרה הביטוח""}]"
dev-03-apartment-medium,apartment,medium,rag_topk8_moonshotai_Kimi-K2.6,unknown — see ours/experiments.jsonl,,deepseek-ai/DeepSeek-V4-Pro,"אם תהיה רעידת אדמה והדירה שלי תיפגע, המדינה לא אמורה לפצות אותי בכל מקרה? למה בכלל להוסיף כיסוי כזה לביטוח הדירה?","לא. חוק פיצוי נפגעי אסון טבע אמנם כולל רעידות אדמה, אך הוא מתייחס לנזקים לתשתית חקלאית בלבד — המדינה אינה מחויבת לפצות אזרחים על נזקים למבני מגורים. לכן חשוב לא לוותר על כיסוי רעידת אדמה בביטוח הדירה.","לא, המדינה אינה מחויבת לפצות על נזקי רעידת אדמה למבני מגורים. חוק פיצוי נפגעי אסון טבע כולל רעידות אדמה, אך הוא מתייחס לנזקים לתשתית חקלאית בלבד. בדיוק משום כך חשוב לא לוותר על כיסוי רעידת אדמה בביטוח הדירה.",correct,True,"The system's answer correctly states the state is not obligated to compensate for residential earthquake damage and explains the law covers agricultural infrastructure only, matching the ground truth.","[{""file"": ""apartment/pages/earthquak-insurance-coverage.txt"", ""page"": 1, ""quote"": ""בפועל, חוק פיצוי נפגעי אסון טבע אמנם כולל בתוכו רעידות אדמה, אך הוא מתייחס לנזקים לתשתית חקלאית בלבד. כלומר, המדינה אינה מחויבת לפצות אזרחים עקב נזקים שנגרמו למבני מגורים. בדיוק בשל סיבה זו חשוב לא לוותר על כיסוי רעידת אדמה בביטוח הדירה""}]"
dev-04-apartment-medium,apartment,medium,rag_topk8_moonshotai_Kimi-K2.6,unknown — see ours/experiments.jsonl,,deepseek-ai/DeepSeek-V4-Pro,"יש לי ביטוח למחזיקי אקדח ברישיון. אם המבטח לא העמיד לי עורך דין ופניתי לעורך דין לפי בחירתי להגנה בהליך הפלילי, עד איזה סכום ישפו אותי על שכר הטרחה וההוצאות?","עד סכום השווה בשקלים ל-6,000 ₪ ביום קרות מקרה הביטוח.","עד סכום של 6,000 ש""ח ביום קרות מקרה הביטוח.",correct,True,The system's answer matches the ground-truth amount and timing exactly.,"[{""file"": ""apartment/files/פוליסה-לביטוח-דירה-ותכולתה-ש-מהדורת-אוגוסט-2020.pdf"", ""page"": 24, ""quote"": ""אם לא העמיד המבטח עורך-דין בהתאם לאמור לעיל, רשאי המבוטח לפי הרחבה זו ב. לפנות לעורך-דין לפי בחירתו. במקרה כזה, ישפה המבטח את המבוטח בתשלום שכר אך לא יותר מהסכום השווה , הטרחה והוצאות ההגנה אשר שולמו על-ידי המבוטח .₪ 6000בשקלים ביום קרות מקרה הביטוח ל""}]"
dev-05-apartment-hard,apartment,hard,rag_topk8_moonshotai_Kimi-K2.6,unknown — see ours/experiments.jsonl,,deepseek-ai/DeepSeek-V4-Pro,"אני חבר ועד בית ורוצה לעשות ביטוח לבניין המשותף, וחוץ מזה יש לי אוסף אומנות פרטי שאני רוצה לבטח גם. איך מצטרפים לשני הביטוחים האלה?","בשני המקרים ההצטרפות נעשית דרך סוכן הביטוח שלך: גם לביטוח ""עד הגג"" לבית המשותף וגם לביטוח Fine Art Collector's Insurance לאוספי אומנות יש לפנות לסוכן הביטוח להצטרפות.",המידע אינו נמצא במקורות שסופקו.,refusal,False,"The system states the information is not in the provided sources, which is a refusal to answer.",
dev-06-apartment-hard,apartment,hard,rag_topk8_moonshotai_Kimi-K2.6,unknown — see ours/experiments.jsonl,,deepseek-ai/DeepSeek-V4-Pro,"הדירה שלי מבוטחת בסכום של 1,200,000 ש""ח. שריפה פגעה בגינה — בדשא, בשיחים ובמערכת ההשקיה. מה הסכום המקסימלי שהביטוח ישלם על הנזק הזה?","24,000 ש""ח. אחריות המבטח בהרחבה לצמחים, מדשאות ומערכות השקיה מוגבלת ל-2% מסכום הביטוח לפרק ביטוח הדירה: 2% × 1,200,000 = 24,000 ש""ח.","הסכום המקסימלי שיבוטח בגין הנזק לגינה (צמחים, מדשאות, שיחים ומערכת השקיה) הוא 2% מסכום הביטוח לפרק א' — ביטוח הדירה, כלומר 24,000 ש""ח (2% מ־1,200,000 ש""ח).",correct,True,"The system's answer matches the ground truth: 2% of 1,200,000 = 24,000 ILS.","[{""file"": ""apartment/files/תנאי-פוליסת-ביטוח-דירה-אדירה-כסף-מהדורת-פברואר-2025.pdf"", ""page"": 9, ""quote"": ""הביטוח מורחב לכסות נזק שנגרם לצמחים, מדשאות, עצים, שיחים ומערכות השקיה השייכים לדירה... ואחריות המבטח בגין סעיפים אלה לא תעלה על מסכום הביטוח לפרק א' - ביטוח הדירה. 2%""}]"
dev-07-business-easy,business,easy,rag_topk8_moonshotai_Kimi-K2.6,unknown — see ours/experiments.jsonl,,deepseek-ai/DeepSeek-V4-Pro,"אני מעסיק במשרד עובדים דרך קבלן משנה. אם עובד של קבלן המשנה ייפגע ויתבע אותי, האם ביטוח החבות בפוליסת המכלול למשרד יכסה את זה?","לא. הפרק מחריג במפורש את חבות המבוטח כלפי קבלן, עובד של קבלן או קבלן משנה, עובד של קבלן משנה ועובדי חברות כוח אדם.","ביטוח החבות בפוליסת המכלול למשרד עשוי לכסות תביעה של עובד קבלן משנה נגדך, אך רק אם מתקיימים שלושה תנאים: (1) שנקבע במפורש ברשימה כי כיסוי קבלנים ו/או קבלני משנה ו/או עובדי חברות כוח אדם תקף; (2) שאתה נחשב כמעבידם של עובדי קבלן המשנה; (3) שאינך זכאי לשיפוי כלפיהם בגין אותו מקרה ביטוח על פי כל ביטוח אחר שנערך על ידך או לטובתך.",incorrect,True,"The ground truth says the policy explicitly excludes coverage, while the system's answer says coverage may exist under certain conditions.","[{""file"": ""business/files/תנאי-פוליסה-ביטוח-מכלול-למשרד-מהדורת-ינואר-2024.pdf"", ""page"": 48, ""quote"": ""כיסוי קבלנים ו/או קבלני משנה ו/או עובדי חברות כוח אדם יכסה הביטוח את חבותו אם נקבע במפורש ברשימה כי כיסוי זה תקף, החוקית של המבוטח כלפי קבלנים, עובדי קבלנים, קבלני משנה, עובדי קבלני אשר שכרם ו/או מספרם נכלל בהצהרות אשר , משנה או עובדי כוח אדם על המבוטח למסור על פי פרק זה, ובלבד שהמבוטח ייחשב כמעבידם, אך לא כאשר המבוטח זכאי לשיפוי כלפי המנויים , עקב מקרה הביטוח בכיסוי זה בגין אותו מקרה הביטוח, על פי כל ביטוח אחר שנערך על ידו או לטובתו.""}]"
dev-08-business-easy,business,easy,rag_topk8_moonshotai_Kimi-K2.6,unknown — see ours/experiments.jsonl,,deepseek-ai/DeepSeek-V4-Pro,"יש לי ביטוח ציוד אלקטרוני לעסק, ובאמצע תקופת הביטוח חל שינוי מהותי בעסק שלי. האם אני חייב להודיע על כך לחברת הביטוח בכתב?","כן. הפוליסה קובעת שבמשך תקופת הביטוח על המבוטח לגלות למבטח בכתב כל שינוי בעניין מהותי, באופן מיידי מעת שנודע לו על כך.","כן, במשך תקופת הביטוח אתה חייב להודיע למבטח, בכתב, על כל שינוי בעניין מהותי, וזאת באופן מיידי מעת שנודע לך על כך.",correct,True,The system's answer matches the ground truth: it confirms the obligation to notify in writing immediately upon learning of a material change.,"[{""file"": ""business/files/22307_pnimhaim_22308c_sofi_mail.pdf"", ""page"": 9, ""quote"": ""במשך תקופת הביטוח יגלה המבוטח למבטח, בכתב, כל שינוי בעניין מהותי, וזאת באופן מיידי מעת שנודע לו על כך.""}]"
dev-09-business-medium,business,medium,rag_topk8_moonshotai_Kimi-K2.6,unknown — see ours/experiments.jsonl,,deepseek-ai/DeepSeek-V4-Pro,"אם המשרד שלי יושבת בעקבות נזק מכוסה, לכמה זמן לכל היותר אקבל פיצוי על אובדן ההכנסות?","תקופת השיפוי מסתיימת בתום תקופת ההשבתה ולא יאוחר מ-100 ימים מתחילת ההשבתה, אלא אם נקבע אחרת ברשימה.","לכל היותר 100 ימים מתאריך השבתת הפעילות, אלא אם צוין אחרת ברשימה.",correct,True,"The system's answer correctly states the maximum 100-day period from the start of the shutdown, matching the ground truth.","[{""file"": ""business/files/תנאי-פוליסת-ביטוח-מכלול-למשרד-מהדורת-ינואר-2024-באנגלית.pdf"", ""page"": 36, ""quote"": ""as and from the date of the layup of the operations and ending at the end of the layup period - no later than 100 days thereafter - unless otherwise specified in the schedule""}]"
dev-10-business-medium,business,medium,rag_topk8_moonshotai_Kimi-K2.6,unknown — see ours/experiments.jsonl,,deepseek-ai/DeepSeek-V4-Pro,אני חוקר שמתכנן ניסוי קליני שאושר על ידי ועדת הלסינקי. האם אני חייב לרכוש ביטוח לניסוי?,"כן. פוליסת ביטוח ניסויים קליניים נדרשת עבור כל ניסוי קליני המאושר על-ידי ועדת הלסינקי, בהתאם לנוהלי משרד הבריאות. הפוליסה מכסה תביעות נזיקין של משתתפים בניסוי או צד ג' וכוללת כיסוי הוצאות הגנה משפטית.",במקטעי המקור שסופקו אין מידע לגבי חובת רכישת ביטוח לניסוי קליני שאושר על ידי ועדת הלסינקי.,refusal,False,"The system states it has no information to answer the question, which is a refusal.",
