id,domain,difficulty,run,answering_model,system_prompt,judge_model,question,ground_truth,model_answer,verdict,confident,judge_reason,citations
dev-01-apartment-easy,apartment,easy,bare_moonshotai_Kimi-K2.6_cite,moonshotai/Kimi-K2.6,cite,deepseek-ai/DeepSeek-V4-Pro,הגשתי תביעה לחברת הביטוח והיא עדיין בטיפול כבר הרבה זמן. האם עצם הפנייה לחברה עוצרת את מרוץ ההתיישנות של התביעה שלי?,"לא, ככלל הגשת תביעה לגוף מוסדי אינה עוצרת את מרוץ ההתיישנות ורק הגשת תביעה לבית משפט עוצרת אותו."," אינני יכול לאמת את התשובה, שכן אין ברשותי מסמך מדויק של חברת הראל ובעמוד ספציפי המתייחס לשאלה האם עצם הפנייה לחברה עוצרת את מרוץ ההתיישנות של תביעה.

לקבלת מידע מדויק בנושא זה, מומלץ:
*   לפנות ישירות למחלקת התביעות של הראל.
*   לעיין בתנאי הפוליסה המלאים שברשותך.
*   להתייעץ עם עורך דין הבקיא בדיני ביטוח.",refusal,False,The system states it cannot verify the answer and refers the customer elsewhere without providing the factual information.,
dev-02-apartment-easy,apartment,easy,bare_moonshotai_Kimi-K2.6_cite,moonshotai/Kimi-K2.6,cite,deepseek-ai/DeepSeek-V4-Pro,קרה נזק בדירה שלי לפני חודש. האם נכון שיש לי שלוש שנים מיום המקרה להגיש תביעה לתגמולי ביטוח?,"כן, תקופת ההתיישנות של תביעה לתגמולי ביטוח היא שלוש שנים לאחר שקרה מקרה הביטוח."," אין ברשותי מסמך ביטוח מדויק של הראל (כולל שם המסמך ומספר עמוד) שאוכל לצטט כמקור לנושא מועד הגשת תביעה לתגמולי ביטוח, ולכן איני יכול לאמת את התשובה. 

מומלץ לעיין בתנאי הפוליסה שלך או לפנות ישירות לשירות הלקוחות של הראל לקבלת המידע המדויק והמאומת בהקשר שלך.",refusal,False,The system states it cannot verify the answer and refers the user to the policy or customer service without confirming the fact.,
dev-03-apartment-medium,apartment,medium,bare_moonshotai_Kimi-K2.6_cite,moonshotai/Kimi-K2.6,cite,deepseek-ai/DeepSeek-V4-Pro,"אם תהיה רעידת אדמה והדירה שלי תיפגע, המדינה לא אמורה לפצות אותי בכל מקרה? למה בכלל להוסיף כיסוי כזה לביטוח הדירה?","לא. חוק פיצוי נפגעי אסון טבע אמנם כולל רעידות אדמה, אך הוא מתייחס לנזקים לתשתית חקלאית בלבד — המדינה אינה מחויבת לפצות אזרחים על נזקים למבני מגורים. לכן חשוב לא לוותר על כיסוי רעידת אדמה בביטוח הדירה."," איני יכול לאמת את התשובה, שכן אין בידי את המסמכים המדויקים של חברת הראל ביטוח ואת מספרי העמודים הדרושים לציון מקור לכל טענה עובדתית.

מומלץ לפנות ישירות לנציגי שירות הלקוחות של הראל ביטוח, או לעיין בתנאי הפוליסה, תשריטי הכיסוי ומסמכי ההצעה המצורפים לביטוח הדירה שלך, כדי לקבל מידע מדויק על כיסוי רעידת אדמה ועל מנגנוני הפיצוי הרלוונטיים.",refusal,False,The system refuses to answer and refers the customer to other sources without providing the requested factual information.,
dev-04-apartment-medium,apartment,medium,bare_moonshotai_Kimi-K2.6_cite,moonshotai/Kimi-K2.6,cite,deepseek-ai/DeepSeek-V4-Pro,"יש לי ביטוח למחזיקי אקדח ברישיון. אם המבטח לא העמיד לי עורך דין ופניתי לעורך דין לפי בחירתי להגנה בהליך הפלילי, עד איזה סכום ישפו אותי על שכר הטרחה וההוצאות?","עד סכום השווה בשקלים ל-6,000 ₪ ביום קרות מקרה הביטוח."," אינני יכול לאמת את התשובה לגבי סכום השיפוי המקסימלי על שכר טרחת עורך דין והוצאות בהליך הפלילי, מכיוון שאין בידי את תעודת הביטוח המדויקת של הראל לביטוח למחזיקי אקדח ברישיון ואת מספרי העמודים הרלוונטיים בה.

על מנת לקבל את המידע המדויק, מומלץ לעיין בפוליסת הביטוח שלך – בדרך כלל בסעיפים העוסקים בהוצאות משפט, הגנה בהליכים פליליים או סיוע משפטי – או לפנות ישירות לסוכן הביטוח או לשירות הלקוחות של הראל.",refusal,False,The system states it cannot verify the answer and refers the user to the policy or customer service without providing the requested amount.,
dev-05-apartment-hard,apartment,hard,bare_moonshotai_Kimi-K2.6_cite,moonshotai/Kimi-K2.6,cite,deepseek-ai/DeepSeek-V4-Pro,"אני חבר ועד בית ורוצה לעשות ביטוח לבניין המשותף, וחוץ מזה יש לי אוסף אומנות פרטי שאני רוצה לבטח גם. איך מצטרפים לשני הביטוחים האלה?","בשני המקרים ההצטרפות נעשית דרך סוכן הביטוח שלך: גם לביטוח ""עד הגג"" לבית המשותף וגם לביטוח Fine Art Collector's Insurance לאוספי אומנות יש לפנות לסוכן הביטוח להצטרפות."," איני יכול לאמת את התשובה, שכן אין בידי את שמות המסמכים המדויקים של הראל ביטוח ומספרי העמודים המתאימים.

מומלץ לפנות ישירות להראל ביטוח דרך האתר הרשמי או בשירות הלקוחות, ולקבל מהנציגים מידע מהימן ומדויק אודות ההצטרפות לביטוח לבניין משותף ולביטוח לאוסף אמנות פרטי. הם יוכלו להדריך אותך בתהליך, בכפוף למסמכי החברה הרלוונטיים.",refusal,False,"The system states it cannot verify the answer and refers the customer to contact Harel directly, providing no factual information.",
dev-06-apartment-hard,apartment,hard,bare_moonshotai_Kimi-K2.6_cite,moonshotai/Kimi-K2.6,cite,deepseek-ai/DeepSeek-V4-Pro,"הדירה שלי מבוטחת בסכום של 1,200,000 ש""ח. שריפה פגעה בגינה — בדשא, בשיחים ובמערכת ההשקיה. מה הסכום המקסימלי שהביטוח ישלם על הנזק הזה?","24,000 ש""ח. אחריות המבטח בהרחבה לצמחים, מדשאות ומערכות השקיה מוגבלת ל-2% מסכום הביטוח לפרק ביטוח הדירה: 2% × 1,200,000 = 24,000 ש""ח."," אין בידי את המסמך המדויק של חברת הראל ומספר העמוד הספציפי המפרט את סכום הכיסוי המקסימלי עבור נזק לגינה (לרבות דשא, שיחים ומערכת השקיה) במסגרת פוליסת ביטוח הדירה.

לכן, **אינני יכול לאמת את התשובה**.

להשגת מידע מדויק בנושא, מומלץ לעיין בתנאי הפוליסה שנמסרו לך או לפנות ישירות לשירות הלקוחות של הראל עם מספר הפוליסה.",refusal,False,The system states it cannot verify the answer and refers the customer elsewhere without providing the requested amount.,
dev-07-business-easy,business,easy,bare_moonshotai_Kimi-K2.6_cite,moonshotai/Kimi-K2.6,cite,deepseek-ai/DeepSeek-V4-Pro,"אני מעסיק במשרד עובדים דרך קבלן משנה. אם עובד של קבלן המשנה ייפגע ויתבע אותי, האם ביטוח החבות בפוליסת המכלול למשרד יכסה את זה?","לא. הפרק מחריג במפורש את חבות המבוטח כלפי קבלן, עובד של קבלן או קבלן משנה, עובד של קבלן משנה ועובדי חברות כוח אדם."," שלום,

לצערי, אין בידי גישה למסמכי הפוליסה **""המכלול למשרד""** של חברת הראל ביטוח ולעמודים הספציפיים בהם מוגדרים הכיסוי, היוצאים מן הכלל והתנאים בנושא עובדי קבלן משנה. לכן, **אינני יכול לאמת את התשובה** (document name, page).

הנושא תלוי במבנה הפוליסה הספציפי שלך, בהגדרות המונחים (כגון ""עובד"", ""צד שלישי"" ו""קבלן""), ובתנאים וביוצאים מן הכלל הרלוונטיים. מומלץ מאוד לבדוק את תנאי הפוליסה המלאים שלך או לפנות ישירות לסוכן הביטוח או למוקד שירות הלקוחות של הראל לקבלת תשובה מדויקת המבוססת על תנאי הפוליסה שלך.",refusal,False,"The system states it cannot verify the answer and refers the user to check the policy or contact the insurer, without providing the factual yes/no answer.",
dev-08-business-easy,business,easy,bare_moonshotai_Kimi-K2.6_cite,moonshotai/Kimi-K2.6,cite,deepseek-ai/DeepSeek-V4-Pro,"יש לי ביטוח ציוד אלקטרוני לעסק, ובאמצע תקופת הביטוח חל שינוי מהותי בעסק שלי. האם אני חייב להודיע על כך לחברת הביטוח בכתב?","כן. הפוליסה קובעת שבמשך תקופת הביטוח על המבוטח לגלות למבטח בכתב כל שינוי בעניין מהותי, באופן מיידי מעת שנודע לו על כך."," אינני יכול לאמת את התשובה, שכן אין ברשותי את המסמך המדויק של חברת הראל ביטוח ואת מספר העמוד הרלוונטי לנושא זה. מומלץ לפנות ישירות לנציגי הראל או לעיין במסמכי הפוליסה שלך, כדי לוודא מהם התנאים המחייבים בדבר הודעה על שינויים מהותיים בעסק במהלך תקופת הביטוח.",refusal,False,The system states it cannot verify the answer and refers the customer to the policy or a representative without providing the requested fact.,
dev-09-business-medium,business,medium,bare_moonshotai_Kimi-K2.6_cite,moonshotai/Kimi-K2.6,cite,deepseek-ai/DeepSeek-V4-Pro,"אם המשרד שלי יושבת בעקבות נזק מכוסה, לכמה זמן לכל היותר אקבל פיצוי על אובדן ההכנסות?","תקופת השיפוי מסתיימת בתום תקופת ההשבתה ולא יאוחר מ-100 ימים מתחילת ההשבתה, אלא אם נקבע אחרת ברשימה."," אינני יכול לאמת את התשובה, שכן אין בידי את שם המסמך המדויק של חברת הראל והעמוד בו נקבע משך הזמן המרבי לפיצוי על אובדן הכנסות במקרה של ישיבת משרד בעקבות נזק מכוסה.

מומלץ לבדוק את תנאי הפוליסה העסקית שלך או לפנות לנציג שירות לקוחות הראל לקבלת המידע המדויק בנושא.",refusal,False,"The system states it cannot verify the answer and refers the user to check the policy or contact support, without providing the requested factual information.",
dev-10-business-medium,business,medium,bare_moonshotai_Kimi-K2.6_cite,moonshotai/Kimi-K2.6,cite,deepseek-ai/DeepSeek-V4-Pro,אני חוקר שמתכנן ניסוי קליני שאושר על ידי ועדת הלסינקי. האם אני חייב לרכוש ביטוח לניסוי?,"כן. פוליסת ביטוח ניסויים קליניים נדרשת עבור כל ניסוי קליני המאושר על-ידי ועדת הלסינקי, בהתאם לנוהלי משרד הבריאות. הפוליסה מכסה תביעות נזיקין של משתתפים בניסוי או צד ג' וכוללת כיסוי הוצאות הגנה משפטית."," לא אוכל לאמת את התשובה לשאלתך על סמך מסמכי חברת ביטוח הראל. מכיוון שאיני יכול להצביע על מסמך ספציפי של הראל ועמוד מדויק המתייחס למחייבות רכישת ביטוח לניסוי קליני שאושר על ידי ועדת הלסינקי, איני יכול לספק תשובה ודאית בנושא זה.

מומלץ לפנות ישירות לנציגי הראל או למוקד התמיכה של החברה לקבלת מידע מדויק ועדכני לגבי ביטוחי ניסויים קליניים, או להתייעץ עם הנהלת הניסויים במוסד שלך.",refusal,False,The system's answer declines to provide an answer and refers the user to contact Harel directly.,
