id,domain,difficulty,run,answering_model,system_prompt,judge_model,question,ground_truth,model_answer,verdict,confident,judge_reason,citations
dev-01-apartment-easy,apartment,easy,bare_Qwen_Qwen3.5-397B-A17B_cite,Qwen/Qwen3.5-397B-A17B,cite,deepseek-ai/DeepSeek-V4-Pro,הגשתי תביעה לחברת הביטוח והיא עדיין בטיפול כבר הרבה זמן. האם עצם הפנייה לחברה עוצרת את מרוץ ההתיישנות של התביעה שלי?,"לא, ככלל הגשת תביעה לגוף מוסדי אינה עוצרת את מרוץ ההתיישנות ורק הגשת תביעה לבית משפט עוצרת אותו.","

שלום רב,

לצערנו, איני יכול לאמת את התשובה לשאלה זו על סמך מסמכי חברת הראל (שם מסמך, עמוד), כיוון שאין בידי גישה למסמך ספציפי של החברה המגדיר את השפעת הפנייה על מרוץ ההתיישנות.

סוגיית ההתיישנות היא סוגיה משפטית התלויה בנסיבות המקרה ובחוקי מדינת ישראל. מומלץ להתייעץ עם עורך דין לקבלת ייעוץ משפטי מדויק regarding the statute of limitations.

באשר לסטטוס הטיפול בתביעה, הנך מוזמן לפנות למוקד התביעות של החברה לקבלת עדכון שוטף.",refusal,False,"The system states it cannot verify the answer and refers the user to a lawyer, without providing the factual answer.",
dev-02-apartment-easy,apartment,easy,bare_Qwen_Qwen3.5-397B-A17B_cite,Qwen/Qwen3.5-397B-A17B,cite,deepseek-ai/DeepSeek-V4-Pro,קרה נזק בדירה שלי לפני חודש. האם נכון שיש לי שלוש שנים מיום המקרה להגיש תביעה לתגמולי ביטוח?,"כן, תקופת ההתיישנות של תביעה לתגמולי ביטוח היא שלוש שנים לאחר שקרה מקרה הביטוח.","

שלום רב,

קודם כל, אנו מצטערים לשמוע על הנזק שאירע בדירתך ומקווים כי הכול יתוקן על הצד הטוב ביותר.

לגבי שאלתך בנוגע לתקופת ההתיישנות להגשת תביעה: לצערי, איני יכול לאשר או להפריך את הטענה כי עומדות לך שלוש שנים מיום המקרה, כיוון שאין באפשרותי לצטט מסמך ספציפי של חברת הראל ומספר עמוד מדויק המאשרים מידע זה (document name, page). על פי ההנחיות שלי, כל טענה עובדתית חייבת להיות מגובה במקור מתיעד, ובמקרה זה אין בידי את גישת המסמך הספציפי הרלוונטי לפוליסה שלך.

תנאי הביטוח, לרבות הוראות בדבר התיישנות ומועדי דיווח, עשויים להשתנות בהתאם לסוג הפוליסה ולתאריך הנפקתה.

מומלץ מאוד לעיין במסמך הפוליסה שברשותך, תחת הפרקים העוסקים ב""תביעות"", ""הוראות כלליות"" או ""התיישנות"". כמו כן, לשם קבלת תשובה מדויקת המבוססת על תנאי הביטוח הספציפיים שלך, אנא פנה למוקד שירות הלקוחות של הראל או לסוכן הביטוח שלך.

בברכה,
מערכת שירות לקוחות (ווירטואלית)",refusal,False,"The system refuses to confirm or deny the three-year limitation period, stating it cannot answer without a specific policy document.",
dev-03-apartment-medium,apartment,medium,bare_Qwen_Qwen3.5-397B-A17B_cite,Qwen/Qwen3.5-397B-A17B,cite,deepseek-ai/DeepSeek-V4-Pro,"אם תהיה רעידת אדמה והדירה שלי תיפגע, המדינה לא אמורה לפצות אותי בכל מקרה? למה בכלל להוסיף כיסוי כזה לביטוח הדירה?","לא. חוק פיצוי נפגעי אסון טבע אמנם כולל רעידות אדמה, אך הוא מתייחס לנזקים לתשתית חקלאית בלבד — המדינה אינה מחויבת לפצות אזרחים על נזקים למבני מגורים. לכן חשוב לא לוותר על כיסוי רעידת אדמה בביטוח הדירה.","

שלום רב,

חשוב לי להבהיר כי איני יכול לאמת את תנאי הפוליסה הספציפיים של חברת הראל עם ציטוט מסמך ועמוד מדויק, שכן אין בידי גישה למסמך הפוליסה הפיזי או הדיגיטלי העדכני שלך (מסמך פוליסה, עמוד לא זמין).同样， לגבי פיצויי המדינה, איני יכול לאמת את סעיפי החוק עם מספור עמודים ספציפיים במסמך הרשמי (חוק פיצויים עבור נזקי רעידת אדמה, תשכ""א-1961, ללא מספור עמודים).

עם זאת, באופן כללי, ביטוח דירה פרטי נועד לרוב להשלים פערים שאינם מכוסים במלואם על ידי פיצויי המדינה, אשר עשויים להיות מוגבלים בהיקפם (מידע כללי, ללא מקור מצוטט).

מומלץ לעיין בתנאי הפוליסה הספציפית שלך או לפנות לסוכן הביטוח לקבלת פרטים מדויקים הניתנים לאימות (מסמך פוליסה, עמוד לא זמין).",refusal,False,The system states it cannot verify the law or policy and refers the customer to their agent without answering the core question.,
dev-04-apartment-medium,apartment,medium,bare_Qwen_Qwen3.5-397B-A17B_cite,Qwen/Qwen3.5-397B-A17B,cite,deepseek-ai/DeepSeek-V4-Pro,"יש לי ביטוח למחזיקי אקדח ברישיון. אם המבטח לא העמיד לי עורך דין ופניתי לעורך דין לפי בחירתי להגנה בהליך הפלילי, עד איזה סכום ישפו אותי על שכר הטרחה וההוצאות?","עד סכום השווה בשקלים ל-6,000 ₪ ביום קרות מקרה הביטוח.","

שלום רב,

לצערם, איני יכול לאמת את התשובה לשאלתך. הסיבה היא שאין בידי אפשרות להצביע על מסמך ""תנאי הביטוח"" הספציפי של חברת הראל הכולל את הסעיף הרלוונטי ולציין את העמוד המדויק (שם מסמך, עמוד).

כדי לקבל את המידע המדויק והמחייב regarding סכומי ההשתתפות והכיסוי המשפטי, נא לעיין במסמך תנאי הביטוח שבידך או לפנות למוקד שירות הלקוחות של הראל.",refusal,False,The system states it cannot verify the answer and refers the user to the policy or customer service without providing the requested amount.,
dev-05-apartment-hard,apartment,hard,bare_Qwen_Qwen3.5-397B-A17B_cite,Qwen/Qwen3.5-397B-A17B,cite,deepseek-ai/DeepSeek-V4-Pro,"אני חבר ועד בית ורוצה לעשות ביטוח לבניין המשותף, וחוץ מזה יש לי אוסף אומנות פרטי שאני רוצה לבטח גם. איך מצטרפים לשני הביטוחים האלה?","בשני המקרים ההצטרפות נעשית דרך סוכן הביטוח שלך: גם לביטוח ""עד הגג"" לבית המשותף וגם לביטוח Fine Art Collector's Insurance לאוספי אומנות יש לפנות לסוכן הביטוח להצטרפות.","

שלום רב,

לצערי, איני יכול לאמת את אופן ההצטרפות המדויק לביטוח בניין משותף או ביטוח אוסף אמנות ללא הפניה למסמך הרשמי של הראל ומספר העמוד הרלוונטי (ללא מסמך, עמוד).

כדי לקבל מידע מדויק ועדכני regarding תהליכי ההצטרפות והכיסויים הזמינים, מומלץ לפנות ישירות לחברת הביטוח הראל דרך ערוצי השירות הרשמיים או באמצעות סוכן הביטוח שלך.",refusal,False,"The system states it cannot verify the process without a document and refers the customer to official channels, without providing the requested fact.",
dev-06-apartment-hard,apartment,hard,bare_Qwen_Qwen3.5-397B-A17B_cite,Qwen/Qwen3.5-397B-A17B,cite,deepseek-ai/DeepSeek-V4-Pro,"הדירה שלי מבוטחת בסכום של 1,200,000 ש""ח. שריפה פגעה בגינה — בדשא, בשיחים ובמערכת ההשקיה. מה הסכום המקסימלי שהביטוח ישלם על הנזק הזה?","24,000 ש""ח. אחריות המבטח בהרחבה לצמחים, מדשאות ומערכות השקיה מוגבלת ל-2% מסכום הביטוח לפרק ביטוח הדירה: 2% × 1,200,000 = 24,000 ש""ח.","

שלום רב,

לצערי, אני לא יכול לאמת את הסכום המקסימלי להחזר בגין נזקי גינה ללא ציון מסמך הפוליסה הספציפי שלך ומספר העמוד הרלוונטי (מסמך: פוליסת ביטוח דיירים/מבנה אישית, עמוד: לא זמין לאימות במערכת זו).

תנאי הכיסוי לרכוש חיצוני (כגון גינה, דשא, שיחים ומערכות השקיה) מוגדרים בפוליסה האישית שלך ועשויים לכלול תקרות משנה, השתתפות עצמית או תנאים מיוחדים המששתנים בין גרסאות פוליסה שונות.

לקבלת תשובה מדויקת המבוססת על תנאי הביטוח שלך, אנא עיין במסמך הפוליסה שקיבלת או פנה למוקד שירות הלקוחות של הראל ביטוח.",refusal,False,The system states it cannot verify the amount and refers the customer to the policy or customer service without providing the requested figure.,
dev-07-business-easy,business,easy,bare_Qwen_Qwen3.5-397B-A17B_cite,Qwen/Qwen3.5-397B-A17B,cite,deepseek-ai/DeepSeek-V4-Pro,"אני מעסיק במשרד עובדים דרך קבלן משנה. אם עובד של קבלן המשנה ייפגע ויתבע אותי, האם ביטוח החבות בפוליסת המכלול למשרד יכסה את זה?","לא. הפרק מחריג במפורש את חבות המבוטח כלפי קבלן, עובד של קבלן או קבלן משנה, עובד של קבלן משנה ועובדי חברות כוח אדם.","

שלום רב,

לצערם, איני יכול לאמת את התשובה לשאלה זו כיוון שאין בידי את מסמך הפוליסה המדויק (""פוליסת המכלול למשרד"" של הראל) ומספרי העמודים הרלוונטיים כדי לצטט מקור (שם מסמך, עמוד).

כדי לקבל תשובה מחייבת ומדויקת לג כיסוי ביטוחי במקרה של פגיעת עובד קבלן משנה, יש לבדוק את תנאי הפוליסה הספציפית שלך מול סוכן הביטוח או מוקד השירות של הראל.",refusal,False,The system states it cannot answer without the policy document and refers the customer to their agent or support line.,
dev-08-business-easy,business,easy,bare_Qwen_Qwen3.5-397B-A17B_cite,Qwen/Qwen3.5-397B-A17B,cite,deepseek-ai/DeepSeek-V4-Pro,"יש לי ביטוח ציוד אלקטרוני לעסק, ובאמצע תקופת הביטוח חל שינוי מהותי בעסק שלי. האם אני חייב להודיע על כך לחברת הביטוח בכתב?","כן. הפוליסה קובעת שבמשך תקופת הביטוח על המבוטח לגלות למבטח בכתב כל שינוי בעניין מהותי, באופן מיידי מעת שנודע לו על כך.","

שלום רב,

חשוב לי להבהיר כי איני יכול לאמת תשובה זו באמצעות ציון מסמך רשמי מדויק של חברת הראל ומספר עמוד ספציפי, שכן תנאי הפוליסה עשויים להשתנות בין לקוחות ואין לי גישה למסמך הביטוח האישי שלך (ללא מסמך הראל ומספר עמוד, איני יכול לאמת את התשובה).

עם זאת, על פי החוק הישראלי החל על ביטוח, קיימת חובה כללית על המבוטח להודיע למבטח על כל שינוי מהותי בסיכון במהלך תקופת הביטוח (חוק חוזה הביטוח, תשמ""א-1981, סעיף 9). בדרך כלל, תנאי הפוליסות בחברות הביטוח, כולל הראל, דורשים הודעה בכתב על שינויים שעלולים להשפיע על הסיכון או על פרמיית הביטוח.

מומלץ מאוד לפנות למוקד שירות הלקוחות של הראל או לסוכן הביטוח שלך בהקדם כדי לדווח על השינוי ולקבל אישור על עדכון הפוליסה, על מנת למנוע בעיות במקרה של תביעה עתידית.

בברכה,
מוקד שירות לקוחות הראל",correct,True,"The answer confirms the obligation to notify the insurer in writing about a material change, which matches the ground truth.",
dev-09-business-medium,business,medium,bare_Qwen_Qwen3.5-397B-A17B_cite,Qwen/Qwen3.5-397B-A17B,cite,deepseek-ai/DeepSeek-V4-Pro,"אם המשרד שלי יושבת בעקבות נזק מכוסה, לכמה זמן לכל היותר אקבל פיצוי על אובדן ההכנסות?","תקופת השיפוי מסתיימת בתום תקופת ההשבתה ולא יאוחר מ-100 ימים מתחילת ההשבתה, אלא אם נקבע אחרת ברשימה.","

שלום רב,

לגבי השאלה על משך הזמן המקסימלי לקבלת פיצוי בגין אובדן הכנסות (הפסקת עסק):

כיוון שאין בידי אפשרות לעיין בפוליסה הביטוחית האישית שלך, **איני יכול לאמת את התשובה באמצעות ציון מסמך ומספר עמוד ספציפי של חברת הראל**, ולכן איני יכול לנקוב במספר החודשים המדויק המגיע לך. תקופת הפיצוי המרבית היא רכיב משתנה התלוי בסוג הפוליסה, בהרחבות שנרכשו ובתנאים הספציפיים שנחתמו עמך.

כדי לקבל את המידע המדויק והמחייב:
1. היכנס ל""אזור האישי"" באתר הראל או באפליקציה.
2. פתח את מסמך הפוליסה הרלוונטי (לרוב תחת פרקי ""אובדן רווחים"" או ""הפסקת עסקים"").
3. לעזרה נוספת, מומלץ לפנות למוקד שירות הלקוחות של הראל (המספר מופיע באתר החברה ובפוליסה).

בברכה,
שירות לקוחות הראל ביטוח",refusal,False,"The system refuses to provide the specific maximum compensation period, stating it cannot verify the answer without the personal policy.",
dev-10-business-medium,business,medium,bare_Qwen_Qwen3.5-397B-A17B_cite,Qwen/Qwen3.5-397B-A17B,cite,deepseek-ai/DeepSeek-V4-Pro,אני חוקר שמתכנן ניסוי קליני שאושר על ידי ועדת הלסינקי. האם אני חייב לרכוש ביטוח לניסוי?,"כן. פוליסת ביטוח ניסויים קליניים נדרשת עבור כל ניסוי קליני המאושר על-ידי ועדת הלסינקי, בהתאם לנוהלי משרד הבריאות. הפוליסה מכסה תביעות נזיקין של משתתפים בניסוי או צד ג' וכוללת כיסוי הוצאות הגנה משפטית.","

שלום רב,

כמודל בינה מלאכותית המסייע לשירות לקוחות של הראל, אין בידי גישה למאגר המסמכים הפנימיים או לעמודי הפוליסה הספציפיים של חברת הביטוח בזמן אמת. בהתאם להנחיה, אם איני יכול לנקוב במסמך המדויק של הראל ומספר העמוד, עליי לציין כי **איני יכול לאמת את התשובה** באופן מחייב מטעם החברה.

באופן כללי, דרישות לביטוח עבור ניסויים קליניים נגזרות לרוב מרגולציה של משרד הבריאות וועדת הלסינקי, וכן מתנאי הפוליסה הספציפית שנרכשה. כדי לקבל תשובה מדויקת האם קיימת חובה לרכוש כיסוי ביטוחי ספציפי דרך הראל או כל גוף אחר, ומהם היקפי הכיסוי הנדרשים, מומלץ לפנות ישירות למחלקת הביטוחים העסקיים/רפואיים בהראל או לסוכן הביטוח המטפל.

נשמח לעמוד לשירותך בבירור פרטי הפוליסה הרלוונטית מול נציג אנושי.

בברכה,
שירות לקוחות הראל",refusal,False,The system states it cannot verify the answer and refers the customer to a human representative without providing the factual answer.,
