id,domain,difficulty,run,answering_model,system_prompt,judge_model,question,ground_truth,model_answer,verdict,confident,judge_reason,citations
dev-01-apartment-easy,apartment,easy,base_cite,deepseek-ai/DeepSeek-V4-Pro,cite,deepseek-ai/DeepSeek-V4-Pro,הגשתי תביעה לחברת הביטוח והיא עדיין בטיפול כבר הרבה זמן. האם עצם הפנייה לחברה עוצרת את מרוץ ההתיישנות של התביעה שלי?,"לא, ככלל הגשת תביעה לגוף מוסדי אינה עוצרת את מרוץ ההתיישנות ורק הגשת תביעה לבית משפט עוצרת אותו.","כן, על פי חוק חוזה הביטוח, עצם הגשת התביעה לחברת הביטוח עוצרת את מרוץ ההתיישנות.  
תקופת ההתיישנות של תביעה לתגמולי ביטוח מתחילה מהיום שבו קרה מקרה הביטוח, אך הגשת תביעה בכתב לחברת הביטוח עוצרת את מרוץ ההתיישנות עד למתן החלטה סופית של החברה (אתר חוק, חוק חוזה ביטוח, סעיף 31).",incorrect,True,"The system's answer states that filing a claim with the insurance company stops the statute of limitations, which directly contradicts the ground truth that only filing a lawsuit does so.",
dev-02-apartment-easy,apartment,easy,base_cite,deepseek-ai/DeepSeek-V4-Pro,cite,deepseek-ai/DeepSeek-V4-Pro,קרה נזק בדירה שלי לפני חודש. האם נכון שיש לי שלוש שנים מיום המקרה להגיש תביעה לתגמולי ביטוח?,"כן, תקופת ההתיישנות של תביעה לתגמולי ביטוח היא שלוש שנים לאחר שקרה מקרה הביטוח.","כן, בהתאם לחוק חוזה הביטוח, התשמ""א-1981, תקופת ההתיישנות להגשת תביעה לתגמולי ביטוח היא שלוש שנים מהיום שבו קרה מקרה הביטוח (מדריך לביטוח דירה, עמוד 43).",correct,True,"The system's answer confirms the three-year limitation period from the date of the incident, matching the ground truth.",
dev-03-apartment-medium,apartment,medium,base_cite,deepseek-ai/DeepSeek-V4-Pro,cite,deepseek-ai/DeepSeek-V4-Pro,"אם תהיה רעידת אדמה והדירה שלי תיפגע, המדינה לא אמורה לפצות אותי בכל מקרה? למה בכלל להוסיף כיסוי כזה לביטוח הדירה?","לא. חוק פיצוי נפגעי אסון טבע אמנם כולל רעידות אדמה, אך הוא מתייחס לנזקים לתשתית חקלאית בלבד — המדינה אינה מחויבת לפצות אזרחים על נזקים למבני מגורים. לכן חשוב לא לוותר על כיסוי רעידת אדמה בביטוח הדירה.","לפי מסמכי הראל, המדינה אכן מספקת פיצוי מסוים במקרה של רעידת אדמה, אך הכיסוי מוגבל ואינו מכסה את מלוא הנזק. ציטוט מהמסמך: ""שימו לב, בעת רעידת אדמה המדינה משתתפת בכיסוי הנזק, אבל רק עד לגובה של 350,000 ש""ח"" (ביטוח מבנה, עמ' 23).  

משמעות הדבר היא שאם הנזק לדירה שלך עולה על 350,000 ש""ח, ההפרש לא יכוסה על ידי המדינה, ואתה תידרש לשאת בו בעצמך. בנוסף, הכיסוי של המדינה חל רק על מבנים שנבנו לפני 1965, ורק עד לגובה מסוים – ""הכיסוי מתייחס רק לדירות שבנייתן הסתיימה לפני שנת 1965"" (ביטוח מבנה, עמ' 23).  

לכן, הוספת כיסוי לרעידת אדמה בביטוח הדירה מיועדת להבטיח פיצוי מלא או רחב יותר מעבר להשתתפות המדינה, ולהגן עליך מפני פערים כספיים משמעותיים במקרה של נזק חמור.",incorrect,True,"The ground truth states the state does not compensate for residential building damage, while the system's answer claims it does up to 350,000 NIS for pre-1965 buildings.",
dev-04-apartment-medium,apartment,medium,base_cite,deepseek-ai/DeepSeek-V4-Pro,cite,deepseek-ai/DeepSeek-V4-Pro,"יש לי ביטוח למחזיקי אקדח ברישיון. אם המבטח לא העמיד לי עורך דין ופניתי לעורך דין לפי בחירתי להגנה בהליך הפלילי, עד איזה סכום ישפו אותי על שכר הטרחה וההוצאות?","עד סכום השווה בשקלים ל-6,000 ₪ ביום קרות מקרה הביטוח.","לפי פוליסת ביטוח מחזיקי אקדח ברישיון של הראל, במקרה שהמבטח לא העמיד עורך דין להגנתך תוך זמן סביר ופנית לעורך דין לפי בחירתך, החברה תשלם את הוצאות ההגנה הסבירות שהוצאת בפועל, עד לתקרה של 15,000 דולר ארה""ב (בשקלים לפי השער היציג ביום התשלום).  

המקור למידע זה הוא בדברי ההסבר לביטוח מחזיקי אקדח ברישיון (Harel Insurance, Accidental Firearm Policy Wording, עמוד 2 – סעיף ב' – הגנה משפטית).",incorrect,True,"The system's answer states a limit of 15,000 USD, while the ground truth states a limit of 6,000 ILS.",
dev-05-apartment-hard,apartment,hard,base_cite,deepseek-ai/DeepSeek-V4-Pro,cite,deepseek-ai/DeepSeek-V4-Pro,"אני חבר ועד בית ורוצה לעשות ביטוח לבניין המשותף, וחוץ מזה יש לי אוסף אומנות פרטי שאני רוצה לבטח גם. איך מצטרפים לשני הביטוחים האלה?","בשני המקרים ההצטרפות נעשית דרך סוכן הביטוח שלך: גם לביטוח ""עד הגג"" לבית המשותף וגם לביטוח Fine Art Collector's Insurance לאוספי אומנות יש לפנות לסוכן הביטוח להצטרפות.","שלום רב,

תודה שפנית לגביהם. להלן ההסבר כיצד ניתן להצטרף לשני הביטוחים המבוקשים:

### 1. ביטוח בניין משותף

כחבר ועד בית, עליך לפעול מול סוכן הביטוחים המטפל בענייני הבניין.
*   **אופן ההצטרפות:** ההצטרפות לביטוח בניין משותף בהראל מתבצעת **באמצעות סוכן ביטוחים בלבד** (ביטוח דירות, עמוד 37).

### 2. ביטוח אוסף אמנות פרטי

לצורך ביטוח אוסף האמנות שבבעלותך, עליך לרכוש פוליסת ביטוח תכולה מורחבת.
*   **אופן ההצטרפות:** ביטוח דירה, הכולל את תכולתה, ניתן לרכוש באחת מהדרכים הבאות (ביטוח דירות, עמוד 37):
    *   **דרך סוכן ביטוחים**.
    *   **באמצעות מוקד מכירה ישיר** בטלפון **6122***.

**שימו לב:** פוליסת ביטוח דירה סטנדרטית כוללת הגבלת ערך עבור פריטי אמנות (ביטוח דירות, עמוד 34). לכן, חשוב לוודא ולעדכן את הסוכן או את נציג המכירה כי ברצונך לבטח אוסף אמנות בעל ערך חריג, על מנת שיתאימו לך כיסוי מורחב מתאים.",partial,True,"The system's answer agrees that the building insurance is via an agent only, but for the art collection it adds a direct sales hotline option not mentioned in the ground truth, which states both are via an agent only.",
dev-06-apartment-hard,apartment,hard,base_cite,deepseek-ai/DeepSeek-V4-Pro,cite,deepseek-ai/DeepSeek-V4-Pro,"הדירה שלי מבוטחת בסכום של 1,200,000 ש""ח. שריפה פגעה בגינה — בדשא, בשיחים ובמערכת ההשקיה. מה הסכום המקסימלי שהביטוח ישלם על הנזק הזה?","24,000 ש""ח. אחריות המבטח בהרחבה לצמחים, מדשאות ומערכות השקיה מוגבלת ל-2% מסכום הביטוח לפרק ביטוח הדירה: 2% × 1,200,000 = 24,000 ש""ח.","לפי פוליסת הביטוח לדירה של הראל, הכיסוי לצמחייה, לרבות דשא, שיחים, צמחים ועצים, וציוד השקייה, כפוף למגבלת סכום של עד 2% מסכום ביטוח המבנה, ובתנאי שלא יעלה על 8,600 ש""ח בתוספת הצמדה למדד.

במקרה שלך, סכום הביטוח הוא 1,200,000 ש""ח. 2% מסכום זה הם 24,000 ש""ח, אך הכיסוי מוגבל לתקרה של 8,600 ש""ח צמודים למדד. לכן, הסכום המקסימלי שישולם עבור הנזק לגינה (דשא, שיחים ומערכת ההשקיה) הוא 8,600 ש""ח, בתוספת הפרשי הצמדה למדד מתאריך תחילת הביטוח. (הראל ביטוח דירה – חוברת פוליסה, 5)",incorrect,True,"The ground truth states the maximum payout is 24,000 ILS, while the system's answer caps it at 8,600 ILS, which contradicts the ground truth.",
dev-07-business-easy,business,easy,base_cite,deepseek-ai/DeepSeek-V4-Pro,cite,deepseek-ai/DeepSeek-V4-Pro,"אני מעסיק במשרד עובדים דרך קבלן משנה. אם עובד של קבלן המשנה ייפגע ויתבע אותי, האם ביטוח החבות בפוליסת המכלול למשרד יכסה את זה?","לא. הפרק מחריג במפורש את חבות המבוטח כלפי קבלן, עובד של קבלן או קבלן משנה, עובד של קבלן משנה ועובדי חברות כוח אדם.","לפי פוליסת המכלול לעסק של הראל, ""מוטבים"" כוללים גם את המעסיק של המבוטח, ובהגדרת ""עובד"" נכלל גם מי שמועסק על ידי קבלן עצמאי (מסמך מכלול ביטוח עסקי, עמוד 55). עם זאת, הפוליסה כוללת החרגה לנזקי גוף לעובד – הכיסוי לא חל על חבות כלפי עובד, למעט חריגים מסוימים שאינם רלוונטיים כאן. לכן, תביעה מצד עובד של קבלן משנה ככל הנראה לא תהיה מכוסה. מומלץ לפנות ישירות להראל לבירור מקרה ספציפי.",correct,True,"The system's answer agrees with the ground truth that the claim would not be covered, citing the exclusion for employees of subcontractors.",
dev-08-business-easy,business,easy,base_cite,deepseek-ai/DeepSeek-V4-Pro,cite,deepseek-ai/DeepSeek-V4-Pro,"יש לי ביטוח ציוד אלקטרוני לעסק, ובאמצע תקופת הביטוח חל שינוי מהותי בעסק שלי. האם אני חייב להודיע על כך לחברת הביטוח בכתב?","כן. הפוליסה קובעת שבמשך תקופת הביטוח על המבוטח לגלות למבטח בכתב כל שינוי בעניין מהותי, באופן מיידי מעת שנודע לו על כך.","כן, בהחלט. על פי תנאי הפוליסה, חלה עליך חובה להודיע לחברת הביטוח בכתב על כל שינוי מהותי שחל בעסק במהלך תקופת הביטוח.

אם לא תעשה זאת, הביטוח עלול להתבטל באופן מלא או חלקי, אלא אם כן השינוי המהותי לא הגדיל את הסיכון, לא החמיר אותו, ולא אילו היה ידוע לחברת הביטוח מראש - לא היה בכך כדי למנוע את כריתת החוזה.

(ביטוח ציוד אלקטרוני, עמ' 5)",correct,True,"The system's answer confirms the obligation to notify in writing, matching the ground truth.",
dev-09-business-medium,business,medium,base_cite,deepseek-ai/DeepSeek-V4-Pro,cite,deepseek-ai/DeepSeek-V4-Pro,"אם המשרד שלי יושבת בעקבות נזק מכוסה, לכמה זמן לכל היותר אקבל פיצוי על אובדן ההכנסות?","תקופת השיפוי מסתיימת בתום תקופת ההשבתה ולא יאוחר מ-100 ימים מתחילת ההשבתה, אלא אם נקבע אחרת ברשימה.","על פי פוליסת עסק קטן של הראל, במקרה של השבתת המשרד עקב נזק מכוסה, תקופת הפיצוי המקסימלית עבור אובדן הכנסות היא 12 חודשים (עסק קטן (עסקים חדשים), עמוד 18).",incorrect,True,"The system states a maximum of 12 months, while the ground truth specifies a maximum of 100 days.",
dev-10-business-medium,business,medium,base_cite,deepseek-ai/DeepSeek-V4-Pro,cite,deepseek-ai/DeepSeek-V4-Pro,אני חוקר שמתכנן ניסוי קליני שאושר על ידי ועדת הלסינקי. האם אני חייב לרכוש ביטוח לניסוי?,"כן. פוליסת ביטוח ניסויים קליניים נדרשת עבור כל ניסוי קליני המאושר על-ידי ועדת הלסינקי, בהתאם לנוהלי משרד הבריאות. הפוליסה מכסה תביעות נזיקין של משתתפים בניסוי או צד ג' וכוללת כיסוי הוצאות הגנה משפטית.","לפי מסמכי הראל, ניסויים קליניים המאושרים על ידי משרד הבריאות וועדת הלסינקי (בישראל) אינם נדרשים לרכוש ביטוח נפרד במסגרת פוליסת הביטוח המקצועי של הראל.  

הכיסוי הביטוחי לניסויים קליניים כלול במסגרת הרחבה אוטומטית בפוליסה, ללא צורך בהרחבה מיוחדת, בכפוף לתנאים הבאים:  
1. הניסוי אושר על ידי ועדת הלסינקי ומשרד הבריאות.  
2. המבוטח דיווח על עריכת הניסוי לחברת הביטוח מראש ובכתב.  
3. צורפו לרשומה כל האישורים והמסמכים הרלוונטיים.  

(ביטוח אחריות מקצועית, עמוד 18)  

אם אתה חוקר המתכנן ניסוי כזה, עליך לוודא עמידה בתנאים אלו כדי שהכיסוי יחול.",incorrect,True,"The system's answer states no separate insurance is required, while the ground truth states it is required.",
