id,domain,difficulty,run,answering_model,system_prompt,judge_model,question,ground_truth,model_answer,verdict,confident,judge_reason,citations
dev-01-apartment-easy,apartment,easy,bare_deepseek-ai_DeepSeek-V4-Pro_strict,deepseek-ai/DeepSeek-V4-Pro,strict,deepseek-ai/DeepSeek-V4-Pro,הגשתי תביעה לחברת הביטוח והיא עדיין בטיפול כבר הרבה זמן. האם עצם הפנייה לחברה עוצרת את מרוץ ההתיישנות של התביעה שלי?,"לא, ככלל הגשת תביעה לגוף מוסדי אינה עוצרת את מרוץ ההתיישנות ורק הגשת תביעה לבית משפט עוצרת אותו.","על פי חוק חוזה הביטוח הישראלי, הגשת תביעה בכתב לחברת הביטוח עוצרת את מרוץ ההתיישנות עד שהחברה מודיעה בכתב על עמדתה הסופית בעניין. כך שהפנייה שלך אכן עוצרת את ההתיישנות כל עוד התביעה עדיין בטיפול. עם זאת, משך הזמן שבו ההתיישנות נעצרת תלוי במועד שבו החברה תשיב לך באופן סופי. מומלץ לעקוב אחר ההתכתבויות ולשמור תיעוד.",incorrect,True,"The system's answer states that submitting a claim to the insurance company stops the statute of limitations, which directly contradicts the ground truth that only filing a lawsuit does so.",
dev-02-apartment-easy,apartment,easy,bare_deepseek-ai_DeepSeek-V4-Pro_strict,deepseek-ai/DeepSeek-V4-Pro,strict,deepseek-ai/DeepSeek-V4-Pro,קרה נזק בדירה שלי לפני חודש. האם נכון שיש לי שלוש שנים מיום המקרה להגיש תביעה לתגמולי ביטוח?,"כן, תקופת ההתיישנות של תביעה לתגמולי ביטוח היא שלוש שנים לאחר שקרה מקרה הביטוח.","כן, על פי חוק חוזה הביטוח בישראל, לרוב יש למבוטח תקופת התיישנות של שלוש שנים מיום קרות מקרה הביטוח להגשת תביעה לתגמולי ביטוח. עם זאת, מומלץ לעיין בפוליסה הספציפית שלך כדי לוודא שאין בה תנאים מגבילים או שונים בנושא.",correct,True,"The system's answer confirms the three-year limitation period from the date of the incident, matching the ground truth.",
dev-03-apartment-medium,apartment,medium,bare_deepseek-ai_DeepSeek-V4-Pro_strict,deepseek-ai/DeepSeek-V4-Pro,strict,deepseek-ai/DeepSeek-V4-Pro,"אם תהיה רעידת אדמה והדירה שלי תיפגע, המדינה לא אמורה לפצות אותי בכל מקרה? למה בכלל להוסיף כיסוי כזה לביטוח הדירה?","לא. חוק פיצוי נפגעי אסון טבע אמנם כולל רעידות אדמה, אך הוא מתייחס לנזקים לתשתית חקלאית בלבד — המדינה אינה מחויבת לפצות אזרחים על נזקים למבני מגורים. לכן חשוב לא לוותר על כיסוי רעידת אדמה בביטוח הדירה.","המדינה אכן מספקת פיצוי מסוים במקרה של נזקי רעידת אדמה, אך הכיסוי הממשלתי הוא חלקי בלבד, מותנה בתנאים מחמירים, וכפוף להשתתפות עצמית גבוהה. לעומת זאת, כיסוי לרעידת אדמה בביטוח הדירה בהראל מספק הגנה רחבה ומותאמת יותר לצרכים שלך, ללא תלות במסלול הפיצוי הממשלתי ובתנאיו.",incorrect,True,"The system's answer incorrectly states the state provides some compensation for residential earthquake damage, contradicting the ground truth that it only covers agricultural infrastructure.",
dev-04-apartment-medium,apartment,medium,bare_deepseek-ai_DeepSeek-V4-Pro_strict,deepseek-ai/DeepSeek-V4-Pro,strict,deepseek-ai/DeepSeek-V4-Pro,"יש לי ביטוח למחזיקי אקדח ברישיון. אם המבטח לא העמיד לי עורך דין ופניתי לעורך דין לפי בחירתי להגנה בהליך הפלילי, עד איזה סכום ישפו אותי על שכר הטרחה וההוצאות?","עד סכום השווה בשקלים ל-6,000 ₪ ביום קרות מקרה הביטוח.",אין לי מספיק מידע כדי לענות על כך בוודאות.,refusal,False,"The system states it lacks sufficient information to answer, which is a refusal.",
dev-05-apartment-hard,apartment,hard,bare_deepseek-ai_DeepSeek-V4-Pro_strict,deepseek-ai/DeepSeek-V4-Pro,strict,deepseek-ai/DeepSeek-V4-Pro,"אני חבר ועד בית ורוצה לעשות ביטוח לבניין המשותף, וחוץ מזה יש לי אוסף אומנות פרטי שאני רוצה לבטח גם. איך מצטרפים לשני הביטוחים האלה?","בשני המקרים ההצטרפות נעשית דרך סוכן הביטוח שלך: גם לביטוח ""עד הגג"" לבית המשותף וגם לביטוח Fine Art Collector's Insurance לאוספי אומנות יש לפנות לסוכן הביטוח להצטרפות.",אין לי מספיק מידע כדי לענות על כך בוודאות.,refusal,False,"The system states it lacks sufficient information to answer, which is a refusal.",
dev-06-apartment-hard,apartment,hard,bare_deepseek-ai_DeepSeek-V4-Pro_strict,deepseek-ai/DeepSeek-V4-Pro,strict,deepseek-ai/DeepSeek-V4-Pro,"הדירה שלי מבוטחת בסכום של 1,200,000 ש""ח. שריפה פגעה בגינה — בדשא, בשיחים ובמערכת ההשקיה. מה הסכום המקסימלי שהביטוח ישלם על הנזק הזה?","24,000 ש""ח. אחריות המבטח בהרחבה לצמחים, מדשאות ומערכות השקיה מוגבלת ל-2% מסכום הביטוח לפרק ביטוח הדירה: 2% × 1,200,000 = 24,000 ש""ח.",אין לי מספיק מידע כדי לענות על כך בוודאות.,refusal,False,"The system states it lacks sufficient information to answer, which is a refusal.",
dev-07-business-easy,business,easy,bare_deepseek-ai_DeepSeek-V4-Pro_strict,deepseek-ai/DeepSeek-V4-Pro,strict,deepseek-ai/DeepSeek-V4-Pro,"אני מעסיק במשרד עובדים דרך קבלן משנה. אם עובד של קבלן המשנה ייפגע ויתבע אותי, האם ביטוח החבות בפוליסת המכלול למשרד יכסה את זה?","לא. הפרק מחריג במפורש את חבות המבוטח כלפי קבלן, עובד של קבלן או קבלן משנה, עובד של קבלן משנה ועובדי חברות כוח אדם.",אין לי מספיק מידע כדי לענות על כך בוודאות.,refusal,False,"The system states it lacks sufficient information to answer, which is a refusal.",
dev-08-business-easy,business,easy,bare_deepseek-ai_DeepSeek-V4-Pro_strict,deepseek-ai/DeepSeek-V4-Pro,strict,deepseek-ai/DeepSeek-V4-Pro,"יש לי ביטוח ציוד אלקטרוני לעסק, ובאמצע תקופת הביטוח חל שינוי מהותי בעסק שלי. האם אני חייב להודיע על כך לחברת הביטוח בכתב?","כן. הפוליסה קובעת שבמשך תקופת הביטוח על המבוטח לגלות למבטח בכתב כל שינוי בעניין מהותי, באופן מיידי מעת שנודע לו על כך.",אין לי מספיק מידע כדי לענות על כך בוודאות.,refusal,False,"The system states it lacks sufficient information to answer, which is a refusal.",
dev-09-business-medium,business,medium,bare_deepseek-ai_DeepSeek-V4-Pro_strict,deepseek-ai/DeepSeek-V4-Pro,strict,deepseek-ai/DeepSeek-V4-Pro,"אם המשרד שלי יושבת בעקבות נזק מכוסה, לכמה זמן לכל היותר אקבל פיצוי על אובדן ההכנסות?","תקופת השיפוי מסתיימת בתום תקופת ההשבתה ולא יאוחר מ-100 ימים מתחילת ההשבתה, אלא אם נקבע אחרת ברשימה.",אין לי מספיק מידע כדי לענות על כך בוודאות.,refusal,False,"The system states it lacks sufficient information to answer, which is a refusal.",
dev-10-business-medium,business,medium,bare_deepseek-ai_DeepSeek-V4-Pro_strict,deepseek-ai/DeepSeek-V4-Pro,strict,deepseek-ai/DeepSeek-V4-Pro,אני חוקר שמתכנן ניסוי קליני שאושר על ידי ועדת הלסינקי. האם אני חייב לרכוש ביטוח לניסוי?,"כן. פוליסת ביטוח ניסויים קליניים נדרשת עבור כל ניסוי קליני המאושר על-ידי ועדת הלסינקי, בהתאם לנוהלי משרד הבריאות. הפוליסה מכסה תביעות נזיקין של משתתפים בניסוי או צד ג' וכוללת כיסוי הוצאות הגנה משפטית.",אין לי מספיק מידע כדי לענות על כך בוודאות.,refusal,False,"The system states it lacks sufficient information to answer, which is a refusal.",
dev-11-business-hard,business,hard,bare_deepseek-ai_DeepSeek-V4-Pro_strict,deepseek-ai/DeepSeek-V4-Pro,strict,deepseek-ai/DeepSeek-V4-Pro,אחרי נזק בעסק הוצאתי הוצאות נוספות כדי לא לאבד הכנסות. אני משווה בין פוליסת שיר לעסק לבין הראל ביט לאובדן תוצאתי — האם יש תקרה להחזר על הוצאות כאלה בכל אחת מהן?,"כן, בשתיהן יש תקרה: בשיר לעסק סך ההוצאות המוגדלות לא יעלה על הפסד ההכנסה שהיה נגרם אלמלא הוצאו. בהראל ביט הסכום שישולם על כל הוצאה לא יעלה על שיעור הרווח הגולמי כפול אותו חלק של המחזור שאובדנו נמנע בזכות ההוצאה, בניכוי סכומים שנחסכו בתקופת השיפוי.",אין לי מספיק מידע כדי לענות על כך בוודאות.,refusal,False,"The system states it lacks sufficient information to answer, which is a refusal.",
dev-12-business-hard,business,hard,bare_deepseek-ai_DeepSeek-V4-Pro_strict,deepseek-ai/DeepSeek-V4-Pro,strict,deepseek-ai/DeepSeek-V4-Pro,"ביטחתי את התכולה שלי בהראל בסכום ביטוח של 300,000 ש""ח, ובלי לשים לב יש לי גם ביטוח אצל מבטח אחר על אותה תכולה בסכום של 100,000 ש""ח. אם יקרה נזק, איך יתחלק התשלום בין שתי החברות?","בביטוח כפל המבטחים מתחלקים ביניהם לפי היחס שבין סכומי הביטוח: הראל תישא ב-75% (300,000 מתוך 400,000 = 3/4) והמבטח האחר ב-25% (100,000 מתוך 400,000 = 1/4). כלפיך כל מבטח אחראי לחוד על מלוא הסכום, ועליך להודיע למבטח מיד על ביטוח הכפל.",אין לי מספיק מידע כדי לענות על כך בוודאות.,refusal,False,"The system states it lacks sufficient information to answer, which is a refusal.",
dev-13-car-easy,car,easy,bare_deepseek-ai_DeepSeek-V4-Pro_strict,deepseek-ai/DeepSeek-V4-Pro,strict,deepseek-ai/DeepSeek-V4-Pro,המפתחות שלי ננעלו בתוך הרכב – האם מגיע לי שירות פריצה לרכב במסגרת כתב השירות?,"כן, במקרה שהמפתחות ננעלו בתוך הרכב יגיע נציג מטעם נותן השירות למקום הרכב וינסה לפרוץ אותו.",אין לי מספיק מידע כדי לענות על כך בוודאות.,refusal,False,"The system states it lacks sufficient information to answer, which is a refusal.",
dev-14-car-easy,car,easy,bare_deepseek-ai_DeepSeek-V4-Pro_strict,deepseek-ai/DeepSeek-V4-Pro,strict,deepseek-ai/DeepSeek-V4-Pro,יש לי תקר בגלגל וצריך החלפה – האם השירות ניתן בחינם בלי שום תשלום מצדי?,"לא, בכל מקרה של מתן שירות החלפת גלגל משלם מקבל השירות דמי השתתפות עצמית בסך 59 ₪ כולל מע""מ לנותן השירות.",אין לי מספיק מידע כדי לענות על כך בוודאות.,refusal,False,"The system states it lacks sufficient information to answer, which is a refusal.",
dev-15-car-medium,car,medium,bare_deepseek-ai_DeepSeek-V4-Pro_strict,deepseek-ai/DeepSeek-V4-Pro,strict,deepseek-ai/DeepSeek-V4-Pro,"אם אאבד את המפתחות או השלט של הרכב, ביטוח צד ג' של הראל מכסה את זה? זה עולה תוספת?","כן, ביטוח צד ג' לרכב של הראל כולל ביטוח על אובדן מפתחות או שלטים לרכב ללא תשלום פרמיה נוספת.",אין לי מספיק מידע כדי לענות על כך בוודאות.,refusal,False,"The system states it lacks sufficient information to answer, which is a refusal.",
dev-16-car-medium,car,medium,bare_deepseek-ai_DeepSeek-V4-Pro_strict,deepseek-ai/DeepSeek-V4-Pro,strict,deepseek-ai/DeepSeek-V4-Pro,"אני נוסע עם הרכב שלי לטיול בסיני, איפה ואיך אפשר לרכוש את ביטוח הרכב למטיילים של הראל?","מצטרפים בעת היציאה מהארץ, בעמדת המכירה של מילגם הממוקמת במעבר הגבול.",אין לי מספיק מידע כדי לענות על כך בוודאות.,refusal,False,"The system states it lacks sufficient information to answer, which is a refusal.",
dev-17-car-hard,car,hard,bare_deepseek-ai_DeepSeek-V4-Pro_strict,deepseek-ai/DeepSeek-V4-Pro,strict,deepseek-ai/DeepSeek-V4-Pro,"אני נוסע מעט מאוד ורוצה ביטוח מקיף שיחסוך לי כסף – מה ההבדל בין הראל סוויץ' לביטוח המקיף הרגיל, ואיך מצטרפים לכל אחד?","בהראל סוויץ' התשלום החודשי מורכב מרכיב קבוע ורכיב שמשתנה לפי הקילומטרים – נוסעים פחות, משלמים פחות, ומצטרפים אונליין או בטלפון *2010. בביטוח המקיף הרגיל מקבלים הגנה מקיפה מפני תאונה, גניבה, שריפה ונזקי טבע, ומצטרפים בהשארת פרטים או בטלפון *2010.",אין לי מספיק מידע כדי לענות על כך בוודאות.,refusal,False,"The system's answer states it lacks sufficient information to answer, which is a refusal.",
dev-18-car-hard,car,hard,bare_deepseek-ai_DeepSeek-V4-Pro_strict,deepseek-ai/DeepSeek-V4-Pro,strict,deepseek-ai/DeepSeek-V4-Pro,"ביטלתי את פוליסת ביטוח החובה שלי אחרי שהייתה בתוקף 10 ימים. דמי הביטוח השנתיים ששילמתי הם 2,000 ₪. כמה כסף יחזירו לי (בלי הצמדה למדד)?","1,882 ₪ — מנכים 5% מדמי הביטוח השנתיים (100 ₪) בתוספת 0.3% לכל יום החל מהיום השמיני, כלומר 3 ימים: 2,000 × 0.003 × 3 = 18 ₪. סך הניכוי 118 ₪, ולכן ההחזר: 2,000 − 118 = 1,882 ₪.",אין לי מספיק מידע כדי לענות על כך בוודאות.,refusal,False,"The system states it lacks sufficient information to answer, which is a refusal.",
dev-19-dental-easy,dental,easy,bare_deepseek-ai_DeepSeek-V4-Pro_strict,deepseek-ai/DeepSeek-V4-Pro,strict,deepseek-ai/DeepSeek-V4-Pro,סיימתי טיפול שיניים ואני רוצה להגיש תביעה להחזר – אפשר לשלוח לכם את הטופס והמסמכים במייל?,"כן, את הטופס המלא יחד עם המסמכים הנדרשים שולחים במייל לכתובת services@harel-ins.co.il.","כן, ניתן להגיש תביעה להחזר עבור טיפולי שיניים דרך המייל.  
יש לשלוח את טופס התביעה המקורי חתום בצירוף כל המסמכים הנדרשים (קבלות, תוכנית טיפול, צילומי רנטגן וכו') לכתובת המייל הרלוונטית שמופיעה באתר החברה תחת ""הגשת תביעה"".",partial,True,"The system confirms email submission but does not provide the specific email address from the ground truth, instead referring to the website.",
dev-20-dental-easy,dental,easy,bare_deepseek-ai_DeepSeek-V4-Pro_strict,deepseek-ai/DeepSeek-V4-Pro,strict,deepseek-ai/DeepSeek-V4-Pro,קיבלתי כבר החזר מקופת החולים על טיפול השיניים – מותר לי לתבוע גם מכם החזר על אותה חשבונית?,"לא, אסור לתבוע החזר על אותם סכומים מגורמים שונים, וקבלת החזר כפול היא הפרה של הוראות הדין ותנאי הפוליסה.",אין לי מספיק מידע כדי לענות על כך בוודאות.,refusal,False,"The system states it lacks sufficient information to answer, which is a refusal.",
