id,domain,difficulty,run,answering_model,system_prompt,judge_model,question,ground_truth,model_answer,verdict,confident,judge_reason,citations
dev-01-apartment-easy,apartment,easy,bare_Qwen_Qwen3-32B_strict,Qwen/Qwen3-32B,strict,deepseek-ai/DeepSeek-V4-Pro,הגשתי תביעה לחברת הביטוח והיא עדיין בטיפול כבר הרבה זמן. האם עצם הפנייה לחברה עוצרת את מרוץ ההתיישנות של התביעה שלי?,"לא, ככלל הגשת תביעה לגוף מוסדי אינה עוצרת את מרוץ ההתיישנות ורק הגשת תביעה לבית משפט עוצרת אותו.",אין לי מספיק מידע כדי לענות על כך בוודאות. עיתוי התיישנות תלויה בתנאי הסכם הביטוח הספציפי שלך ובהחלטות של בית המשפט. מומלץ לפנות למחלקת התביעות או לסקר את תנאי החוזה שלך עבור פרטים מדויקים.,refusal,False,"The system states it lacks sufficient information and refers the user to check the policy or contact the claims department, without answering the factual question.",
dev-02-apartment-easy,apartment,easy,bare_Qwen_Qwen3-32B_strict,Qwen/Qwen3-32B,strict,deepseek-ai/DeepSeek-V4-Pro,קרה נזק בדירה שלי לפני חודש. האם נכון שיש לי שלוש שנים מיום המקרה להגיש תביעה לתגמולי ביטוח?,"כן, תקופת ההתיישנות של תביעה לתגמולי ביטוח היא שלוש שנים לאחר שקרה מקרה הביטוח.",אין לי מספיק מידע כדי לענות על כך בוודאות.,refusal,False,"The system states it lacks sufficient information to answer, which is a refusal to provide the factual confirmation requested.",
dev-03-apartment-medium,apartment,medium,bare_Qwen_Qwen3-32B_strict,Qwen/Qwen3-32B,strict,deepseek-ai/DeepSeek-V4-Pro,"אם תהיה רעידת אדמה והדירה שלי תיפגע, המדינה לא אמורה לפצות אותי בכל מקרה? למה בכלל להוסיף כיסוי כזה לביטוח הדירה?","לא. חוק פיצוי נפגעי אסון טבע אמנם כולל רעידות אדמה, אך הוא מתייחס לנזקים לתשתית חקלאית בלבד — המדינה אינה מחויבת לפצות אזרחים על נזקים למבני מגורים. לכן חשוב לא לוותר על כיסוי רעידת אדמה בביטוח הדירה.","בישראל, הביטוח הסלולארי הבסיסי (כגון ביטוח הדירה) אינו כולל אוטומטית כיסוי לרעידות אדמה. המדינה איננה פוגשת בפיצויים automátים על פגאי רעידת אדמה בתוספת רגילה לביטוח הדירה, אלא אם יש כפלת ביטוח ע""י קופת החזקה למגנום (כפלת ""מגן""), המנהלת כפלת ביטוח רעידת אדמה מותנת. כדי להתחבר לכפלת זו, יש להירשם בקופת אשראי כפולה עם כפלת ""מגן"".

הוספת כיסוי רעידת אדמה לביטוח הדירה (כגון via כפלת ""מגנום"" או כפלת ביטוח רעידת אדמה מסודרת) נועדה להבטיח פיצוי על פגאי רעידת אדמה שאינכם מוגנים מולם בביטוח הסלולארי. לדוגמה, אם הדירה נפגעת בفعل רעידת אדמה, ניתן לקבל פיצוי מהכפלת ""מגנום"" (בהנחה שמגנומים כפולים), ו/או מהביטוח הסלולארי (אם הוספנו כיסוי לרעידות אדמה).

במקרה שאין כפלת כפולה, וה_damage לא מוסדר בביטוח הסלולארי, לא ניתן לצפות לתשלום מהתשלומית. לכן, הוספת כפלת כפולה (כגון ""מגנום"") היא הדרך המומלצת להגן מול תביעות יקרות מרגע רעידת אדמה.",incorrect,True,The system's answer incorrectly claims the state provides earthquake compensation via 'Magen' and misrepresents the ground truth that state compensation is limited to agricultural infrastructure only.,
dev-04-apartment-medium,apartment,medium,bare_Qwen_Qwen3-32B_strict,Qwen/Qwen3-32B,strict,deepseek-ai/DeepSeek-V4-Pro,"יש לי ביטוח למחזיקי אקדח ברישיון. אם המבטח לא העמיד לי עורך דין ופניתי לעורך דין לפי בחירתי להגנה בהליך הפלילי, עד איזה סכום ישפו אותי על שכר הטרחה וההוצאות?","עד סכום השווה בשקלים ל-6,000 ₪ ביום קרות מקרה הביטוח.",אין לי מספיק מידע כדי לענות על כך בוודאות.,refusal,False,"The system states it does not have enough information to answer, which is a refusal to provide the requested fact.",
dev-05-apartment-hard,apartment,hard,bare_Qwen_Qwen3-32B_strict,Qwen/Qwen3-32B,strict,deepseek-ai/DeepSeek-V4-Pro,"אני חבר ועד בית ורוצה לעשות ביטוח לבניין המשותף, וחוץ מזה יש לי אוסף אומנות פרטי שאני רוצה לבטח גם. איך מצטרפים לשני הביטוחים האלה?","בשני המקרים ההצטרפות נעשית דרך סוכן הביטוח שלך: גם לביטוח ""עד הגג"" לבית המשותף וגם לביטוח Fine Art Collector's Insurance לאוספי אומנות יש לפנות לסוכן הביטוח להצטרפות.","כדי להירשם לביטוח הבניין המשותף, יש לפנות אל תחום הסוגיות הביטוחיות המותאם לוועדים לבניין, אשר מצהיר על תקנון הבניין ורישום הבניין לפי חוק זכויות המנהיג. הביטוח י涵蓋 הוצאות סיעור, נזקי ביטחון ות損害ים אחרים. לגבי אוסף האומנות, יש wybrać ביטוח תכולת בית או ביטוח פריטים יקרים (כגון אומנות) אשר כולל אחריות לנזק, גניבה, או אובדן. מומלץ לבקש מוערך מהיר של האוסף ולבחור ביטוח עם תוספת למקשה. מומלץ להזמין יועץ ביטוח מ-Harel לتقدير מדויק ודרישות מסמך.",incorrect,True,"The system's answer does not mention contacting an insurance agent, which is the core method stated in the ground truth.",
dev-06-apartment-hard,apartment,hard,bare_Qwen_Qwen3-32B_strict,Qwen/Qwen3-32B,strict,deepseek-ai/DeepSeek-V4-Pro,"הדירה שלי מבוטחת בסכום של 1,200,000 ש""ח. שריפה פגעה בגינה — בדשא, בשיחים ובמערכת ההשקיה. מה הסכום המקסימלי שהביטוח ישלם על הנזק הזה?","24,000 ש""ח. אחריות המבטח בהרחבה לצמחים, מדשאות ומערכות השקיה מוגבלת ל-2% מסכום הביטוח לפרק ביטוח הדירה: 2% × 1,200,000 = 24,000 ש""ח.",אין לי מספיק מידע כדי לענות על כך בוודאות.,refusal,False,"The system states it does not have enough information to answer, which is a refusal to provide the requested fact.",
dev-07-business-easy,business,easy,bare_Qwen_Qwen3-32B_strict,Qwen/Qwen3-32B,strict,deepseek-ai/DeepSeek-V4-Pro,"אני מעסיק במשרד עובדים דרך קבלן משנה. אם עובד של קבלן המשנה ייפגע ויתבע אותי, האם ביטוח החבות בפוליסת המכלול למשרד יכסה את זה?","לא. הפרק מחריג במפורש את חבות המבוטח כלפי קבלן, עובד של קבלן או קבלן משנה, עובד של קבלן משנה ועובדי חברות כוח אדם.","אין לי מספיק מידע כדי לענות על כך בוודאות. ביטוח חבות בפוליסת Макל לרוב מכסה נזקי צד גס שנגרמו למישהו בשל פיטריכות, אך במקרים של פגיעת עובד של קבלן משנה - תביעות מماثלות אומנם נוטות להתמקד בחבות של הקבלן המשנה על פי חוקי עבודה, והמגבלה על אחריותה של החברה עשויה להינתן. כדי להבטיח תשובה נדעית, מומלץ לפנות ישירות לנהל בריל הראל או לבדוק את תנאי הפוליסה.",refusal,False,"The system says it lacks enough information and refers the user to check the policy or contact Harel, without providing the factual yes/no answer.",
dev-08-business-easy,business,easy,bare_Qwen_Qwen3-32B_strict,Qwen/Qwen3-32B,strict,deepseek-ai/DeepSeek-V4-Pro,"יש לי ביטוח ציוד אלקטרוני לעסק, ובאמצע תקופת הביטוח חל שינוי מהותי בעסק שלי. האם אני חייב להודיע על כך לחברת הביטוח בכתב?","כן. הפוליסה קובעת שבמשך תקופת הביטוח על המבוטח לגלות למבטח בכתב כל שינוי בעניין מהותי, באופן מיידי מעת שנודע לו על כך.","כן, אם יש שינוי מהותי בעסק שמתחבר לביטוח, יש להודיע לחברת הביטוח בהקדם, בדרך כלל ב официальный כתוב. השינוי עשוי להשפיע על סכומי הביטוח, על תנאי הקבלה או על סיבולת הביטוח. מומלץ לבדוק את פולICY הספציפי או לעדכן עם מיצ""ב של הרל להנחיות מדויקות.",partial,False,"The system's answer agrees that notification is required but hedges by saying 'usually in writing' and refers to checking the policy, instead of definitively stating written notice is mandatory as the ground truth does.",
dev-09-business-medium,business,medium,bare_Qwen_Qwen3-32B_strict,Qwen/Qwen3-32B,strict,deepseek-ai/DeepSeek-V4-Pro,"אם המשרד שלי יושבת בעקבות נזק מכוסה, לכמה זמן לכל היותר אקבל פיצוי על אובדן ההכנסות?","תקופת השיפוי מסתיימת בתום תקופת ההשבתה ולא יאוחר מ-100 ימים מתחילת ההשבתה, אלא אם נקבע אחרת ברשימה.","במקרה של נזק מכוסה המשרדים יכולים להיקלע למשך זמן מוגבל, ועל פיצוי אובדן הכנסות תלויה בכlausulas הספציפיות בתיק המประกנת. לרוב, כיסית ביטוח מפעלים עתירי (business interruption) יכולים להציע פיצוי לזמן מסוים, לרוב עד 12 חודשים, תחת תנאים מתאימים. עם זאת, עליך לבדוק את התנאים הספציפיים שלך מול חברת הביטוח (הראל) או להתייעץ עם יועץ ביטוח. אין לי מספיק מידע כדי לענות על כך בוודאות.",incorrect,True,"The system's answer states a maximum of 12 months, while the ground truth specifies a maximum of 100 days.",
dev-10-business-medium,business,medium,bare_Qwen_Qwen3-32B_strict,Qwen/Qwen3-32B,strict,deepseek-ai/DeepSeek-V4-Pro,אני חוקר שמתכנן ניסוי קליני שאושר על ידי ועדת הלסינקי. האם אני חייב לרכוש ביטוח לניסוי?,"כן. פוליסת ביטוח ניסויים קליניים נדרשת עבור כל ניסוי קליני המאושר על-ידי ועדת הלסינקי, בהתאם לנוהלי משרד הבריאות. הפוליסה מכסה תביעות נזיקין של משתתפים בניסוי או צד ג' וכוללת כיסוי הוצאות הגנה משפטית.",אין לי מספיק מידע כדי לענות על façon בוודאות.,refusal,False,"The system states it lacks sufficient information to answer, which is a refusal.",
