id,domain,difficulty,run,answering_model,system_prompt,judge_model,question,ground_truth,model_answer,verdict,confident,judge_reason,citations
dev-01-apartment-easy,apartment,easy,base_strict,deepseek-ai/DeepSeek-V4-Pro,strict,deepseek-ai/DeepSeek-V4-Pro,הגשתי תביעה לחברת הביטוח והיא עדיין בטיפול כבר הרבה זמן. האם עצם הפנייה לחברה עוצרת את מרוץ ההתיישנות של התביעה שלי?,"לא, ככלל הגשת תביעה לגוף מוסדי אינה עוצרת את מרוץ ההתיישנות ורק הגשת תביעה לבית משפט עוצרת אותו.","עצם הפנייה לחברת הביטוח אינה עוצרת בהכרח את מרוץ ההתיישנות. על פי חוק חוזה הביטוח, הדרך היחידה לעצור את ההתיישנות היא באמצעות הגשת תביעה לבית המשפט, פנייה למוסד לבוררות, או השגת הסכם בכתב עם חברת הביטוח על דחיית מועד ההתיישנות. 
עם זאת, קיים חריג: במהלך התקופה שבה החברה בוחנת את התביעה, מושעה מרוץ ההתיישנות למשך עד 90 יום, בתנאי שהתביעה הוגשה 30 יום לפני תום תקופת ההתיישנות. כמו כן, לעיתים בתי המשפט עשויים להכיר בהתנהגות החברה כמצג שיכול להשפיע על טענת התיישנות, אך אין ודאות בעניין. 
מוטב לבדוק את מועד ההתיישנות של תביעתך, ובמידת הצורך לפעול משפטית כדי לשמור על זכויותיך.",correct,True,"The system's answer correctly states that merely contacting the insurance company does not necessarily stop the statute of limitations, aligning with the ground truth that only filing a lawsuit stops it.",
dev-02-apartment-easy,apartment,easy,base_strict,deepseek-ai/DeepSeek-V4-Pro,strict,deepseek-ai/DeepSeek-V4-Pro,קרה נזק בדירה שלי לפני חודש. האם נכון שיש לי שלוש שנים מיום המקרה להגיש תביעה לתגמולי ביטוח?,"כן, תקופת ההתיישנות של תביעה לתגמולי ביטוח היא שלוש שנים לאחר שקרה מקרה הביטוח.","כן, על פי חוק חוזה הביטוח בישראל, תקופת ההתיישנות להגשת תביעה לתגמולי ביטוח היא שלוש שנים מיום קרות מקרה הביטוח. לכן, נזק שאירע לפני חודש נמצא עדיין במסגרת פרק הזמן המותר להגשת תביעה.",correct,True,"The system's answer correctly confirms the three-year limitation period from the date of the incident, matching the ground truth.",
dev-03-apartment-medium,apartment,medium,base_strict,deepseek-ai/DeepSeek-V4-Pro,strict,deepseek-ai/DeepSeek-V4-Pro,"אם תהיה רעידת אדמה והדירה שלי תיפגע, המדינה לא אמורה לפצות אותי בכל מקרה? למה בכלל להוסיף כיסוי כזה לביטוח הדירה?","לא. חוק פיצוי נפגעי אסון טבע אמנם כולל רעידות אדמה, אך הוא מתייחס לנזקים לתשתית חקלאית בלבד — המדינה אינה מחויבת לפצות אזרחים על נזקים למבני מגורים. לכן חשוב לא לוותר על כיסוי רעידת אדמה בביטוח הדירה.",אין לי מספיק מידע כדי לענות על כך בוודאות.,refusal,False,"The system states it lacks sufficient information to answer, which is a refusal.",
dev-04-apartment-medium,apartment,medium,base_strict,deepseek-ai/DeepSeek-V4-Pro,strict,deepseek-ai/DeepSeek-V4-Pro,"יש לי ביטוח למחזיקי אקדח ברישיון. אם המבטח לא העמיד לי עורך דין ופניתי לעורך דין לפי בחירתי להגנה בהליך הפלילי, עד איזה סכום ישפו אותי על שכר הטרחה וההוצאות?","עד סכום השווה בשקלים ל-6,000 ₪ ביום קרות מקרה הביטוח.",אין לי מספיק מידע כדי לענות על כך בוודאות.,refusal,False,"The system states it lacks sufficient information to answer, which is a refusal.",
dev-05-apartment-hard,apartment,hard,base_strict,deepseek-ai/DeepSeek-V4-Pro,strict,deepseek-ai/DeepSeek-V4-Pro,"אני חבר ועד בית ורוצה לעשות ביטוח לבניין המשותף, וחוץ מזה יש לי אוסף אומנות פרטי שאני רוצה לבטח גם. איך מצטרפים לשני הביטוחים האלה?","בשני המקרים ההצטרפות נעשית דרך סוכן הביטוח שלך: גם לביטוח ""עד הגג"" לבית המשותף וגם לביטוח Fine Art Collector's Insurance לאוספי אומנות יש לפנות לסוכן הביטוח להצטרפות.",אין לי מספיק מידע כדי לענות על כך בוודאות.,refusal,False,"The system states it lacks sufficient information to answer, which is a refusal.",
dev-06-apartment-hard,apartment,hard,base_strict,deepseek-ai/DeepSeek-V4-Pro,strict,deepseek-ai/DeepSeek-V4-Pro,"הדירה שלי מבוטחת בסכום של 1,200,000 ש""ח. שריפה פגעה בגינה — בדשא, בשיחים ובמערכת ההשקיה. מה הסכום המקסימלי שהביטוח ישלם על הנזק הזה?","24,000 ש""ח. אחריות המבטח בהרחבה לצמחים, מדשאות ומערכות השקיה מוגבלת ל-2% מסכום הביטוח לפרק ביטוח הדירה: 2% × 1,200,000 = 24,000 ש""ח.",אין לי מספיק מידע כדי לענות על כך בוודאות.,refusal,False,"The system states it lacks sufficient information to answer, which is a refusal.",
dev-07-business-easy,business,easy,base_strict,deepseek-ai/DeepSeek-V4-Pro,strict,deepseek-ai/DeepSeek-V4-Pro,"אני מעסיק במשרד עובדים דרך קבלן משנה. אם עובד של קבלן המשנה ייפגע ויתבע אותי, האם ביטוח החבות בפוליסת המכלול למשרד יכסה את זה?","לא. הפרק מחריג במפורש את חבות המבוטח כלפי קבלן, עובד של קבלן או קבלן משנה, עובד של קבלן משנה ועובדי חברות כוח אדם.",אין לי מספיק מידע כדי לענות על כך בוודאות.,refusal,False,"The system states it lacks sufficient information to answer, which is a refusal.",
dev-08-business-easy,business,easy,base_strict,deepseek-ai/DeepSeek-V4-Pro,strict,deepseek-ai/DeepSeek-V4-Pro,"יש לי ביטוח ציוד אלקטרוני לעסק, ובאמצע תקופת הביטוח חל שינוי מהותי בעסק שלי. האם אני חייב להודיע על כך לחברת הביטוח בכתב?","כן. הפוליסה קובעת שבמשך תקופת הביטוח על המבוטח לגלות למבטח בכתב כל שינוי בעניין מהותי, באופן מיידי מעת שנודע לו על כך.",אין לי מספיק מידע כדי לענות על כך בוודאות.,refusal,False,"The system states it lacks sufficient information to answer, which is a refusal.",
dev-09-business-medium,business,medium,base_strict,deepseek-ai/DeepSeek-V4-Pro,strict,deepseek-ai/DeepSeek-V4-Pro,"אם המשרד שלי יושבת בעקבות נזק מכוסה, לכמה זמן לכל היותר אקבל פיצוי על אובדן ההכנסות?","תקופת השיפוי מסתיימת בתום תקופת ההשבתה ולא יאוחר מ-100 ימים מתחילת ההשבתה, אלא אם נקבע אחרת ברשימה.",אין לי מספיק מידע כדי לענות על כך בוודאות.,refusal,False,"The system states it lacks sufficient information to answer, which is a refusal.",
dev-10-business-medium,business,medium,base_strict,deepseek-ai/DeepSeek-V4-Pro,strict,deepseek-ai/DeepSeek-V4-Pro,אני חוקר שמתכנן ניסוי קליני שאושר על ידי ועדת הלסינקי. האם אני חייב לרכוש ביטוח לניסוי?,"כן. פוליסת ביטוח ניסויים קליניים נדרשת עבור כל ניסוי קליני המאושר על-ידי ועדת הלסינקי, בהתאם לנוהלי משרד הבריאות. הפוליסה מכסה תביעות נזיקין של משתתפים בניסוי או צד ג' וכוללת כיסוי הוצאות הגנה משפטית.",אין לי מספיק מידע כדי לענות על כך בוודאות.,refusal,False,"The system states it lacks sufficient information to answer, which is a refusal.",
