id,domain,difficulty,run,answering_model,system_prompt,judge_model,question,ground_truth,model_answer,verdict,confident,judge_reason,citations
dev-01-apartment-easy,apartment,easy,bare_deepseek-ai_DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,default,deepseek-ai/DeepSeek-V4-Pro,הגשתי תביעה לחברת הביטוח והיא עדיין בטיפול כבר הרבה זמן. האם עצם הפנייה לחברה עוצרת את מרוץ ההתיישנות של התביעה שלי?,"לא, ככלל הגשת תביעה לגוף מוסדי אינה עוצרת את מרוץ ההתיישנות ורק הגשת תביעה לבית משפט עוצרת אותו.","כן, עצם הפנייה לחברת הביטוח עוצרת את מרוץ ההתיישנות, אך באופן זמני בלבד.

על פי חוק חוזה הביטוח, התשמ""א-1981, סעיף 31(ד):
""נשלחה לחברת הביטוח הודעה בדבר קרות מקרה הביטוח, לא יסתיים המועד להגשת תובענה לפני תום 60 ימים מהיום שנדחתה התביעה"".

המשמעות היא שעצם הפנייה וההודעה על המקרה עוצרים את ההתיישנות עד לקבלת החלטה סופית של חברת הביטוח בתביעה. לאחר שחברת הביטוח דוחה את התביעה באופן סופי, מתחיל מירוץ התיישנות מחודש של 60 יום, שבמהלכם ניתן להגיש תביעה לבית המשפט.

חשוב לציין כי תקופת ההתיישנות הרגילה בתביעות ביטוח היא שלוש שנים מיום קרות מקרה הביטוח, על פי חוק ההתיישנות.",incorrect,True,"The system's answer states that contacting the company stops the statute of limitations, while the ground truth says it does not.",
dev-02-apartment-easy,apartment,easy,bare_deepseek-ai_DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,default,deepseek-ai/DeepSeek-V4-Pro,קרה נזק בדירה שלי לפני חודש. האם נכון שיש לי שלוש שנים מיום המקרה להגיש תביעה לתגמולי ביטוח?,"כן, תקופת ההתיישנות של תביעה לתגמולי ביטוח היא שלוש שנים לאחר שקרה מקרה הביטוח.","כן, יש לך תקופה של שלוש שנים מיום קרות מקרה הביטוח להגיש תביעה לתגמולי ביטוח.​​​​",correct,True,"The system's answer confirms the three-year period from the date of the incident, matching the ground truth.",
dev-03-apartment-medium,apartment,medium,bare_deepseek-ai_DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,default,deepseek-ai/DeepSeek-V4-Pro,"אם תהיה רעידת אדמה והדירה שלי תיפגע, המדינה לא אמורה לפצות אותי בכל מקרה? למה בכלל להוסיף כיסוי כזה לביטוח הדירה?","לא. חוק פיצוי נפגעי אסון טבע אמנם כולל רעידות אדמה, אך הוא מתייחס לנזקים לתשתית חקלאית בלבד — המדינה אינה מחויבת לפצות אזרחים על נזקים למבני מגורים. לכן חשוב לא לוותר על כיסוי רעידת אדמה בביטוח הדירה.","אתה צודק לחלוטין שזו שאלה מצוינת. התפיסה הזו, שהמדינה אמורה לפצות באופן אוטומטי על נזקי רעידת אדמה, היא טעות נפוצה.

האמת היא שהמדינה אינה מפצה באופן אוטומטי על נזק לרכוש פרטי, כמו דירות, במקרה של רעידת אדמה.

המקור לכך נמצא במסמך ""הראל מבנה - חוברת פירוט כיסויים ביטוחיים לביטוח דירה 2024"" בעמוד 2, שם כתוב:

> ""בניגוד למה שחושבים, המדינה אינה מפצה בגין נזקים הנגרמים לרכוש הפרטי של המבוטח במקרה של רעידת אדמה ומכאן החשיבות הרבה בביטוח רעידת אדמה במסגרת ביטוח המבנה.""

לכן, אם הדירה שלך נפגעת ברעידת אדמה, הפיצוי יגיע אך ורק מחברת הביטוח שלך, בתנאי שרכשת כיסוי לרעידת אדמה. בלי הכיסוי הזה, אתה עלול להישאר ללא פיצוי כלל ועלול לשאת בעלויות תיקון ושיקום גבוהות מאוד בעצמך.",correct,True,"The system's answer correctly states the state does not compensate for private property damage from earthquakes, aligning with the ground truth.",
dev-04-apartment-medium,apartment,medium,bare_deepseek-ai_DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,default,deepseek-ai/DeepSeek-V4-Pro,"יש לי ביטוח למחזיקי אקדח ברישיון. אם המבטח לא העמיד לי עורך דין ופניתי לעורך דין לפי בחירתי להגנה בהליך הפלילי, עד איזה סכום ישפו אותי על שכר הטרחה וההוצאות?","עד סכום השווה בשקלים ל-6,000 ₪ ביום קרות מקרה הביטוח.","על פי תנאי הפוליסה לביטוח מחזיקי אקדח ברישיון של הראל, במקרה שנפתחה נגדך חקירה או הליך פלילי הקשור לשימוש באקדח, והחברה לא העמידה עורך דין מטעמה תוך זמן סביר ממועד ההודעה על אירוע הביטוח, אתה רשאי לפנות לעורך דין לבחירתך.

סכום השיפוי המקסימלי עבור שכר טרחת עורך הדין וההוצאות במקרה כזה יהיה עד לתקרה הקבועה בפירוט הכיסויים בפוליסה. נכון לנוסח הפוליסה הסטנדרטית, התקרה עבור הגנה משפטית בהליך פלילי עומדת על סכום של עד **50,000 ש""ח** (כולל מע""מ) למקרה.

חשוב לשים לב כי השיפוי ניתן עבור הוצאות סבירות שהוצאו בפועל ובהתאם לתנאים ולחריגים המפורטים בפוליסה.",incorrect,True,"The system's answer states the maximum indemnity is 50,000 ILS, while the ground truth states it is 6,000 ILS.",
dev-05-apartment-hard,apartment,hard,bare_deepseek-ai_DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,default,deepseek-ai/DeepSeek-V4-Pro,"אני חבר ועד בית ורוצה לעשות ביטוח לבניין המשותף, וחוץ מזה יש לי אוסף אומנות פרטי שאני רוצה לבטח גם. איך מצטרפים לשני הביטוחים האלה?","בשני המקרים ההצטרפות נעשית דרך סוכן הביטוח שלך: גם לביטוח ""עד הגג"" לבית המשותף וגם לביטוח Fine Art Collector's Insurance לאוספי אומנות יש לפנות לסוכן הביטוח להצטרפות.","אני יכול לעזור לך עם המידע לגבי ההצטרפות לביטוחים. עם זאת, אני צריך לציין שאין לי מידע לגבי ביטוח אוספי אמנות פרטיים במסמכים שברשותי, ולכן אתייחס כרגע לביטוח הבניין המשותף.

להלן המידע שמצאתי לגבי ביטוח בניין משותף:

### איך מצטרפים לביטוח בניין משותף?

ההצטרפות לביטוח הבניין המשותף (ביטוח מבנה) מתבצעת דרך סוכן הביטוח של הבניין. תהליך ההצטרפות כולל מספר שלבים עיקריים:

1.  **פנייה לחברת ניהול או סוכן ביטוח:**
    התהליך מתחיל בפנייה לחברת הניהול של הבניין או לסוכן הביטוח שדרכו הועד מעוניין לבטח את הבניין.

2.  **העברת מסמכים ומילוי הצהרה:**
    עליכם, כוועד הבית או נציגותו, להעביר מסמכים רלוונטיים (כמו רשימת דיירים, מסמכי יסוד של הבניין) ולמלא הצהרת מצב מבנה.

3.  **הכנת הצעת ביטוח:**
    על בסיס המסמכים וההצהרה, סוכן הביטוח יכין הצעת ביטוח מתאימה. בשלב זה תידרש החלטה לגבי גובה סכום הביטוח לכיסוי מלא של עלות הבנייה מחדש של המבנה, לרבות אגרות והיטלים. כמו כן, תוכלו לבחור כיסויים מורחבים (כגון רעידת אדמה, נזקי מים מצנרת משותפת ועוד).

    *   **שימו לב:** בעת ההצטרפות, תוכלו לבחור להחיל את הכיסוי המורחב לרעידת אדמה **מהיום הראשון לביטוח**, או לדחות את תחילת הכיסוי לתקופת המתנה (בדרך כלל 30 יום).

4.  **חיתום והוצאת פוליסה:**
    פרטי ההצעה יועברו לחברת הביטוח לשם חיתום, ולאחר אישורה תונפק פוליסת ביטוח בתוקף.

### לגבי ביטוח אוסף האמנות הפרטי:

למרבה הצער, במסמכים שהועמדו לרשותי אין מידע ספציפי על תהליך ההצטרפות לביטוח אוספי אמנות פרטיים. נושא זה מטופל בדרך כלל במסגרת ביטוח דירה (תכולה) עם הרחבה ייעודית לאוספים יקרי ערך.

**המלצתי:** כדי לקבל מידע מדויק ולהצטרף לביטוח לאוסף האמנות, אני ממליץ לפנות ישירות למוקד שירות הלקוחות של הראל בטלפון **1-800-444-888** או לפנות לסוכן הביטוח שלך, אשר יוכל להתאים עבורך פוליסה אישית הכוללת ביטוח תכולה עם כיסוי מורחב לאוספים.

אני מקווה שמידע זה עוזר. בהצלחה!",partial,True,"The system correctly states that building insurance is through an agent but fails to provide the same information for art collection insurance, instead claiming lack of information and referring elsewhere.",
dev-06-apartment-hard,apartment,hard,bare_deepseek-ai_DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,default,deepseek-ai/DeepSeek-V4-Pro,"הדירה שלי מבוטחת בסכום של 1,200,000 ש""ח. שריפה פגעה בגינה — בדשא, בשיחים ובמערכת ההשקיה. מה הסכום המקסימלי שהביטוח ישלם על הנזק הזה?","24,000 ש""ח. אחריות המבטח בהרחבה לצמחים, מדשאות ומערכות השקיה מוגבלת ל-2% מסכום הביטוח לפרק ביטוח הדירה: 2% × 1,200,000 = 24,000 ש""ח.","הביטוח שלך כולל כיסוי לנזקי אש לגינה ולרכוש מחוץ לדירה, והפיצוי המקסימלי עבור הנזקים שתיארת הוא **60,000 ש""ח**.

הסבר: בפוליסה לביטוח דירה, הכיסוי לגינה, שיחים, עצים ומערכת השקיה תחת סעיף שריפה מוגבל ל-5% מסכום ביטוח המבנה (בתנאי שהסכום לא עולה על עלות ההקמה מחדש של הרכוש). במקרה שלך, 5% מסכום ביטוח של 1,200,000 ש""ח = **60,000 ש""ח**.

מקור: תנאי הפוליסה לביטוח דירה - פרק א' (מבנה), סעיף 1א(2) לנזקי אש, הקובע את אחריות החברה לנזק לגינה, שיחים, עצים, צמחייה ומערכת השקיה.",incorrect,True,"The system's answer states the maximum payout is 60,000 NIS (5%), but the ground truth states it is 24,000 NIS (2%).",
dev-07-business-easy,business,easy,bare_deepseek-ai_DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,default,deepseek-ai/DeepSeek-V4-Pro,"אני מעסיק במשרד עובדים דרך קבלן משנה. אם עובד של קבלן המשנה ייפגע ויתבע אותי, האם ביטוח החבות בפוליסת המכלול למשרד יכסה את זה?","לא. הפרק מחריג במפורש את חבות המבוטח כלפי קבלן, עובד של קבלן או קבלן משנה, עובד של קבלן משנה ועובדי חברות כוח אדם.","כן, פוליסת המכלול למשרד כוללת כיסוי לחבות המעביד גם כלפי עובדים של קבלן משנה.

על פי תנאי הפוליסה, הכיסוי הביטוחי לחבות מעבידים חל על עובדים של המבוטח (כולל עובדים ארעיים, עונתיים או זמניים) וגם על **עובדים של קבלנים וקבלני משנה של המבוטח**, כל עוד עובדים אלה מבצעים עבודה עבור המבוטח.

לעניין גבולות החבות, ההרחבה לעובדי קבלן משנה כפופה לאותם סכומי הביטוח הנקובים ברשימה לחבות מעבידים, והחבות הכוללת של המבטח בגין מקרה הביטוח היא עד לסכומים המצוינים בפוליסה.",incorrect,True,"The system's answer states coverage exists, but the ground truth explicitly says it is excluded.",
dev-08-business-easy,business,easy,bare_deepseek-ai_DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,default,deepseek-ai/DeepSeek-V4-Pro,"יש לי ביטוח ציוד אלקטרוני לעסק, ובאמצע תקופת הביטוח חל שינוי מהותי בעסק שלי. האם אני חייב להודיע על כך לחברת הביטוח בכתב?","כן. הפוליסה קובעת שבמשך תקופת הביטוח על המבוטח לגלות למבטח בכתב כל שינוי בעניין מהותי, באופן מיידי מעת שנודע לו על כך.","כן, על פי תנאי הפוליסה, עליך להודיע לחברת הביטוח בכתב על כל שינוי מהותי בעסק תוך 14 יום ממועד השינוי.",incorrect,True,The system's answer adds a 14-day deadline not mentioned in the ground truth.,
dev-09-business-medium,business,medium,bare_deepseek-ai_DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,default,deepseek-ai/DeepSeek-V4-Pro,"אם המשרד שלי יושבת בעקבות נזק מכוסה, לכמה זמן לכל היותר אקבל פיצוי על אובדן ההכנסות?","תקופת השיפוי מסתיימת בתום תקופת ההשבתה ולא יאוחר מ-100 ימים מתחילת ההשבתה, אלא אם נקבע אחרת ברשימה.","על פי תנאי הפוליסה לביטוח מקיף לעסק, במקרה של השבתת המשרד עקב נזק מכוסה, הפיצוי על אובדן הכנסות יינתן **לכל היותר למשך 12 חודשים**.  

מקור: חוברת ""ביטוח מקיף לעסק - דברי הסבר לתנאי הביטוח"", עמוד 27, סעיף 9 (הפסד רווחים).",incorrect,True,"The system states a maximum of 12 months, while the ground truth specifies a maximum of 100 days.",
dev-10-business-medium,business,medium,bare_deepseek-ai_DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,default,deepseek-ai/DeepSeek-V4-Pro,אני חוקר שמתכנן ניסוי קליני שאושר על ידי ועדת הלסינקי. האם אני חייב לרכוש ביטוח לניסוי?,"כן. פוליסת ביטוח ניסויים קליניים נדרשת עבור כל ניסוי קליני המאושר על-ידי ועדת הלסינקי, בהתאם לנוהלי משרד הבריאות. הפוליסה מכסה תביעות נזיקין של משתתפים בניסוי או צד ג' וכוללת כיסוי הוצאות הגנה משפטית.","כן, בהתאם לחוזר ""ביטוח ניסויים רפואיים בבני אדם"" (חוזר מס' 2017-1-13), על ניסוי רפואי בבני אדם שחל עליו חוזר זה להיות מבוטח בביטוח ניסויים רפואיים בבני אדם, כתנאי לביצועו. הביטוח מיועד לכסות את אחריותם של עורכי הניסוי, מבצעיו, בעליו וכל מי שפועל מטעמם, בגין חבותם כלפי נפגע בניסוי, בהתאם לכל דין, לרבות פקודת הנזיקין.

החוזר מפרט את המאפיינים המינימליים הנדרשים לביטוח, לרבות:
- תקופת הביטוח: למשך כל תקופת ביצוע הניסוי, לרבות תקופת המעקב הרפואי הנדרשת.
- הרחבות כיסוי הכרחיות: אחריות אישית של עורכי הניסוי ומבצעיו, אחריות שילוחית של בעל הניסוי, מעבידים, ופעולות חריגה מסמכות.
- הרחבת תקופת הגילוי (Discovery Period): למשך תקופת ההתיישנות החוקית החלה.
- גבולות האחריות המינימליים: סכום של 5,000,000 דולר (שער שקל-דולר לפי שער יציג במועד קרות מקרה הביטוח).
- השתתפות עצמית: מוגבלת לעד 5,000 דולר, מבלי לגרוע מזכותו של הנפגע לקבלת הפיצוי במלואו.
- הרחבת תחולה לניסויי ""Phase IV"" (ניסויים שלאחר שיווק) בכפוף לתנאים מסוימים.
- סעיף אי-ביטול הפוליסה (Non-cancellation).

בנוסף, כחלק מתנאי הפוליסה, על הצדדים להסכים במפורש להקנות למבוטח אפשרות לדחות את מועד ההתיישנות ביחס לתביעות נפגעים לפרק זמן שעד 10 שנים ממועד סיום ביצוע תקופת המעקב הרפואי הנדרש (Long Term Reporting Provision).",correct,True,"The system's answer agrees with the ground truth that insurance is required for a Helsinki-approved clinical trial, and provides supporting regulatory details.",
