id,domain,difficulty,run,answering_model,system_prompt,judge_model,question,ground_truth,model_answer,verdict,confident,judge_reason,citations
dev-01-apartment-easy,apartment,easy,bare_zai-org_GLM-5.2_cite,zai-org/GLM-5.2,cite,deepseek-ai/DeepSeek-V4-Pro,הגשתי תביעה לחברת הביטוח והיא עדיין בטיפול כבר הרבה זמן. האם עצם הפנייה לחברה עוצרת את מרוץ ההתיישנות של התביעה שלי?,"לא, ככלל הגשת תביעה לגוף מוסדי אינה עוצרת את מרוץ ההתיישנות ורק הגשת תביעה לבית משפט עוצרת אותו.","שלוך,

שאלתך נוגעת להיבט משפטי חשוב בדיני הביטוח בנוגע למרוץ ההתיישנות והשפעת הגשת התביעה עליו. 

עם זאת, על פי ההנחיות שניתנו לי, עלי לציין את המקור (שם מסמך ועמוד) עבור כל טענה עובדתית. מכיוון שאין בידי את שם המסמך המדויק והעמוד בתיק הראל העוסקים בסוגיה זו, **איני יכול לאמת את התשובה** או להשיב לך בוודאות אם הגשת התביעה עוצרת את מרוץ ההתיישנות.

אני ממליץ לך לפנות ישירות למחלקת התביעות או לשירות הלקוחות של חברת הראל על מנת לקבל תשובה מדויקת ומאומתת עבור התביעה הספציפית שלך. בנוסף, בנושאים משפטיים מורכבים כגון התיישנות, רצוי תמיד להתייעץ עם עורך דין המתמחה בדיני ביטוח.",refusal,False,The system states it cannot verify or answer the question and refers the customer elsewhere without providing the factual answer.,
dev-02-apartment-easy,apartment,easy,bare_zai-org_GLM-5.2_cite,zai-org/GLM-5.2,cite,deepseek-ai/DeepSeek-V4-Pro,קרה נזק בדירה שלי לפני חודש. האם נכון שיש לי שלוש שנים מיום המקרה להגיש תביעה לתגמולי ביטוח?,"כן, תקופת ההתיישנות של תביעה לתגמולי ביטוח היא שלוש שנים לאחר שקרה מקרה הביטוח.","לא אוכל לאמת את התשובה לשאלתך.

אין בידי מסמך רשמי של ""הראל"" ביטוח ומספר עמוד מדויק שבו מפורטת תקופת ההתיישנות להגשת תביעה לתגמולי ביטוח בגין נזק בדירה. לפיכך, על-פי נהלי השירות שלי, אני מחויב לציין כי **איני יכול לאמת** את המידע שמסרת.

מומלץ לפנות ישירות לשירות הלקוחות של ""הראל"" או לעיין בפוליסה הספציפית שברשותך, שכן תנאי ההתיישנות עשויים להשתנות בהתאם לסוג הפוליסה ולמועד רכישתה.",refusal,False,The system states it cannot verify the information and does not provide an answer to the factual question.,
dev-03-apartment-medium,apartment,medium,bare_zai-org_GLM-5.2_cite,zai-org/GLM-5.2,cite,deepseek-ai/DeepSeek-V4-Pro,"אם תהיה רעידת אדמה והדירה שלי תיפגע, המדינה לא אמורה לפצות אותי בכל מקרה? למה בכלל להוסיף כיסוי כזה לביטוח הדירה?","לא. חוק פיצוי נפגעי אסון טבע אמנם כולל רעידות אדמה, אך הוא מתייחס לנזקים לתשתית חקלאית בלבד — המדינה אינה מחויבת לפצות אזרחים על נזקים למבני מגורים. לכן חשוב לא לוותר על כיסוי רעידת אדמה בביטוח הדירה.","לא ניתן לאמת את התשובה לשאלתך. 

על פי הנחיותיי, כל טענה עובדתית חייבת להיות מגובה בשם המסמך המדויק של חברת הראל ומספר העמוד. מכיוון שאין בידי כעת את המסמכים הספציפיים ומספרי העמודים הנוגעים להסדרי הפיצויים הממשלתיים בגין רעידות אדמה (כגון חוק מס רכוש וקרן פיצויים) ולאת התנאים בפוליסת ביטוח הדירה של הראל בנושא זה, אני מצהיר שאיני יכול לאמת את המידע ולספק תשובה עובדתית. 

לקבלת הסבר מדויק ומלא על הכיסוי המוצע בביטוח הדירה שלך מול הראל ועל אופן חלוקת האחריות מול גופי המדינה, מומלץ לפנות ישירות לשירות הלקוחות של הראל או לסוכן הביטוח שלך.",refusal,False,The system's answer refuses to provide the factual information and refers the customer elsewhere.,
dev-04-apartment-medium,apartment,medium,bare_zai-org_GLM-5.2_cite,zai-org/GLM-5.2,cite,deepseek-ai/DeepSeek-V4-Pro,"יש לי ביטוח למחזיקי אקדח ברישיון. אם המבטח לא העמיד לי עורך דין ופניתי לעורך דין לפי בחירתי להגנה בהליך הפלילי, עד איזה סכום ישפו אותי על שכר הטרחה וההוצאות?","עד סכום השווה בשקלים ל-6,000 ₪ ביום קרות מקרה הביטוח.","איני יכול לאמת את התשובה לשאלתך. על פי הנחיות המערכת, כל טענה עובדתית מחייבת הפניה למקור מדויק (שם מסמך, עמוד), ומכיוון שאיני יכול לציין את מסמך הראל המדויק והעמוד הרלוונטי הנוגע לגובה השיפוי על שכר טרחה והוצאות בעת פנייה עצמית לעורך דין בביטוח מחזיקי אקדח ברישיון, אני מודיע לך שאיני יכול לאמת את התשובה. 

על מנת לקבל את הסכום המדויק והתשובה הרשמית, מומלץ לבדוק את תקנון הפוליסה האישית שברשותך או לפנות ישירות לשירות הלקוחות של הראל.",refusal,False,The system states it cannot verify the answer and refers the user to other sources without providing the requested amount.,
dev-05-apartment-hard,apartment,hard,bare_zai-org_GLM-5.2_cite,zai-org/GLM-5.2,cite,deepseek-ai/DeepSeek-V4-Pro,"אני חבר ועד בית ורוצה לעשות ביטוח לבניין המשותף, וחוץ מזה יש לי אוסף אומנות פרטי שאני רוצה לבטח גם. איך מצטרפים לשני הביטוחים האלה?","בשני המקרים ההצטרפות נעשית דרך סוכן הביטוח שלך: גם לביטוח ""עד הגג"" לבית המשותף וגם לביטוח Fine Art Collector's Insurance לאוספי אומנות יש לפנות לסוכן הביטוח להצטרפות.","שלום רב,

לצערי, איני יכול לאמת את התשובה לשאלתך. על פי הנחיותיי, כל טענה עובדתית בנוגע לאופן ההצטרפות לביטוח בניין משותף וביטוח אוסף אומנות פרטי בחברת הראל חייבת להיות מגובה בציון מסמך ועמוד מדויקים של הראל. מכיוון שאיני יכול לציין מסמך ועמוד מדויקים הכוללים את ההליכים הללו, אני מודיע לך שאיני יכול לאמת את התשובה.

מומלץ לפנות ישירות לשירות הלקוחות של חברת הראל או לסוכן הביטוח שלך על מנת לקבל את המידע המדויק והרשמי אודות תהליך ההצטרפות לשני הביטוחים הללו.",refusal,False,The system refuses to answer the factual question and refers the customer to an agent or customer service instead.,
dev-06-apartment-hard,apartment,hard,bare_zai-org_GLM-5.2_cite,zai-org/GLM-5.2,cite,deepseek-ai/DeepSeek-V4-Pro,"הדירה שלי מבוטחת בסכום של 1,200,000 ש""ח. שריפה פגעה בגינה — בדשא, בשיחים ובמערכת ההשקיה. מה הסכום המקסימלי שהביטוח ישלם על הנזק הזה?","24,000 ש""ח. אחריות המבטח בהרחבה לצמחים, מדשאות ומערכות השקיה מוגבלת ל-2% מסכום הביטוח לפרק ביטוח הדירה: 2% × 1,200,000 = 24,000 ש""ח.","שלום רב,

איני יכול לאמת את התשובה. מכיוון שאינני יכול לציין כעת את שם המסמך המדויק של חברת הראל ואת מספר העמוד הרלוונטי הקובע את הסכומים וסכומי המשנה לביטוח נזקי גינה (דשא, שיחים ומערכת השקיה), אני מנוע מלספק לך את הסכום המקסימלי המדויק על בסיס ידיעה עובדתית מתועדת. 

כדי לקבל את המידע המדויק עבור הפוליסה שלך, מומלץ לבדוק את מסמכי הפוליסה שלך (""מפרט הפוליסה"" ו""תנאי הפוליסה"" של חברת הראל) בסעיפים העוסקים ב""סכומי משנה"" או ""גינה וצמחיה"", או לפנות ישירות לשירות הלקוחות של הראל ולסוכן הביטוח שלך.",refusal,False,The system refuses to provide the requested amount and directs the customer to check their policy or contact support.,
dev-07-business-easy,business,easy,bare_zai-org_GLM-5.2_cite,zai-org/GLM-5.2,cite,deepseek-ai/DeepSeek-V4-Pro,"אני מעסיק במשרד עובדים דרך קבלן משנה. אם עובד של קבלן המשנה ייפגע ויתבע אותי, האם ביטוח החבות בפוליסת המכלול למשרד יכסה את זה?","לא. הפרק מחריג במפורש את חבות המבוטח כלפי קבלן, עובד של קבלן או קבלן משנה, עובד של קבלן משנה ועובדי חברות כוח אדם.","איני יכול לאמת את התשובה ללא ציון מסמך ודף מדויקים של הראל, ולכן איני יכול לספק תשובה עובדתית מאומתת.

באופן כללי (ולא כתשובה מאומתת), נושא זה תלוי בתנאי הפוליסה הספציפית שלך, ומומלץ לבדוק מול סוכן הביטוח או מחלקת התביעות של הראל ולבקש את המסמכים הבאים:

- דף השירות/הרחבות של פוליסת המכלול למשרד
- סעיף החבות המעביד והחריגים שלו
- הגדרת ""מבוטח"" והאם היא כוללת עובדי קבלני משנה

לא אוכל לאשר את תוכן הפוליסה ללא ציון מדויק של מסמך ועמוד.",refusal,False,The system states it cannot provide a verified answer without specific policy documents and refers the user to their agent or claims department.,
dev-08-business-easy,business,easy,bare_zai-org_GLM-5.2_cite,zai-org/GLM-5.2,cite,deepseek-ai/DeepSeek-V4-Pro,"יש לי ביטוח ציוד אלקטרוני לעסק, ובאמצע תקופת הביטוח חל שינוי מהותי בעסק שלי. האם אני חייב להודיע על כך לחברת הביטוח בכתב?","כן. הפוליסה קובעת שבמשך תקופת הביטוח על המבוטח לגלות למבטח בכתב כל שינוי בעניין מהותי, באופן מיידי מעת שנודע לו על כך.","לא ניתן לי לאמת את התשובה לשאלתך, מכיוון שאין בידי את המסמכים המדויקים של הראל ומספרי העמודים הרלוונטיים כדי לצטט את הוראות הפוליסה הספציפיות.

עם זאת, באופן כללי, פוליסות ביטוח לעסקים כוללות סעיף המחייב את המבוטח לדווח בכתב לחברת הביטוח על שינויים מהותיים שחלים במהלך תקופת הביטוח. עם זאת, לא הייתי יכול לאשר זאת ללא ציון המסמך והעמוד המדויק של הראל.

מומלץ לפנות ישירות לסוכן הביטוח שלך או למחלקת השירות של הראל כדי לקבל תשובה מדויקת ומבוססת על תנאי הפוליסה הספציפית שלך.

מספר הטלפון של מוקד השירות של הראל: *2550 או 03-9202550.",refusal,False,The system states it cannot verify or confirm the answer without the specific policy documents and refers the customer to their agent or service center.,
dev-09-business-medium,business,medium,bare_zai-org_GLM-5.2_cite,zai-org/GLM-5.2,cite,deepseek-ai/DeepSeek-V4-Pro,"אם המשרד שלי יושבת בעקבות נזק מכוסה, לכמה זמן לכל היותר אקבל פיצוי על אובדן ההכנסות?","תקופת השיפוי מסתיימת בתום תקופת ההשבתה ולא יאוחר מ-100 ימים מתחילת ההשבתה, אלא אם נקבע אחרת ברשימה.","איני יכול לאמת את התשובה, מכיוון שאין בידי את המסמך המדויק של חברת הראל ומספר העמוד הרלוונטי. על מנת לקבל תשובה מדויקת לשאלתך, יש לעיין בפוליסה הספציפית שלך או לפנות לשירות הלקוחות של הראל.",refusal,False,The system states it cannot verify the answer and refers the customer to the policy or customer service without providing the requested fact.,
dev-10-business-medium,business,medium,bare_zai-org_GLM-5.2_cite,zai-org/GLM-5.2,cite,deepseek-ai/DeepSeek-V4-Pro,אני חוקר שמתכנן ניסוי קליני שאושר על ידי ועדת הלסינקי. האם אני חייב לרכוש ביטוח לניסוי?,"כן. פוליסת ביטוח ניסויים קליניים נדרשת עבור כל ניסוי קליני המאושר על-ידי ועדת הלסינקי, בהתאם לנוהלי משרד הבריאות. הפוליסה מכסה תביעות נזיקין של משתתפים בניסוי או צד ג' וכוללת כיסוי הוצאות הגנה משפטית.","שלום רב,

לא הצלחתי לאמת את התשובה לשאלתך מכיוון שאין בידי מסמך מדויק של חברת הראל ומספר עמוד ממנו אוכל לצטט את המידע הנדרש. על פי הנחיות המערכת, עלי לציין כי איני יכול לאמת את התשובה ללא ציון מקור רשמי ומדויק של הראל. 

מומלץ לפנות ישירות לשירות הלקוחות של הראל או למחלקה העוסקת בביטוחי ניסויים קליניים בחברה על מנת לקבל מידע מדויק ומהימן.",refusal,False,The system states it cannot verify the answer and refers the customer to customer service without providing the requested factual information.,
