id,domain,difficulty,run,answering_model,system_prompt,judge_model,question,ground_truth,model_answer,verdict,confident,judge_reason,citations
dev-01-apartment-easy,apartment,easy,bare_moonshotai_Kimi-K2.6,moonshotai/Kimi-K2.6,default,deepseek-ai/DeepSeek-V4-Pro,הגשתי תביעה לחברת הביטוח והיא עדיין בטיפול כבר הרבה זמן. האם עצם הפנייה לחברה עוצרת את מרוץ ההתיישנות של התביעה שלי?,"לא, ככלל הגשת תביעה לגוף מוסדי אינה עוצרת את מרוץ ההתיישנות ורק הגשת תביעה לבית משפט עוצרת אותו."," בדרך כלל, הגשת תביעה לחברת הביטוח **אינה עוצרת ואינה מפסיקה** את מרוץ ההתיישנות של התביעה. זאת אומרת – גם אם תביעתך בטיפול בחברת הביטוח כבר זמן רב, הדבר אינו מגן על זכותך להגיש בהמשך תובענה לבית המשפט אם תוקף הזמן הקבוע בחוק עומד לפוג.

לפי **חוק ההתיישנות, תשי""ח-1958**, הפעולות שיכולות לעצור או להפסיק את מרוץ ההתיישנות כוללות בעיקר:
*   **הגשת תובענה** לבית המשפט (או לבוררות, אם נקבע כך בחוזה הביטוח).
*   **הודאה בחוב** או התחייבות לפרוע אותו על ידי החייב.
*   **תשלום חלקי** של החוב.

לכן, מומל� שלא להסתמך על הטיפול בתביעה המנהלית בחברה כדי להאריך את הזמן. אם עבר זמן רב מאז שנולדה זכות התביעה ואתה חושש שההתיישנות מתקרבת, יש לפעול להגן על הזכויות:

1. **ייעוץ משפטי** – מומלץ להתייעץ עם עורך דין המתמחה בדיני ביטוח ובהתיישנות כדי לקבוע מהו המועד המדויק לתביעה שלך (בתביעות חוזיות לרוב שבע שנים, ובנזיקיות לרוב שלוש שנים, אך ישנם הבדלים וחריגים).
2. **שמירת זכויות בבית המשפט** – במידת הצורך, יש להגיש תובענה לבית המשפט לפני פקיעת ההתיישנות, גם אם התביעה עדיין בטיפול חברת הביטוח.
3. **תיעוד מול החברה** – אם אתם מנהלים משא ומתן או ממתינים לתשובה, מומלץ לשמור על תיעוד מלא של ההתכתבות.

**אין באמור לעיל כל ייעוץ משפטי מחייב.** המועדים והסעיפים המדויקים תלויים בנסיבות העניין, בסוג הפוליסה ובסוג הנזק, ולכן חשוב להתייעץ עם עורך דין על מנת לבחון את המקרה הספציפי שלך.",correct,True,"The system's answer correctly states that filing a claim with the insurance company does not stop the statute of limitations, matching the ground truth.",
dev-02-apartment-easy,apartment,easy,bare_moonshotai_Kimi-K2.6,moonshotai/Kimi-K2.6,default,deepseek-ai/DeepSeek-V4-Pro,קרה נזק בדירה שלי לפני חודש. האם נכון שיש לי שלוש שנים מיום המקרה להגיש תביעה לתגמולי ביטוח?,"כן, תקופת ההתיישנות של תביעה לתגמולי ביטוח היא שלוש שנים לאחר שקרה מקרה הביטוח."," באופן עקרוני, נכון שעל פי **סעיף 19 לחוק חוזה ביטוח, תשמ""א-1981**, הזמן המרבי להגשת תובענה משפטית (תביעה בבית משפט או בבוררות) בגין חוזה ביטוח הוא **שלוש שנים** ממועד האירוע שגרם לנזק, או ממועד שבו ידעתם על הנזק ועל האירוע – לפי המאוחר מביניהם.

**אולם חשוב להבחין:** תקופת ההתיישנות של שלוש שנים אינה משמעה שניתן לחכות שנים לפני שמדווחים לחברת הביטוח. **חובת הדיווח על הנזק** לחברת הביטוח מחייבת אתכם לעשות זאת **בהקדם האפשרי**, ובדרך כלל בתוך זמן קצר מאוד ממועד האירוע (על פי תנאי הפוליסה וכן על פי **סעיף 16 לחוק חוזה ביטוח**).

עיכוב של חודש בדיווח על הנזק ללא סיבה מוצדקת עלול להיות בעייתי; אם חברת הביטוח תטען שהעיכוב פגע ביכולתה לבדוק את הנזק (למשל מכיוון שכבר אי אפשר לבחון את היקף הנזק או את סיבתו), היא רשאית לטעון לפטור מחלקית או מכלול הפיצוי.

**לכן:**
* אם טרם דיווחתם על הנזק – **מומלץ לעשות זאת מיידית**.
* אין להסתמך על תקופת ההתיישנות של שלוש שנים כהיתר לדחיית הדיווח או הגשת התביעה לחברה.

לפרטים מדויקים לגבי הפוליסה הספציפית שלכם (מועדי דיווח, מסמכים נדרשים ונוהל הגשת התביעה), אנו ממליצים לפנות ישירות למוקד שירות הלקוחות של הראל או לעיין בתנאי הפוליסה שבידכם.",correct,True,"The system's answer confirms the three-year limitation period from the date of the incident, which matches the ground truth.",
dev-03-apartment-medium,apartment,medium,bare_moonshotai_Kimi-K2.6,moonshotai/Kimi-K2.6,default,deepseek-ai/DeepSeek-V4-Pro,"אם תהיה רעידת אדמה והדירה שלי תיפגע, המדינה לא אמורה לפצות אותי בכל מקרה? למה בכלל להוסיף כיסוי כזה לביטוח הדירה?","לא. חוק פיצוי נפגעי אסון טבע אמנם כולל רעידות אדמה, אך הוא מתייחס לנזקים לתשתית חקלאית בלבד — המדינה אינה מחויבת לפצות אזרחים על נזקים למבני מגורים. לכן חשוב לא לוותר על כיסוי רעידת אדמה בביטוח הדירה."," שלום רב,

זו בהחלט שאלה נפוצה וחשובה. התשובה המדויקת היא: **לא, המדינה אינה אמורה לפצות אותך במלוא הנזק** בכל מקרה של רעידת אדמה.

להלן ההבדל בין הסיוע הממשלתי לביטוח פרטי:

**1. מה מספקת המדינה?**
בישראל קיים חוק רעידת אדמה, תשמ""א-1981, ובמסגרתו הוקמה קרן חירום לפיצוי נפגעי רעידת אדמה. עם זאת, הכספים בקרן מוגבלים מאוד, והסיוע הממשלתי נועד לתת מענה בסיסי וחלקי בלבד – לרוב לצרכי מחייה וסיוע ראשוני. הוא אינו מתיימר לכסות את עלות השיקום, הבנייה מחדש או תכולת הדירה, והוא כפוף להחלטות ממשלה, לתקציבים הזמינים ולקריטריונים שיקבעו בעת האסון.

**2. למה צריך כיסוי בביטוח הדירה?**
*   **כי הביטוח הסטנדרטי כולל אותו? לא.** פוליסת ביטוח דירה סטנדרטית אינה מכסה נזקי רעידת אדמה. מדובר בכיסוי נפרד (תוספת רעידת אדמה) שיש לשלב בכוונה בתוך הפוליסה.
*   **פיצוי על הנכס המלא** – הכיסוי הפרטי משלים את הפער בין הסיוע הממשלתי המוגבל לבין עלות התיקון או שיקום הדירה בפועל, בהתאם לתנאי הפוליסה.
*   **כיסוי לתכולה** – התוספת יכולה לכלול גם את תכולת הדירה (ריהוט, מכשירים וכו'), שלא בהכרח מכוסה על ידי גורמים אחרים.
*   **וודאות כלכלית** – אתה לא צריך להמתין להחלטות ממשלתיות או להסתמך על תקציב שנעלם. מדובר בחוזה ביטוח מוגדר, שבמימושו אתה זכאי לפיצוי לפי תנאי הפוליסה שלך.
*   **שכירות חלופית** – בדרך כלל הכיסוי כולל גם סיוע בהשגת דירה חלופית לתקופת השיקום.

**לסיכום:** הסיוע הממשלתי אמור רק לתת רשת ביטחון מינימלית במקרה של אסם לאומי, ולא לשפות את הנזק הכולל לנכס שלך. תוספת רעידת אדמה בביטוח הדירה היא הבטחת הדרך היחידה לדעת שאם יקרה האסון – יש לך כיסוי כלכלי אמיתי לדירה ולרכוש שלך.

אם יש לך אצלנו פוליסת ביטוח דירה קיימת ואתה רוצה לבדוק האם תוספת זו כלולה בה, או לקבל הצעה להרחבת הכיסוי, אשמח לחבר אותך לנציג המקצועי שלנו.

בברכה,
סוכן שירות הלקוחות של הראל ביטוח",incorrect,True,"The ground truth states the state law only covers agricultural infrastructure, not residential buildings, while the system's answer incorrectly claims the state provides limited basic aid for residential needs.",
dev-04-apartment-medium,apartment,medium,bare_moonshotai_Kimi-K2.6,moonshotai/Kimi-K2.6,default,deepseek-ai/DeepSeek-V4-Pro,"יש לי ביטוח למחזיקי אקדח ברישיון. אם המבטח לא העמיד לי עורך דין ופניתי לעורך דין לפי בחירתי להגנה בהליך הפלילי, עד איזה סכום ישפו אותי על שכר הטרחה וההוצאות?","עד סכום השווה בשקלים ל-6,000 ₪ ביום קרות מקרה הביטוח."," בפוליסת ביטוח **אחריות למחזיקי אקדח ברישיון** של הראל, כאשר המבטח אינו מעמיד עורך דין להגנה פלילית ואתה פונה לעורך דין לפי בחירתך, המבטח ישפה אותך בגין שכר הטרחה וההוצאות המשפטיות שהוצאו בהליך — בכפוף ל**אישור המבטח מראש ובכתב**.

הסכום המירבי לכיסוי זה נקבע ב**לוח כיסוי הפוליסה** הספציפי שלך. בפוליסות הסטנדרטיות למחזיקי אקדח ברישיון, מדובר בדרך כלל ב**סכום של עד 50,000 ש""ח** (יכול להיות כולל מע""מ או ללא מע""מ, בהתאם לנוסח הפוליסה שהונפק לך). 

חשוב לזכור: כדי לקבל את השיפוי, נדרש **אישור בכתב מראש** מהמבטח לבחירת עורך הדין ולהמשך ההליך, וההליך הפלילי חייב להיות קשור ישירות לנזק המכוסה בביטוח.

לקבלת הסכום המדויק החל על הפוליסה שלך, אנא פנה אלינו עם **מספר הפוליסה** ונבדוק זאת עבורך באופן מיידי.",incorrect,True,"The system's answer states the maximum coverage is 50,000 ILS, while the ground truth states it is 6,000 ILS.",
dev-05-apartment-hard,apartment,hard,bare_moonshotai_Kimi-K2.6,moonshotai/Kimi-K2.6,default,deepseek-ai/DeepSeek-V4-Pro,"אני חבר ועד בית ורוצה לעשות ביטוח לבניין המשותף, וחוץ מזה יש לי אוסף אומנות פרטי שאני רוצה לבטח גם. איך מצטרפים לשני הביטוחים האלה?","בשני המקרים ההצטרפות נעשית דרך סוכן הביטוח שלך: גם לביטוח ""עד הגג"" לבית המשותף וגם לביטוח Fine Art Collector's Insurance לאוספי אומנות יש לפנות לסוכן הביטוח להצטרפות."," שלום ותודה שפניתם להראל ביטוח.

בהחלט ניתן לעשות אצלנו את שני הביטוחים – הנה כל הפרטים כיצד להתקדם עם כל אחד מהם:

**1. ביטוח הבניין המשותף**
כחבר ועד בית, אתם יכולים לרכוש ביטוח לבניין המשותף (ביטוח מבנה וציוד משותף), המכסה את המבנה עצמו, מעליות, ציוד משותף וכן אחריות כלפי צד שלישי. הביטוח נרכש בדרך כלל על ידי ועד הבית בשם כל הדיירים. לצורך קבלת הצעת מחיר מומלץ להכין:
*   פרטי הבניין: כתובת מלאה, שטח בנוי, מספר דירות, שנת בנייה.
*   פירוט הציוד המשותף שברצונכם לכסות.
*   פרטי הוועד והתקציב.

**2. ביטוח אוסף האומנות הפרטי**
אוסף האומנות ניתן לביטוח במסגרת **ביטוח תכולת דירה** עם הרחבה לרכוש יקר ערך, או באמצעות פוליסה ייעודית לאומנות/אוסף. לצורך התחשיב והכיסוי המיטבי, יידרשו בדרך כלל:
*   רשימת פריטי האומנות והתיאור שלהם.
*   הערכת שווי של שמאי מוסמך או חוות דעת מקצועית, וכן תעודות/צילומים של הפריטים.

**איך מצטרפים בפועל?**
הדרך הפשוטה ביותר היא ליצור קשר עם נציג מטעם הראל, שיבנה עבורכם הצעות מותאמות:
*   **באתר האינטרנט:** ניתן למלא את טופס יצירת הקשר המקוון, ונציג יחזור אליכם בהקדם.
*   **טלפון:** התקשרו למוקד השירות והמכירות של הראל (שעות הפעילות מופיעות באתר) כדי לתאם ייעוץ ופגישה.
*   **סוכן ביטוח מקומי:** ניתו לפנות לסוכן הראל באזור מגוריכם, שילווה אתכם אישית, יאסוף את המסמכים הנדרשים ויבדוק עבורכם את התנאים הטובים ביותר.

לאחר שתמסרו את הפרטים, נוכל לבחון את צרכי הוועד ואת צרכיכם האישיים, ולשלוח לכם הצעות מחיר מפורטות.

> **שימו לב:** תנאי הכיסוי, החריגים והפרמיה מותאמים למבנה הספציפי, לאופי האוסף ולרמת הסיכון. לכן חשוב מאוד לשבת עם נציג מוסמך לקבלת הצעה מדויקת ומותאמת אישית.

נשמח לסייע לכם בהמשך התהליך!",incorrect,True,"The ground truth says to contact your insurance agent for both, but the system's answer lists multiple methods (website, phone, local agent) without specifying the agent as the required channel.",
dev-06-apartment-hard,apartment,hard,bare_moonshotai_Kimi-K2.6,moonshotai/Kimi-K2.6,default,deepseek-ai/DeepSeek-V4-Pro,"הדירה שלי מבוטחת בסכום של 1,200,000 ש""ח. שריפה פגעה בגינה — בדשא, בשיחים ובמערכת ההשקיה. מה הסכום המקסימלי שהביטוח ישלם על הנזק הזה?","24,000 ש""ח. אחריות המבטח בהרחבה לצמחים, מדשאות ומערכות השקיה מוגבלת ל-2% מסכום הביטוח לפרק ביטוח הדירה: 2% × 1,200,000 = 24,000 ש""ח."," שלום רב,

הסכום המקסימלי שיישאל עבור הנזק לגינה (דשא, שיחים ומערכת השקיה) אינו נגזר אוטומטית מסכום הביטוח הכולל של הדירה (**1,200,000 ש""ח**). התשלום תלוי בסוג הפוליסה ובהרחבות הספציפיות שרכשתם:

1. **ביטוח מבנה בלבד (למשל ביטוח משכנתא)**  
   פוליסה זו מכסה בדרך כלל את המבנה עצמו ואת המרכיבים הקבועים בו. דשא, שיחים ורכוש נייד בגינה אינם בגדר מבנה, ולרוב **אינם מכוסים** על ידי ביטוח זה. ייתכן שמערכת השקיה קבועה ומחוברת לקרקע תיכלל במבנה, אך זה תלוי בהגדרות הספציפיות בפוליסה.

2. **ביטוח תכולת דירה / ביטוח דירה משולב עם הרחבת רכוש בשטח החיצוני**  
   אם קיימת אצלכם הרחבה ל""רכוש בשטח החיצוני"" (גינה), הנזק משריפה לרכוש בגינה עשוי להיות מכוסה. עם זאת, גם במקרה כזה קיים לרוב **סכום מקסימלי נפרד** לרכוש זה, שלרוח נמוך משווי הביטוח הכללי של הדירה (למשל סכום קבוע מוגדר מאוד או אחוז מסוים מסכום הביטוח – whichever is lower).

**מה מומלץ לעשות?**  
אנא בדקו את **התנאים המיוחדים המצורפים לפוליסה** שלכם, ובפרט את הסעיפים הרלוונטיים ל""רכוש בשטח החיצוני"", ""גינה"" או ""צמחייה"". כדי לקבל תשובה חד-משמעית ומדויקת לגבי הפוליסה שלכם, תוכלו לפנות אלינו ישירות עם **מספר הפוליסה** ואנו נבדוק עבורכם את הסכום המקסימלי המגיע לכם בדיוק.

בברכה,  
שירות הלקוחות, הראל ביטוח",refusal,False,"The system's answer does not provide the requested maximum amount and instead states the answer depends on the policy details, referring the customer to check their policy or contact support.",
dev-07-business-easy,business,easy,bare_moonshotai_Kimi-K2.6,moonshotai/Kimi-K2.6,default,deepseek-ai/DeepSeek-V4-Pro,"אני מעסיק במשרד עובדים דרך קבלן משנה. אם עובד של קבלן המשנה ייפגע ויתבע אותי, האם ביטוח החבות בפוליסת המכלול למשרד יכסה את זה?","לא. הפרק מחריג במפורש את חבות המבוטח כלפי קבלן, עובד של קבלן או קבלן משנה, עובד של קבלן משנה ועובדי חברות כוח אדם."," שלום רב,

אין תשובה אחידה לכל הפוליסות, מכיוון שהכיסוי תלוי בנספחים ובהתניות הספציפיים שבפוליסה שלך. לרוב, פוליסת **מכלול למשרד** כוללת שני סעיפי חבות רלוונטיים:

**1. חבות המעביד (Employer's Liability)**
סעיף זה מכסה את המעביד בגין אחריות חוקית כלפי **עובדיו שלו** (כלומר אלו ששכירים ישירות על ידיך ומופיעים על גילי השכר של המשרד). עובד של קבלן משנה אינו נחשב בדרך כלל לעובד של המשרד, ולכן **סעיף זה לא יכסה** בדרך כלל תביעה שכזו.

**2. חבות כלפי צד שלישי (Public / General Liability)**
סעיף זה מיועד לכסות נזקי גוף שנגרמו לצדדים שלישיים עקב רשלנותך כמפעיל המשרד (למשל תאונה שנגרמה מליקוי בתחזוקה, רצפה החלקה, ציוד פגום שסופק על ידך וכדומה). עובד של קבלן משנה יכול להיחשב **צד שלישי** ביחס אליך. אם התביעה נגדך מבוססת על **רשלנות כללית של המשרד** (ולא על יחסי עובד–מעביד), ייתכן שהיא תיכלל תחת כיסוי זה.

**חשוב לשים לב לכך:**
* **החרגות בפוליסה:** ישנן פוליסות המחריגות במפורש תביעות של עובדי קבלנים או קבלני משנה מתחום חבות הצד השלישי. עליך לבדוק אם קיימת החרגה כזו בפוליסה הספציפית שלך.
* **חובת ביטוח הקבלן:** על קבלן המשנה להיות מבוטח בביטוח פגיעות עבודה (במסגרת הביטוח הלאומי) ורצוי שיהיה לו גם ביטוח אחריות משלו. אם הקבלן אינו מבוטח כנדרש, עלולה להיגרם חשיפה משפטית רבה יותר למשרד, ויתכן שהכיסוי שלך מותנה בקיומו של ביטוח אצל הקבלן.
* **מעמדו של הנפגע:** במקרים מסוימים (למשל עובד כוח אדם או קבלן שעובד במשרדך באופן קבוע), עלול בית משפט לקבוע שמעבר ליחסים החוזיים יש לך אחריות בטיחותית. במצבים כאלה, המצב משתנה ותלוי בהגדרות המדויקות שבפוליסה.

**מה כדאי לעשות?**
אינני מחזיק כעת בטקסט המלא של הפוליסה הספציפית שלך ולכן אינני יכול לצטט סעיף או עמוד מסוים. אני ממליץ לך בחום:

1. לעיין ב**תנאי הפוליסה והנספחים** – במיוחד בהגדרת **""עובד""** בסעיף חבות המעביד ובהחרגות שבסעיף חבות כלפי צד שלישי.
2. לפנות **לסוכן הביטוח או למרכז שירות הלקוחות של הראל** (עם מספר הפוליסה), כדי לקבל תשובה מחייבת לגבי הכיסוי המדויק הקיים אצלך.

אם תרצה, אתחבר אותך עם נציג שירות שיוכל לעיין בפוליסה שלך ספציפית ולתת תשובה מדויקת.",incorrect,True,"The system answer says coverage may exist under third-party liability, while the ground truth states the policy explicitly excludes liability toward subcontractors and their employees.",
dev-08-business-easy,business,easy,bare_moonshotai_Kimi-K2.6,moonshotai/Kimi-K2.6,default,deepseek-ai/DeepSeek-V4-Pro,"יש לי ביטוח ציוד אלקטרוני לעסק, ובאמצע תקופת הביטוח חל שינוי מהותי בעסק שלי. האם אני חייב להודיע על כך לחברת הביטוח בכתב?","כן. הפוליסה קובעת שבמשך תקופת הביטוח על המבוטח לגלות למבטח בכתב כל שינוי בעניין מהותי, באופן מיידי מעת שנודע לו על כך."," כן, ברוב המקרים אתה **חייב להודיע לחברת הביטוח על שינוי מהותי** שחל בעסק במהלך תקופת הביטוח, ומומלץ בחום לעשות זאת **בכתב** (למשל באימייל, פקס או מכתב רשום) כדי שתישאר לך הוכחה לדיווח.

ההסבר לכך:

1. **חוק חוזה ביטוח, התשמ""א-1981** – מחייב שני הצדדים לפעול בתום לב. שינוי מהותי בסיכון עלול להשפיע על זכויותיך בעת תביעה.
2. **תנאי הפוליסה שלך** – פוליסות ביטוח רכוש וציוד אלקטרוני לעסק כוללות לרוב סעיף המחייב דיווח על שינויים מהותיים בסיכון המבוטח במהלך תקופת הביטוח.

**דוגמאות לשינויים מהותיים:**
* שינוי כתובת העסק או שטח הפעילות
* שינוי בטיב העסק או בתחום הפעילות
* רכישת ציוד אלקטרוני נוסף או שינוי באבטחת הציוד
* שינוי במבנה המשפטי של העסק (אם רלוונטי לסיכון)

**חשוב לדעת:**
אי-הודעה על שינוי כזה עלולה להביא לוויכוח בעת תביעה. חברת הביטוח עשויה לטעון שהסיכון השתנה מעבר למוסכם בפוליסה, ובמקרים קיצוניים הדבר עשוי לפגוע בכיסוי או בסכום הפיצוי.

**מה כדאי לעשות ממש עכשיו:**
* פנה לסוכן הביטוח או ישירות למחלקת השרות של הראל ודווח על השינוי **בכתב**.
* ציין במדויק מה השתנה ומתי.
* שמור על אישור קבלה מהחברה.

אין בידי כאן מסמך ועמוד ספציפיים לצטט עבורך, מכיוון שהתנאים המדויקים תלויים בפוליסה הספציפית שהונפקה לעסק שלך. מומלץ לעיין בפוליסה המקורית שלך תחת הסעיפים ""שינויים בסיכון"" או ""הודעות"", או ליצור קשר ישירות עם שירות הלקוחות של הראל לבירור מדויק לגבי הפוליסה שלך.",correct,True,The system's answer agrees with the ground truth that the insured must notify the insurer in writing of a material change.,
dev-09-business-medium,business,medium,bare_moonshotai_Kimi-K2.6,moonshotai/Kimi-K2.6,default,deepseek-ai/DeepSeek-V4-Pro,"אם המשרד שלי יושבת בעקבות נזק מכוסה, לכמה זמן לכל היותר אקבל פיצוי על אובדן ההכנסות?","תקופת השיפוי מסתיימת בתום תקופת ההשבתה ולא יאוחר מ-100 ימים מתחילת ההשבתה, אלא אם נקבע אחרת ברשימה."," בדרך כלל, בפוליסות ביטוח תכולת משרדים ועסקים של חברת הראל, התקופה המרבית לפיצוי על אובדן הכנסות (שביתת עסק) בעקבות נזק מוכסה היא **12 חודשים** מיום הנזק.

עם זאת, ייתכנו הבדלים בין סוגי הפוליסות ובהתאם להרחבות שבחרתם:
*   במסלולים הסטנדרטיים, התקרה היא לרוב 12 חודשים.
*   אם רכשתם הרחבה מיוחדת או תוספת תעריף, ייתכן שהוגדרה תקופה ארוכה יותר (למשל 24 חודשים).

**כדי לדעת בוודאות מה התקופה המרבית הנכונה לכם**, יש לבדוק את **טבלת הפוליסה** (טבלת ההתחייבויות) ואת תנאי ההרחבה לשביתת עסק/אובדן רווחים, שם מצוין המגבלה בזמן.

אם תרצו, אשמח לבדוק את הנושא ספציפית עבורכם – כל שעליכם לעשות הוא לספק את מספר הפוליסה.",incorrect,True,"The system's answer states a maximum of 12 months, while the ground truth specifies a maximum of 100 days.",
dev-10-business-medium,business,medium,bare_moonshotai_Kimi-K2.6,moonshotai/Kimi-K2.6,default,deepseek-ai/DeepSeek-V4-Pro,אני חוקר שמתכנן ניסוי קליני שאושר על ידי ועדת הלסינקי. האם אני חייב לרכוש ביטוח לניסוי?,"כן. פוליסת ביטוח ניסויים קליניים נדרשת עבור כל ניסוי קליני המאושר על-ידי ועדת הלסינקי, בהתאם לנוהלי משרד הבריאות. הפוליסה מכסה תביעות נזיקין של משתתפים בניסוי או צד ג' וכוללת כיסוי הוצאות הגנה משפטית."," כן, בדרך כלל קיימת **חובה לבטח ניסויים קליניים** בביטוח אחריות.

לפי הנחיות משרד הבריאות ודרישות ועדת הלסינקי, נדרש לרכוש **ביטוח אחריות מקצועית לניסוי קליני** (Clinical Trials Liability Insurance) המכסה את האחריות לנזקי גוף – לרבות מוות – שעלולים להיגרם למשתתפים כתוצאה מהשתתפותם בניסוי.

כמה נקודות חשובות:
*   **מי חייב בביטוח?** החובה חלה, בדרך כלל, על ה**ספונסר** (הגוף המממן או המפעיל את הניסוי). אם הניסוי הוא **יוזמת חוקר** (Investigator Initiated Trial) ואתה הנושע באחריות המשפטית והכספית – חלה עליך החובה לרכוש את הביטוח personally או לוודא שקיים כיסוי בתוקף.
*   **מה הביטוח מכסה?** נזקי גוף למשתתפים בניסוי, לרבות הוצאות רפואיות ופיצויים, בהתאם לתנאי הפוליסה.
*   **למשך כמה זמן?** על הביטוח להיות בתוקף לכל אורך תקופת הניסוי, ולעיתים גם במהלך תקופת המעקב (Follow-up) שמאושרת על ידי ועדת הלסינקי.

ביטוח זה נדרש כתנאי לקבלת אישור סופי לניסוי מוועדת הלסינקי ולעיתים גם ממשרד הבריאות.

אנו, בחברת ביטוח הראל, מציעים פוליסות ביטוח אחריות לניסויים קליניים המותאמות לדרישות הרגולטוריות בישראל. **מומלץ שתפנה ישירות לסוכן הביטוח שלך או לנציג הראל** כדי לבדוק את התאמת הכיסוי לניסוי הספציפי שלך, גודלו, שלבי ההתקשרות עם משתתפים, ומקורות המימון.",correct,True,"The system's answer confirms the obligation to purchase clinical trial insurance as required by the Helsinki Committee and Ministry of Health, matching the ground truth.",
