id,domain,difficulty,run,answering_model,system_prompt,judge_model,question,ground_truth,model_answer,verdict,confident,judge_reason,citations
dev-01-apartment-easy,apartment,easy,bare_nvidia_Nemotron-3-Ultra-550b-a55b,nvidia/Nemotron-3-Ultra-550b-a55b,default,deepseek-ai/DeepSeek-V4-Pro,הגשתי תביעה לחברת הביטוח והיא עדיין בטיפול כבר הרבה זמן. האם עצם הפנייה לחברה עוצרת את מרוץ ההתיישנות של התביעה שלי?,"לא, ככלל הגשת תביעה לגוף מוסדי אינה עוצרת את מרוץ ההתיישנות ורק הגשת תביעה לבית משפט עוצרת אותו.","
<tool_call>
{""name"": ""search_docs"", ""arguments"": {""query"": ""statute of limitations insurance claim Israel contact company stops limitation period"", ""top_k"": 5}}",refusal,False,The system's answer is empty; it only contains a tool call without any actual response to the user.,
dev-02-apartment-easy,apartment,easy,bare_nvidia_Nemotron-3-Ultra-550b-a55b,nvidia/Nemotron-3-Ultra-550b-a55b,default,deepseek-ai/DeepSeek-V4-Pro,קרה נזק בדירה שלי לפני חודש. האם נכון שיש לי שלוש שנים מיום המקרה להגיש תביעה לתגמולי ביטוח?,"כן, תקופת ההתיישנות של תביעה לתגמולי ביטוח היא שלוש שנים לאחר שקרה מקרה הביטוח.","
<tool_call>
{""query"": ""three years from the date of the event file claim insurance Israel"", ""top_k"": 5}
</tool_call>
",refusal,False,The system output is a tool call with no substantive answer to the user's question.,
dev-03-apartment-medium,apartment,medium,bare_nvidia_Nemotron-3-Ultra-550b-a55b,nvidia/Nemotron-3-Ultra-550b-a55b,default,deepseek-ai/DeepSeek-V4-Pro,"אם תהיה רעידת אדמה והדירה שלי תיפגע, המדינה לא אמורה לפצות אותי בכל מקרה? למה בכלל להוסיף כיסוי כזה לביטוח הדירה?","לא. חוק פיצוי נפגעי אסון טבע אמנם כולל רעידות אדמה, אך הוא מתייחס לנזקים לתשתית חקלאית בלבד — המדינה אינה מחויבת לפצות אזרחים על נזקים למבני מגורים. לכן חשוב לא לוותר על כיסוי רעידת אדמה בביטוח הדירה.","בישראל המדינה אכן מפעילה קרן לפיצוי על נזקי רעידות אדמה (קרן נזקי טבע של המוסד לביטוח לאומי), אבל הכיסוי שלה **מוגבל** ואינו מחליף ביטוח פרטי:

| נקודה | מה שהמדינה נותנת | מה שנשאר לך בלי ביטוח פרטי |
|-------|-------------------|------------------------------|
| **סכום מרבי** | תקרה נמוכה יחסית (כמה מאות אלפי ש״ח) | עלות בנייה/שיקום מלאה יכולה להיות גבוהה בהרבה |
| **סוג הנזק** | רק נזק ישיר למבנה (לא לתכולה, לא לאובדן שכר דירה, לא להוצאות דיור זמני) | ביטוח דירה מכסה גם תכולה, דיור חלופי, אחריות צד שלישי ועוד |
| **זכאות** | רק מי שאין לו ביטוח פרטי מתאים, ורק אם הנזק עומד בקריטריונים שהמדינה קבעה | ביטוח פרטי מכסה אותך בכל מקרה, בלי תלות בקריטריונים משתנים |
| **מהירות תשלום** | תהליך בירוקרטי שעשוי לקחת חודשים | חברת ביטוח פרטית בדרך־כלל משלמת מהר יותר אחרי הגשת תביעה |

לכן, **הוספת כיסוי רעידות אדמה לפוליסת הדירה מבטיחה**:
1. **פיצוי מלא** לעלות השיקום/בנייה מחדש (ללא תקרה ממשלתית).
2. **כיסוי לתכולה** (ריהוט, מכשירי חשמל, בגדים וכו').
3. **הוצאות דיור זמני** (שכר דירה, מלון) עד שהדירה תהייה ראויה שוב.
4. **אחריות צד שלישי** – אם הנזק מהרעידה פגע בשכנים או בעוברים.
5. **ודאות ומהירות** – אינך תלוי בהחלטות מדיניות או בקריטריונים שיכולים להשתנות.

בקיצור: המדינה נותנת “רשת ביטחון” חלקית בלבד; ביטוח רעידות אדמה פרטי משלים את הפערים ומגן עליך באופן מקיף ומיידי.",incorrect,True,"The system's answer incorrectly claims the state provides compensation for residential earthquake damage via a fund, contradicting the ground truth which states the state only covers agricultural infrastructure.",
dev-04-apartment-medium,apartment,medium,bare_nvidia_Nemotron-3-Ultra-550b-a55b,nvidia/Nemotron-3-Ultra-550b-a55b,default,deepseek-ai/DeepSeek-V4-Pro,"יש לי ביטוח למחזיקי אקדח ברישיון. אם המבטח לא העמיד לי עורך דין ופניתי לעורך דין לפי בחירתי להגנה בהליך הפלילי, עד איזה סכום ישפו אותי על שכר הטרחה וההוצאות?","עד סכום השווה בשקלים ל-6,000 ₪ ביום קרות מקרה הביטוח.","שלום, על פי תנאי הפוליסה הסטנדרטית לביטוח מחזיקי אקדח ברישיון של הראל (מסמך: **״פוליסת ביטוח אחריות חוקית למחזיקי כלי ירייה״, עמוד 4**), במקרה בו המבטח לא העמיד לרשותך עורך דין ופנית לעורך דין מטעמך להגנה בהליך פלילי – החזר שכר הטרחה וההוצאות מוגבל עד לסכום הנקוב בפוליסה תחת **״גבול אחריות – הוצאות הגנה משפטית״** (או כותרת דומה).  

ברוב הפוליסות מדובר בסכום של **עד 100,000 ש״ח או 150,000 ש״ח**, אך הסכום המדויק מופיע בדף פרטי הביטוח (לרוב עמוד 1 או 2) של הפוליסה הספציפית שלך.  

כדי שאוכל לתת לך את הסכום המדויק החל עליך, אצטרך את **מספר הפוליסה** שלך.",incorrect,True,"The system's answer states a limit of 100,000–150,000 ₪, while the ground truth specifies 6,000 ₪.",
dev-05-apartment-hard,apartment,hard,bare_nvidia_Nemotron-3-Ultra-550b-a55b,nvidia/Nemotron-3-Ultra-550b-a55b,default,deepseek-ai/DeepSeek-V4-Pro,"אני חבר ועד בית ורוצה לעשות ביטוח לבניין המשותף, וחוץ מזה יש לי אוסף אומנות פרטי שאני רוצה לבטח גם. איך מצטרפים לשני הביטוחים האלה?","בשני המקרים ההצטרפות נעשית דרך סוכן הביטוח שלך: גם לביטוח ""עד הגג"" לבית המשותף וגם לביטוח Fine Art Collector's Insurance לאוספי אומנות יש לפנות לסוכן הביטוח להצטרפות.","לפי המידע שברשותי, המסמכים הקיימים אינם מכילים פירוט ספציפי על **ביטוח בניין משותף (ועד בית)** או על **ביטוח אוסף אומנות פרטי**.  
המוצרים המפורטים בחומרים הם: ביטוח עתיד (למהנדסים/אדריכלים) [etgar_insurance], ביטוח עסקים קטנים/בינוניים (ביטוח עסקים) [sme_insurance], ביטוח סייבר [cyber_insurance], ביטוח צד ג׳ [third_party_insurance], ביטוח שוכר [tenant_insurance] והשוואת פרמיה ברוטו/נטו [liability_gross_vs_net_premium].

**המלצה מעשית:**
1. **ביטוח בניין משותף** – פנה למחלקת ביטוח עסקים/רכוש של הראל ובקש הצעה ל""ביטוח מבנה משותף"" או ""ביטוח ועד בית"". במסגרת זו נהוג לכסות את המבנה, הרכוש המשותף, אחריות כלפי צד ג׳ (דיירים, מבקרים, קבלנים) ולעתים גם כיסוי לנזקי מים, אש, רעידת אדמה ועוד.
2. **ביטוח אוסף אומנות** – מדובר בדרך כלל בפוליסת ""רכוש יקר ערך"" (Valuables / Fine Art) המחייבת הערכת שמאי, תיאור מפורט של הפריטים, צילומים, ואמצעי מיגון נדרשים. גם כאן יש לפנות ישירות להראל לצורך קבלת הצעה מותאמת.

**איך מצטרפים?**  
צור קשר עם מוקד השירות או עם סוכן הביטוח שלך בהראל, ציין שאתה מעוניין בשתי פוליסות נפרדות (בניין משותף + אוסף אומנות), ובקש שישלחו לך טפסי הצטרפות ורשימת מסמכים נדרשים (פרוטוקול ועד בית, תכניות בניין, הערכת שמאי לאומנות, צילומים, אישורי מיגון וכו׳).

אם תרצה, אוכל לעזור בניסוח פנייה מסודרת לסוכן/למוקד.",partial,True,"The system answer correctly states to contact an agent for both insurances, but adds extra steps and does not explicitly confirm the ground truth's named products ('עד הגג' and 'Fine Art Collector's Insurance').",
dev-06-apartment-hard,apartment,hard,bare_nvidia_Nemotron-3-Ultra-550b-a55b,nvidia/Nemotron-3-Ultra-550b-a55b,default,deepseek-ai/DeepSeek-V4-Pro,"הדירה שלי מבוטחת בסכום של 1,200,000 ש""ח. שריפה פגעה בגינה — בדשא, בשיחים ובמערכת ההשקיה. מה הסכום המקסימלי שהביטוח ישלם על הנזק הזה?","24,000 ש""ח. אחריות המבטח בהרחבה לצמחים, מדשאות ומערכות השקיה מוגבלת ל-2% מסכום הביטוח לפרק ביטוח הדירה: 2% × 1,200,000 = 24,000 ש""ח.","
<tool_call>
{""name"": ""search_policy"", ""arguments"": {""query"": ""garden fire damage coverage maximum payable"", ""policy_type"": ""homeowners"", ""section"": ""property_damage""}}
",refusal,False,The system only made a tool call and did not provide any answer to the customer's question.,
dev-07-business-easy,business,easy,bare_nvidia_Nemotron-3-Ultra-550b-a55b,nvidia/Nemotron-3-Ultra-550b-a55b,default,deepseek-ai/DeepSeek-V4-Pro,"אני מעסיק במשרד עובדים דרך קבלן משנה. אם עובד של קבלן המשנה ייפגע ויתבע אותי, האם ביטוח החבות בפוליסת המכלול למשרד יכסה את זה?","לא. הפרק מחריג במפורש את חבות המבוטח כלפי קבלן, עובד של קבלן או קבלן משנה, עובד של קבלן משנה ועובדי חברות כוח אדם.","**תשובה בקצרה:**  
ביטוח החבות (Employers’ Liability / Public Liability) שבפוליסת “המכלול” למשרד **אינו מכסה אוטומטית** תביעה של עובד של קבלן משנה שנפגע בזמן העבודה אצלך, אלא אם רכשת **הרחבה/סעיף מיוחד** שמכליל “עובדים של קבלני משנה” בכיסוי.  

**למה?**  
1. **הגדרת “עובד” בפוליסה** – ברוב הפוליסות הסטנדרטיות “עובד” מוגדר כמי שמועסק ישירות על ידי המבוטח (בחוזה עבודה, תלוש משכורת, דיווח לביטוח לאומי וכו’). עובד של קבלן משנה אינו עונה על הגדרה זו.  
2. **חריגת “חבות קבלנית”** – בפוליסות רבות מופיע חריג מפורש: “אין כיסוי לחבות הנובעת מפגיעה בעובדים של קבלנים, קבלני משנה או ספקי שירותים חיצוניים”.  
3. **אפשרות להרחבה** – ניתן לרכוש הרחבה בשם “Contractors’ Employees Liability” (או “Sub‑contractors’ Workers”) שמוסיפה את הכיסוי הזה תמורת פרמיה נוספת.  

**מה לעשות?**  
- **בדוק את נוסח הפוליסה שברשותך** – חפש את הפרק “Employers’ Liability” / “חבות מעסיקים” ואת רשימת החריגים (Exclusions).  
- **פנה לסוכן/למבטח** – בקש אישור בכתב אם יש הרחבה כזו בפוליסה שלך, או בקש להוסיף אותה.  
- **שקול ביטוח “קבלני משנה” נפרד** – לעיתים עדיף לרכוש פוליסת “Contractors’ All Risks” או “Public Liability” ייעודית לקבלני המשנה, שתכסה גם את עובדיהם.  

**בשורה התחתונה:** ללא הרחבה מפורשת, הפוליסה הסטנדרטית של “המכלול” לא תגן עליך מפני תביעה של עובד קבלן משנה. מומלץ לוודא את הכיסוי מול הסוכן או המבטח לפני שמתחילים עבודה עם קבלני משנה.",correct,True,"The system answer correctly states that the standard policy does not cover claims by subcontractor employees, matching the ground truth's explicit exclusion.",
dev-08-business-easy,business,easy,bare_nvidia_Nemotron-3-Ultra-550b-a55b,nvidia/Nemotron-3-Ultra-550b-a55b,default,deepseek-ai/DeepSeek-V4-Pro,"יש לי ביטוח ציוד אלקטרוני לעסק, ובאמצע תקופת הביטוח חל שינוי מהותי בעסק שלי. האם אני חייב להודיע על כך לחברת הביטוח בכתב?","כן. הפוליסה קובעת שבמשך תקופת הביטוח על המבוטח לגלות למבטח בכתב כל שינוי בעניין מהותי, באופן מיידי מעת שנודע לו על כך.","כן. על פי תנאי פוליסת ביטוח ציוד אלקטרוני (וכן לפי חוק חוזה הביטוח, תשס""א‑1981), כל שינוי מהותי בעסק שמשפיע על רמת הסיכון – כגון שינוי בסוג הפעילות, מיקום הציוד, היקף השימוש בו או כל פרט מהותי אחר – מחייב אותך להודיע לחברת הביטוח **בכתב** ובזמן סביר לאחר שנודע לך על השינוי. אי‑הודעה כזו עלולה לאפשר למבטח לטעון להפרת חובת הגילוי ולהגביל או לשלול כיסוי במקרה של תביעה.",correct,True,The system's answer agrees with the ground truth that written notification is required for material changes.,
dev-09-business-medium,business,medium,bare_nvidia_Nemotron-3-Ultra-550b-a55b,nvidia/Nemotron-3-Ultra-550b-a55b,default,deepseek-ai/DeepSeek-V4-Pro,"אם המשרד שלי יושבת בעקבות נזק מכוסה, לכמה זמן לכל היותר אקבל פיצוי על אובדן ההכנסות?","תקופת השיפוי מסתיימת בתום תקופת ההשבתה ולא יאוחר מ-100 ימים מתחילת ההשבתה, אלא אם נקבע אחרת ברשימה.","לפי תנאי הפוליסה לביטוח עסקי של הראל, הפיצוי על אובדן הכנסות בעקבות השבתת המשרד כתוצאה מנזק מכוסה ניתן לכל היותר לתקופה של **12 חודשים** (שנה אחת).",incorrect,True,"The system states a maximum of 12 months, while the ground truth states a maximum of 100 days.",
dev-10-business-medium,business,medium,bare_nvidia_Nemotron-3-Ultra-550b-a55b,nvidia/Nemotron-3-Ultra-550b-a55b,default,deepseek-ai/DeepSeek-V4-Pro,אני חוקר שמתכנן ניסוי קליני שאושר על ידי ועדת הלסינקי. האם אני חייב לרכוש ביטוח לניסוי?,"כן. פוליסת ביטוח ניסויים קליניים נדרשת עבור כל ניסוי קליני המאושר על-ידי ועדת הלסינקי, בהתאם לנוהלי משרד הבריאות. הפוליסה מכסה תביעות נזיקין של משתתפים בניסוי או צד ג' וכוללת כיסוי הוצאות הגנה משפטית.","כן. לפי חוק הניסויים הקליניים (תשס״ו‑2015) ותקנות הביטוח הנלוות, כל ניסוי קליני שמאושר על ידי ועדת הלסינקי חייב להיות מכוסה בפוליסת ביטוח ייעודית המכסה נזקים שעלולים להיגרם למשתתפים [חוק הניסויים הקליניים, סעיף 9, עמ׳ 3].",correct,True,Both answers state that insurance is required for a Helsinki-approved clinical trial.,
