run,model,prompt,correct,partial,incorrect,refusal,halluc,p50_s,Q,E,cost_per_q,total,date,why
bare_nvidia_Nemotron-3-Ultra-550b-a55b,nvidia/Nemotron-3-Ultra-550b-a55b,default,0.3125,0.0625,0.3958333333333333,0.22916666666666666,0.3541666666666667,3.4637304544448853,0.765625,0.9398853808950495,0.0013501979166666669,35.13322880895049,2026-07-18,Nemotron flagship bare: does NVIDIA's biggest model know Israeli insurance?
bare_moonshotai_Kimi-K2.6,moonshotai/Kimi-K2.6,default,0.375,0.0625,0.375,0.1875,0.3125,26.589030504226685,0.96875,0.19726736111111115,0.006449187499999999,34.20704861111111,2026-07-18,"Kimi flagship: strong agentic model, bare"
bare_openai_gpt-oss-120b,openai/gpt-oss-120b,default,0.3958333333333333,0.0,0.6041666666666666,0.0,0.6041666666666666,5.891856551170349,0.953125,0.8078911374674903,0.00251203125,33.52161970800823,2026-07-18,OpenAI open-weights: different training data mix
bare_deepseek-ai_DeepSeek-V4-Pro_cite,deepseek-ai/DeepSeek-V4-Pro,cite,0.2708333333333333,0.08333333333333333,0.4583333333333333,0.1875,0.4375,11.476477026939392,0.875,0.7367645270294614,0.0004909375,30.539520270294613,—,—
bare_deepseek-ai_DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,default,0.3125,0.0625,0.5625,0.0625,0.5625,26.728090405464172,0.984375,0.5,0.0007033541666666667,28.453125,2026-07-18,stage23 rescore of base_default answers: judged Q for fair comparison with candidates
bare_deepseek-ai_DeepSeek-V4-Pro_strict,deepseek-ai/DeepSeek-V4-Pro,strict,0.125,0.041666666666666664,0.0625,0.7708333333333334,0.0625,2.4448516368865967,0.4375,0.9876430100864835,0.0001668125,27.725388434198166,—,—
bare_Qwen_Qwen3.5-397B-A17B,Qwen/Qwen3.5-397B-A17B,default,0.3125,0.08333333333333333,0.5625,0.041666666666666664,0.4375,48.498778343200684,0.8645833333333333,0.11600231481481477,0.007911958333333333,25.98814814814815,2026-07-18,largest Qwen: does scale close the no-docs gap?
bare_zai-org_GLM-5.2,zai-org/GLM-5.2,default,0.3333333333333333,0.020833333333333332,0.4791666666666667,0.16666666666666666,0.4375,61.59281349182129,0.84375,0.062484374999999925,0.00887528125,25.380052083333332,2026-07-18,GLM flagship: already used for cited-runner probe
bare_meta-llama_Llama-3.3-70B-Instruct_cite,meta-llama/Llama-3.3-70B-Instruct,cite,0.1875,0.041666666666666664,0.3958333333333333,0.375,0.2708333333333333,21.59348213672638,0.5885416666666666,0.5,0.0008226145833333333,22.463541666666664,—,—
bare_nvidia_Nemotron-3-Ultra-550b-a55b_cite,nvidia/Nemotron-3-Ultra-550b-a55b,cite,0.020833333333333332,0.0,0.0,0.9791666666666666,0.0,2.3195319175720215,0.34375,0.9911241134007771,0.00067790625,21.06749113400777,—,—
bare_meta-llama_Llama-3.3-70B-Instruct_strict,meta-llama/Llama-3.3-70B-Instruct,strict,0.0,0.041666666666666664,0.0,0.9583333333333334,0.0,2.0201793909072876,0.27083333333333337,0.9994394613636864,0.00021719791666666667,20.286061280303528,—,—
bare_nvidia_Nemotron-3-Ultra-550b-a55b_strict,nvidia/Nemotron-3-Ultra-550b-a55b,strict,0.0,0.0,0.0,1.0,0.0,1.8833374977111816,0.22395833333333331,1.0,0.0004408645833333333,18.739583333333332,—,—
bare_zai-org_GLM-5.2_strict,zai-org/GLM-5.2,strict,0.08333333333333333,0.0,0.041666666666666664,0.875,0.041666666666666664,29.134305477142334,0.33333333333333337,0.4351394675925926,0.0021674895833333333,18.111811342592596,—,—
bare_moonshotai_Kimi-K2.6_cite,moonshotai/Kimi-K2.6,cite,0.0,0.0,0.0,1.0,0.0,13.57623016834259,0.5885416666666666,0.5427956897682613,0.0034415625,17.813373564349277,—,—
bare_meta-llama_Llama-3.3-70B-Instruct,meta-llama/Llama-3.3-70B-Instruct,default,0.08333333333333333,0.14583333333333334,0.5833333333333334,0.1875,0.4166666666666667,39.41387438774109,0.7708333333333333,0.4863894675925926,0.0012449895833333334,17.176394675925923,2026-07-18,smaller western open-weights reference point
bare_moonshotai_Kimi-K2.6_strict,moonshotai/Kimi-K2.6,strict,0.0,0.0,0.020833333333333332,0.9791666666666666,0.020833333333333332,6.747004985809326,0.27604166666666663,0.8167024078015928,0.0019258541666666666,16.953482411349263,—,—
bare_zai-org_GLM-5.2_cite,zai-org/GLM-5.2,cite,0.020833333333333332,0.0,0.0,0.9791666666666666,0.0,41.022581458091736,0.5625,0.3329195601851852,0.004007447916666666,16.67294560185185,—,—
bare_openai_gpt-oss-120b_cite,openai/gpt-oss-120b,cite,0.0,0.0,0.0,1.0,0.0,0.5963954925537109,0.0,1.0,0.0,16.5,—,—
bare_openai_gpt-oss-120b_strict,openai/gpt-oss-120b,strict,0.0,0.0,0.0,1.0,0.0,0.6073750257492065,0.0,1.0,0.0,16.5,—,—
bare_Qwen_Qwen3-32B_strict,Qwen/Qwen3-32B,strict,0.020833333333333332,0.020833333333333332,0.20833333333333334,0.75,0.14583333333333334,15.307064771652222,0.41666666666666663,0.6296637100466975,0.0010125208333333334,14.999762100466976,—,—
bare_Qwen_Qwen3.5-397B-A17B_cite,Qwen/Qwen3.5-397B-A17B,cite,0.020833333333333332,0.0,0.0,0.9791666666666666,0.0,56.18769061565399,0.546875,0.10546990740740736,0.008101541666666667,14.242199074074074,—,—
bare_Qwen_Qwen3.5-397B-A17B_strict,Qwen/Qwen3.5-397B-A17B,strict,0.0,0.0,0.0,1.0,0.0,29.00459909439087,0.28645833333333337,0.2309282407407407,0.005843291666666667,11.673865740740741,—,—
bare_test_Qwen_Qwen3-32B,Qwen/Qwen3-32B,default,0.10416666666666667,0.0,0.8958333333333334,0.0,0.75,24.164111971855164,0.21875,0.46281828703703703,0.0016692708333333334,6.81568287037037,2026-07-18,small test model bare: how big is the gap the RAG must close?
