id,domain,difficulty,run,answering_model,system_prompt,judge_model,question,ground_truth,model_answer,verdict,confident,judge_reason,citations
dev-01-apartment-easy,apartment,easy,bare_meta-llama_Llama-3.3-70B-Instruct_cite,meta-llama/Llama-3.3-70B-Instruct,cite,deepseek-ai/DeepSeek-V4-Pro,הגשתי תביעה לחברת הביטוח והיא עדיין בטיפול כבר הרבה זמן. האם עצם הפנייה לחברה עוצרת את מרוץ ההתיישנות של התביעה שלי?,"לא, ככלל הגשת תביעה לגוף מוסדי אינה עוצרת את מרוץ ההתיישנות ורק הגשת תביעה לבית משפט עוצרת אותו.","על פי חוק הביטוח, הגשת תביעה לחברת הביטוח כן עוצרת את מרוץ ההתיישנות (חוק הביטוח, תשכ""א-1961, סעיף 30). 
ההתיישנות היא נושא הנדון בפרק ג'1 לחוק הביטוח (חוק הביטוח, תשכ""א-1961, פרק ג'1).

לפי החוק, מרוץ ההתיישנות נעצר כאשר התובע (במקרה זה, אתה) פונה לחברת הביטוח ומודיע על כוונתו להגיש תביעה (חוק הביטוח, תשכ""א-1961, סעיף 30). 

עם זאת, יש לציין שעצירת מרוץ ההתיישנות תקפה רק אם התביעה הוגשה בתוך זמן סביר לאחר הפנייה לחברת הביטוח (חוק הביטוח, תשכ""א-1961, סעיף 30). 

אין לי גישה לדוחות הרשמיים של החברה ולכן לא יכול לציין דף מסוים, אך חוק הביטוח זמין לציבור. 

יש לציין כי זהו מידע כללי ולא מייצג ייעוץ משפטי. רצוי לפנות לעורך דין או לבית משפט בשביל לקבל החלטה מבוססת במקרה ספציפי.",incorrect,True,"The system's answer states that filing a claim with the insurance company stops the statute of limitations, which directly contradicts the ground truth that only filing a lawsuit in court stops it.",
dev-02-apartment-easy,apartment,easy,bare_meta-llama_Llama-3.3-70B-Instruct_cite,meta-llama/Llama-3.3-70B-Instruct,cite,deepseek-ai/DeepSeek-V4-Pro,קרה נזק בדירה שלי לפני חודש. האם נכון שיש לי שלוש שנים מיום המקרה להגיש תביעה לתגמולי ביטוח?,"כן, תקופת ההתיישנות של תביעה לתגמולי ביטוח היא שלוש שנים לאחר שקרה מקרה הביטוח.","לא ידוע לי התשובה המדויקת. לפי חוק הביטוח הישראלי, המועד להגשת תביעה לתגמולי ביטוח מוגבל בזמן, אולם איני יכול לציין את המסמך המדויק ואת העמוד (document name, page) שמציין את הזמן המדויק להגשת תביעה. 
אני ממליץ לך לפנות לחברת הביטוח הראל ישירות, או לעורך דין מומחה לביטוח, כדי לקבל מידע מדויק ועדכני לגבי הליכים ומועדים להגשת תביעה.",refusal,False,The system states it does not know the exact answer and refers the customer elsewhere without confirming the three-year period.,
dev-03-apartment-medium,apartment,medium,bare_meta-llama_Llama-3.3-70B-Instruct_cite,meta-llama/Llama-3.3-70B-Instruct,cite,deepseek-ai/DeepSeek-V4-Pro,"אם תהיה רעידת אדמה והדירה שלי תיפגע, המדינה לא אמורה לפצות אותי בכל מקרה? למה בכלל להוסיף כיסוי כזה לביטוח הדירה?","לא. חוק פיצוי נפגעי אסון טבע אמנם כולל רעידות אדמה, אך הוא מתייחס לנזקים לתשתית חקלאית בלבד — המדינה אינה מחויבת לפצות אזרחים על נזקים למבני מגורים. לכן חשוב לא לוותר על כיסוי רעידת אדמה בביטוח הדירה.","לפי החוק, המדינה אמורה לספק פיצויים לנפגעים מרעידות אדמה, אך הפיצויים הללו מוגבלים (חוק הפיצויים לנפגעי רעידות אדמה, 1961, סעיף 3). הם מכסים רק נזקים הנגרמים ישירות לבניין, ולא נזקים משניים, כגון נזקים לתכולת הדירה, הוצאות הוצאה מדירה והוצאות אחזקה (לא ניתן לציין דוקומנט מדויק).
לכן, הוספת כיסוי לרעידות אדמה לביטוח הדירה יכולה לספק הגנה נוספת ומקיפה יותר, הכוללת גם נזקים שאינם מכוסים על ידי המדינה.",incorrect,True,"The system's answer incorrectly claims the law covers direct building damage, while the ground truth states it only covers agricultural infrastructure.",
dev-04-apartment-medium,apartment,medium,bare_meta-llama_Llama-3.3-70B-Instruct_cite,meta-llama/Llama-3.3-70B-Instruct,cite,deepseek-ai/DeepSeek-V4-Pro,"יש לי ביטוח למחזיקי אקדח ברישיון. אם המבטח לא העמיד לי עורך דין ופניתי לעורך דין לפי בחירתי להגנה בהליך הפלילי, עד איזה סכום ישפו אותי על שכר הטרחה וההוצאות?","עד סכום השווה בשקלים ל-6,000 ₪ ביום קרות מקרה הביטוח.","לאחר בדיקה, לא נמצא מידע זמין בנושא זה. אני לא יכול לאמוד את סכום הפיצוי עבור שכר טרחה והוצאות ללא גישה למסמך הביטוח הספציפי (Policy document, page). 
אני ממליץ לפנות אלינו, האחראים על הטיפול בביטוח למחזיקי אקדח, על-מנת לקבל תשובה מדויקת ומלאה לחובת הפיצוי.",refusal,False,The system states it cannot find the information and refers the customer elsewhere without providing the requested amount.,
dev-05-apartment-hard,apartment,hard,bare_meta-llama_Llama-3.3-70B-Instruct_cite,meta-llama/Llama-3.3-70B-Instruct,cite,deepseek-ai/DeepSeek-V4-Pro,"אני חבר ועד בית ורוצה לעשות ביטוח לבניין המשותף, וחוץ מזה יש לי אוסף אומנות פרטי שאני רוצה לבטח גם. איך מצטרפים לשני הביטוחים האלה?","בשני המקרים ההצטרפות נעשית דרך סוכן הביטוח שלך: גם לביטוח ""עד הגג"" לבית המשותף וגם לביטוח Fine Art Collector's Insurance לאוספי אומנות יש לפנות לסוכן הביטוח להצטרפות.","שלום, 
כדי להצטרף לביטוח בניין משותף וביטוח לאוסף אומנות, יש לפנות לחברת הביטוח הראל (Harel Insurance). 
לפי מדריך ללקוח (מדריך ללקוח, עמוד 5), הליך הרישום לביטוח כולל מילוי טופס בקשה, העברת תיעוד נדרש (כגון תעודת זהות, רישיון עסק, וכו'), ותשלום פרמיה.
לגבי ביטוח אוסף אומנות, יש לצרף תיעוד על האוסף, כולל רשימת היצירות, שוויין, ותמונות (אין אפשרות לציין דו""ח מדויק).
למידע נוסף, מומלץ ליצור קשר עם נציג החברה. 
אני לא יכול לאמוד את עלות הביטוח. 
אני ממליץ לפנות לנציג הביטוח על מנת לקבל הצעת מחיר מדויקת.",incorrect,True,"The ground truth says to contact your insurance agent, but the system's answer says to contact Harel Insurance directly and describes a different process.",
dev-06-apartment-hard,apartment,hard,bare_meta-llama_Llama-3.3-70B-Instruct_cite,meta-llama/Llama-3.3-70B-Instruct,cite,deepseek-ai/DeepSeek-V4-Pro,"הדירה שלי מבוטחת בסכום של 1,200,000 ש""ח. שריפה פגעה בגינה — בדשא, בשיחים ובמערכת ההשקיה. מה הסכום המקסימלי שהביטוח ישלם על הנזק הזה?","24,000 ש""ח. אחריות המבטח בהרחבה לצמחים, מדשאות ומערכות השקיה מוגבלת ל-2% מסכום הביטוח לפרק ביטוח הדירה: 2% × 1,200,000 = 24,000 ש""ח.",לא יכול לאמת את התשובה.,refusal,False,"The system states it cannot verify the answer, which is a refusal to provide the requested information.",
dev-07-business-easy,business,easy,bare_meta-llama_Llama-3.3-70B-Instruct_cite,meta-llama/Llama-3.3-70B-Instruct,cite,deepseek-ai/DeepSeek-V4-Pro,"אני מעסיק במשרד עובדים דרך קבלן משנה. אם עובד של קבלן המשנה ייפגע ויתבע אותי, האם ביטוח החבות בפוליסת המכלול למשרד יכסה את זה?","לא. הפרק מחריג במפורש את חבות המבוטח כלפי קבלן, עובד של קבלן או קבלן משנה, עובד של קבלן משנה ועובדי חברות כוח אדם.","ביטוח החבות בפוליסת המכלול למשרד שלנו (ביטוח האחריות האזרחית) כולל בדרך כלל כיסוי לנזיקים שנגרמו לעובדים של קבלני משנה (Employer's Liability, ראו: ""תיק פוליסת מכלול למשרד"", עמוד 5). 

עם זאת, בכדי להיות בטוח, יש לבדוק את תנאי הפוליסה הספציפית שלך (ראו: ""תיק פוליסת מכלול למשרד"", עמוד 10). 

יש לתת מידע נוסף על פוליסת הביטוח ועל התאונה, ולפנות אלינו לקבלת ייעוץ מקצועי. 

לא הצלחתי למצוא מסמך רלוונטי במאגר המידע שלי, לכן לא ניתן לי למספר עמוד.",incorrect,True,"The system's answer claims coverage is usually included, but the ground truth states it is explicitly excluded.",
dev-08-business-easy,business,easy,bare_meta-llama_Llama-3.3-70B-Instruct_cite,meta-llama/Llama-3.3-70B-Instruct,cite,deepseek-ai/DeepSeek-V4-Pro,"יש לי ביטוח ציוד אלקטרוני לעסק, ובאמצע תקופת הביטוח חל שינוי מהותי בעסק שלי. האם אני חייב להודיע על כך לחברת הביטוח בכתב?","כן. הפוליסה קובעת שבמשך תקופת הביטוח על המבוטח לגלות למבטח בכתב כל שינוי בעניין מהותי, באופן מיידי מעת שנודע לו על כך.","כפי שנקבע בתנאי הפוליסה (תנאי הפוליסה, עמוד 5), עליך להודיע לחברת הביטוח בכתב על כל שינוי מהותי בעסק שלך, כולל שינויים בפעילות, מיקום, בעלות או כל שינוי אחר שעלול להשפיע על הסיכון המבוטח (תנאי הפוליסה, עמוד 10).
לפי התנאים, עליך להודיע על שינויים אלו בתוך 30 יום מהשינוי (תנאי הפוליסה, עמוד 12). 
אין מידע נוסף על תהליך ההודעה, לכן נסו לפנות אלינו ישירות כדי לקבל מידע נוסף.",correct,True,"The system's answer agrees that written notification is required for material changes, matching the ground truth.",
dev-09-business-medium,business,medium,bare_meta-llama_Llama-3.3-70B-Instruct_cite,meta-llama/Llama-3.3-70B-Instruct,cite,deepseek-ai/DeepSeek-V4-Pro,"אם המשרד שלי יושבת בעקבות נזק מכוסה, לכמה זמן לכל היותר אקבל פיצוי על אובדן ההכנסות?","תקופת השיפוי מסתיימת בתום תקופת ההשבתה ולא יאוחר מ-100 ימים מתחילת ההשבתה, אלא אם נקבע אחרת ברשימה.","לא יכול לאמת את המידע המבוקש, אולם בדרך כלל, המשך זמן לפיצוי על אובדן הכנסות, במקרה של נזק מכוסה, מוגדר בפוליסת הביטוח (Policy Terms and Conditions, page Not Available). 
בדרך כלל, פוליסות ביטוח מסחריות כוללות סעיף המתייחס לאובדן הכנסות, הקובע את משך הזמן לפיצוי (Business Insurance Policy, page Not Available).
אני ממליץ לקרוא את פוליסת הביטוח או לפנות לנציג החברה על מנת לקבל מידע מדויק.",refusal,False,The system states it cannot verify the information and refers the customer to the policy or a representative without providing the specific duration.,
dev-10-business-medium,business,medium,bare_meta-llama_Llama-3.3-70B-Instruct_cite,meta-llama/Llama-3.3-70B-Instruct,cite,deepseek-ai/DeepSeek-V4-Pro,אני חוקר שמתכנן ניסוי קליני שאושר על ידי ועדת הלסינקי. האם אני חייב לרכוש ביטוח לניסוי?,"כן. פוליסת ביטוח ניסויים קליניים נדרשת עבור כל ניסוי קליני המאושר על-ידי ועדת הלסינקי, בהתאם לנוהלי משרד הבריאות. הפוליסה מכסה תביעות נזיקין של משתתפים בניסוי או צד ג' וכוללת כיסוי הוצאות הגנה משפטית.","כדי לענות על שאלתך, אני צריך להתייחס לדרישות הרגולטוריות בישראל. על פי ""חוק הניסויים הרפואיים בבני אדם, התשנ""ד-1994"" (חוק הניסויים הרפואיים, סעיף 10), נדרש ביטוח אחריות לניסויים רפואיים (חוק הניסויים הרפואיים, סעיף 10). 

יש לציין כי מידע זה נכון לפי הידע שלי נכון למועד הידע (December 2023), אך לא ניתן לי להפנות למסמך ספציפי של חברת הביטוח הרל. על מנת לקבל מידע מדויק ועדכני, מומלץ לבדוק באתר האינטרנט הרשמי של משרד הבריאות או ליצור קשר עם ועדת הלסינקי או חברת הביטוח הרל ישירות.",correct,True,"The system's answer confirms the requirement for clinical trial insurance under Israeli law, which agrees with the ground truth.",
