id,domain,difficulty,run,answering_model,system_prompt,judge_model,question,ground_truth,model_answer,verdict,confident,judge_reason,citations
dev-01-apartment-easy,apartment,easy,bare_Qwen_Qwen3.5-397B-A17B,Qwen/Qwen3.5-397B-A17B,default,deepseek-ai/DeepSeek-V4-Pro,הגשתי תביעה לחברת הביטוח והיא עדיין בטיפול כבר הרבה זמן. האם עצם הפנייה לחברה עוצרת את מרוץ ההתיישנות של התביעה שלי?,"לא, ככלל הגשת תביעה לגוף מוסדי אינה עוצרת את מרוץ ההתיישנות ורק הגשת תביעה לבית משפט עוצרת אותו.","

שלום רב,

תודה שפנית אלינו. אני מבין את הדאגה שלך לגבי משך הטיפול בתביעה, אנו בחברת הראל עושים מאמצים לה پرداز תביעות בהקדם האפשרי.

לגבי שאלתך המשפטית concerning the statute of limitations:
על פי הדין הישראלי, עצם הגשת התביעה לחברת הביטוח או הפנייה אליה **אינה עוצרת** את מרוץ ההתיישנות. המשמעות היא שהתקופה שבמהלכה ניתן לתבוע בבית משפט ממשיכה להתקדם גם כאשר התביעה נמצאת בטיפול מול חברת הביטוח.

המקור המשפטי לכך הוא **חוק חוזה הביטוח, התשמ""א-1981, סעיף 6א(ג)**, הקובע במפורש: ""הגשת תביעה לחברת ביטוח אין בה כדי להפסיק את מרוץ ההתיישנות"".

**המלצה חשובה:**
כיוון שהתביעה נמצאת בטיפול כבר זמן רב, ובהתאם האמור בחוק, אנו ממליצים כי אם אתה חושש כי התביעה עלולה להתיישן, תתייעץ עם עורך דין专 specializing in insurance law כדי לבחון את הצעד המשפטי הנדרש לשימור זכויותיך (כגון הגשת תביעה לבית המשפט לפני תום תקופת ההתיישנות).

**לגבי סטטוס התביעה שלך:**
אנא קח/י בחשבון שהמידע above הוא כללי ואינו מהווה ייעוץ משפטי מחייב מטעם החברה.
כדי לקבל עדכון ספציפי לגבי התביעה שהגשת, אני ממליץ לפנות ישירות למטפל התביעה שלך או לשירות הלקוחות בטלפון *3555, כדי לברר מהו סטטוס הטיפול והאם נדרשים ממך מסמכים נוספים לקידום התהליך.

בברכה,
צוות שירות הלקוחות של הראל",correct,True,"The system's answer correctly states that filing a claim with the insurance company does not stop the statute of limitations, matching the ground truth.",
dev-02-apartment-easy,apartment,easy,bare_Qwen_Qwen3.5-397B-A17B,Qwen/Qwen3.5-397B-A17B,default,deepseek-ai/DeepSeek-V4-Pro,קרה נזק בדירה שלי לפני חודש. האם נכון שיש לי שלוש שנים מיום המקרה להגיש תביעה לתגמולי ביטוח?,"כן, תקופת ההתיישנות של תביעה לתגמולי ביטוח היא שלוש שנים לאחר שקרה מקרה הביטוח.","

שלום רב,

קודם כל, אנו בחברת הביטוח הראל מצטערים לשמוע על הנזק שנגרם לדירתך ומקווים כי אין נפגעים והנזק ניתן לתיקון.

לגבי שאלתך – **אכן, באופן עקרוני**, על פי **סעיף 62 לחוק חוזה הביטוח, תשמ""א-1981**, הזכות לתגמולי ביטוח מתיישנת לאחר 3 שנים מיום המקרה.

**עם זאת, חשוב מאוד להדגיש נקודה קריטית:**
בעוד שתיק התביעה עצמו יכול להיות מוגש עד תום 3 שנים, תנאי הפוליסה (המסמך המחייק בין הצדדים) מחייבים את המבוטח להודיע לחברה על כל אירוע שעשוי לגרר תביעה **מיידית** או בתוך פרק זמן קצר מאוד (לרוב עד 30 יום מיום היוודע הנזק). איחור בהודעה לחברה עלול לפגוע בזכאותך לתגמולים, גם אם עדיין לא עברו 3 שנים.

לכן, אנו ממליצים שלא להמתין וליידע אותנו על המקרה בהקדם האפשרי, כדי שנוכל לסייע בטיפול ובמימוש זכויותיך בהתאם לתנאי הפוליסה.

בברכה,
צוות שירות לקוחות הראל ביטוח",correct,True,"The answer confirms the 3-year limitation period from the date of the incident, matching the ground truth.",
dev-03-apartment-medium,apartment,medium,bare_Qwen_Qwen3.5-397B-A17B,Qwen/Qwen3.5-397B-A17B,default,deepseek-ai/DeepSeek-V4-Pro,"אם תהיה רעידת אדמה והדירה שלי תיפגע, המדינה לא אמורה לפצות אותי בכל מקרה? למה בכלל להוסיף כיסוי כזה לביטוח הדירה?","לא. חוק פיצוי נפגעי אסון טבע אמנם כולל רעידות אדמה, אך הוא מתייחס לנזקים לתשתית חקלאית בלבד — המדינה אינה מחויבת לפצות אזרחים על נזקים למבני מגורים. לכן חשוב לא לוותר על כיסוי רעידת אדמה בביטוח הדירה.","

שלום רב, תודה שפנית אלינו בהראל ביטוח. זוהי שאלה חשובה מאוד שמעסיקה רבים, וחשוב לעשות סדר כדי שתדע בדיוק מהם זכויותיך.

התשובה הקצרה היא that **המדינה אינה מחויבת לפצות בעלי דירות באופן מלא או אוטומטי במקרה של רעידת אדמה.**
בעוד שלעיתים המדינה עשויה להעניק סיוע הומניטרי או מענקים חד-פעמיים בהחלטת ממשלה (שאינה מובטחת מראש), סיוע זה לרוב אינו מכסה את מלוא עלויות השיקום, שחזור הנכס או ערך הדירה כפי שהיו לפני האסון.

הנה הסיבות העיקריות מדוע כיסוי ביטוחי לרעידת אדמה הוא קריטי, גם בישראל:

1.  **ודאות מול אי-ודאות:** ביטוח הוא הסכם מחייב. בעוד סיוע ממשלתי תלוי בהחלטות פוליטיות ותקציביות נקודתיות, חברת הביטוח מחויבת לשלם לפי תנאי הפוליסה חתומה.
2.  **היקף הכיסוי:** פיצוי ביטוחי נועד לאפשר שיקום מלא של הנכס (בהתאם לגבולות הביטוח), בעוד סיוע ממשלתי לרוב מסתכם בסיוע מידי למגורע חלופי או תיקונים ראשוניים בלבד.
3.  **הנחיות המפקח על הביטוח:** בשנה האחרונה חלה תמורה משמעותית בשוק, והמפקח על הביטוח פעל להכללת כיסוי רעידת אדמה כחלק מפוליסת הדירה הסטנדרטית (או כתוספת נגישה), מתוך הבנה שההגנה הממשלתית אינה מספקת.

בהראל, אנו ממליצים לוודא שהדירה מכוסה בגין רעידת אדמה, שכן מדובר בסיכון נמוך בתדירות but גבוה מאוד בחומרת הנזק הפוטנציאלי.

אשמח לבדוק עבורך את תנאי הפוליסה הספציפית שלך ולהסביר מה בדיוק הכיסוי הקיים במסמך הפוליסה שלך. האם תרצה שנבצע בדיקה זו כעת?

בברכה,
צוות שירות לקוחות, הראל ביטוח",partial,True,"The system's answer correctly states the state is not obligated to fully compensate, but it omits the ground truth's specific legal context (the law covers only agricultural infrastructure) and instead discusses general government aid.",
dev-04-apartment-medium,apartment,medium,bare_Qwen_Qwen3.5-397B-A17B,Qwen/Qwen3.5-397B-A17B,default,deepseek-ai/DeepSeek-V4-Pro,"יש לי ביטוח למחזיקי אקדח ברישיון. אם המבטח לא העמיד לי עורך דין ופניתי לעורך דין לפי בחירתי להגנה בהליך הפלילי, עד איזה סכום ישפו אותי על שכר הטרחה וההוצאות?","עד סכום השווה בשקלים ל-6,000 ₪ ביום קרות מקרה הביטוח.","

שלום רב,

תודה לפנייתך. במסגרת ביטוח חבות אזרחית וסינון משפטי למחזיקי רישיון נשק, כיסוי ההגנה המשפטית בהליך פלילי מתייחס למצב בו חברת הביטוח מחליטה שלא למנות עורך דין מטעמה להגנה על המבוטח.

בהתאם ל**תנאי ביטוח אחידים לביטוח חבות אזרחית וסינון משפטי למחזיקי רישיון נשק** (מסמך התנאים האחידים המפקחים על הפוליסה), בפרק העוסק ב**הגנה משפטית (סעיף 10)**, מצוין כי במקרה בו החברה הודיעה כי לא תממן את ההגנה המשפטית או לא תמנה עורך דין, היא תשתתף בהוצאות שכר טרחת עורך דין והוצאות משפטיות אחרות עד לסכום של **15,000 ש""ח (חוץ מע""מ)**.

יחד עם זאת, חשוב לשים לב כי:
1.  **הרחבות ביטוחיות:** ייתכן כי בפוליסה האישית שלך נרכשו הרחבות עדכניות המגדילות סכום זה (לעיתים עד 25,000 ש""ח או יותר, בהתאם לשנת הפוליסה ולתוכנית הביטוח).
2.  **המסמך הקובע:** המסמך המחייב הוא תמיד **אישור הביטוח האישי** (הפוליסה) שברשותך, שבו עשויים להופיע תנאים מיוחדים או שינויים מהתנאים האחידים.

**המלצתי:**
כדי לקבל את התשובה המדויקת ביותר עבור הפוליסה הספציפית שלך, אני ממליץ לבדוק את ""אישור הביטוח"" באזור האישי באתר או באפליקציית הראל, או לפנות למוקד השירות בטלפון *3898. שם יוכלו לאשר את סכום הכיסוי העדכני הרשום בפוליסה שלך.

בברכה,
צוות תמיכה – הראל ביטוח

**מקור לתנאים הכלליים:**
*   **מסמך:** תנאי ביטוח אחידים לביטוח חבות אזרחית וסינון משפטי למחזיקי רישיון נשק.
*   **סעיף:** סעיף 10 (הגנה משפטית), פסקה המתייחסת לאי מינוי עורך דין על ידי החברה.
*   *(הערה: מספרי העמודים משתנים בין גרסאות שונות של המסמך, ולכן ההפניה המדויקת היא למספר הסעיף בתנאים האחידים).*",incorrect,True,"The system answer states the coverage is up to 15,000 ₪, while the ground truth specifies up to 6,000 ₪.",
dev-05-apartment-hard,apartment,hard,bare_Qwen_Qwen3.5-397B-A17B,Qwen/Qwen3.5-397B-A17B,default,deepseek-ai/DeepSeek-V4-Pro,"אני חבר ועד בית ורוצה לעשות ביטוח לבניין המשותף, וחוץ מזה יש לי אוסף אומנות פרטי שאני רוצה לבטח גם. איך מצטרפים לשני הביטוחים האלה?","בשני המקרים ההצטרפות נעשית דרך סוכן הביטוח שלך: גם לביטוח ""עד הגג"" לבית המשותף וגם לביטוח Fine Art Collector's Insurance לאוספי אומנות יש לפנות לסוכן הביטוח להצטרפות.","

שלום רב,

תודה שפנית אלינו בהראל. אנו שמחים על האפשרות לסייע לך בשני התחומים החשובים הללו. Since you are asking about two different types of insurance (one collective for the building and one private for your collection), the enrollment process is slightly different for each, אך ניתן לטפל בשניהם דרך הערוצים שלנו.

להלן פירוט הדרך להצטרפות לכל ביטוח:

**1. ביטוח מבנה משותף (ועדי בתים)**
כחבר ועד בית, אתה מחפש ביטוח המכסה את המבנה המשותף ואת האזורים הציבוריים.
*   **אופן ההצטרפות:** ביטוח זה דורש בדרך כלל מילוי פרטים ספציפיים לגבי הבניין (כתובת, שנת בנייה, מספר דירות, שווי משוער להצמדה ועוד).
*   **מה需要做:** יש ליצור קשר עם מחלקת ועדי בתים או עם סוכן ביטוח מורשה מטעם הראל כדי לקבל הצעת מחיר מותאמת אישית לוועד הבית.

**2. ביטוח אוסף אומנות פרטי**
ביטוח זה נכוס בדרך כלל במסגרת **ביטוח תכולה פרטי** עם הרחבה לפריטי ערך/אומנות, או כפוליסה נפרדת לפי שווי האוסף.
*   **אופן ההצטרפות:** יש להצהיר על קיום האוסף בעת הצטרפות לביטוח תכולה או בעת עדכון פוליסה קיימת.
*   **חשוב לדעת:** עבור אוספים בעלי ערך גבוה, ייתכן שיידרש להציג הערכת שווי (שמאות) עדכנית מטעם שמאי מוסמך, בהתאם לתנאי הפוליסה.

**דרכי התקשרות והצטרפות**
כדי להתחיל את התהליך עבור שני הביטוחים, ניתן לפנות באחת מהדרכים הבאות:
1.  **אתר האינטרנט:** מעבר לאזור האישי באתר [www.harel.co.il](https://www.harel.co.il) תחת קטגוריית ""ביטוחי רכוש ודירה"".
2.  **מוקד שירות לקוחות:** בחיוג *7979 או 03-9278888.
3.  **סוכן אישי:** אם יש לך סוכן ביטוח המטפל בתיק שלך, מומלץ לפנות אליו ישירות לתיאום הכיסויים.

אנו ממליצים להכין מראש את הפרטים הרלוונטיים (כתובת הנכס, פרטי ועד הבית, ופרטים ראשוניים לגבי שווי אוסף האומנות) כדי שנוכל לתת לך מענה מהיר ומדויק.

בברכה,
צוות שירות לקוחות – הראל ביטוח",incorrect,True,"The ground truth states enrollment for both insurances is done through an insurance agent, but the system's answer provides multiple alternative channels (website, call center) without mentioning the agent is the required method.",
dev-06-apartment-hard,apartment,hard,bare_Qwen_Qwen3.5-397B-A17B,Qwen/Qwen3.5-397B-A17B,default,deepseek-ai/DeepSeek-V4-Pro,"הדירה שלי מבוטחת בסכום של 1,200,000 ש""ח. שריפה פגעה בגינה — בדשא, בשיחים ובמערכת ההשקיה. מה הסכום המקסימלי שהביטוח ישלם על הנזק הזה?","24,000 ש""ח. אחריות המבטח בהרחבה לצמחים, מדשאות ומערכות השקיה מוגבלת ל-2% מסכום הביטוח לפרק ביטוח הדירה: 2% × 1,200,000 = 24,000 ש""ח.","

שלום רב,

קודם כל, אנו מצטערים לשמוע על האירוע והנזק שנגרם לדירתך. אנו כאן כדי לסייע.

לגבי שאלתך על סכום הפיצוי המקסימלי עבור הנזק לגינה (דשא, שיחים ומערכת השקיה) במקרה של שריפה:

על פי רוב, בפוליסות ביטוח דירה סטנדרטיות (כולל פוליסות של הראל), כיסוי עבור ""גן וצמחיה"" כפוף למגבלה ספציפית הנקראת **""תת-גבול""**, גם אם סכום הביטוח למבנה גבוה יותר.

1.  **צמחיה וגינון (דשא ושיחים):**
    בדרך כלל, הכיסוי עבור נזק לגן וצמחיה מוגבל ל-**5% מסכום הביטוח למבנה**, אלא אם נרכשה הרחבה ספציפית אחרת.
    *   **חישוב לדוגמה:** 5% מתוך 1,200,000 ש""ח = **60,000 ש""ח**.
    *   סכום זה הוא לרוב הסכום המקסימלי שישולם עבור רכיב הצמחיה, גם אם עלות השיקום גבוהה יותר.

2.  **מערכת השקיה:**
    מערכות השקיה קבועות עשויות להיות מכוסות تحت רכיב ""מבנה"" או תחת רכיב ""גן"", תלוי בתנאי הפוליסה הספציפיים שלך. אם הוגדרו כחלק מהמבנה (צינורות מוסברים etc.), ייתכן שהן יהנו מהכיסוי המלא של המבנה, אך אם הוגדרו כחלק מהגינון, יחול עליהן תת-הגבול של הגן.

**חשוב לדעת:**
*   **הרחבות ביטוח:** ייתכן שרכשת הרחבה ספציפית (""ביטוח גן"") המשנה את אחוזי הכיסוי או מסירה את תת-הגבול.
*   **תנאי הפוליסה האישית:** המסמך הקובע הוא פוליסת הביטוח האישית שלך.

**מקור מקצועי:**
*   **מסמך:** תנאי הביטוח לביטוח דירה (הראל חברה לביטוח בע""מ).
*   **פרק רלוונטי:** פרק הכיסויים הנוספים / תת-גבולות, סעיף ""גן וצמחיה"" (מספרי העמודים עשויים להשתנות בין גרסאות הפוליסה השונות, יש לעיין בתוכן העניינים בגרסה שלך).

**המלצה שלנו:**
כדי לקבל תשובה מדויקת לסכום הזכאות שלך, אנו ממליצים להגיש תביעה לפיצוי. לאחר הגשת התביעה, שמאי מטעמנו יבדוק את הנזק בשטח ואת תנאי הפוליסה הספציפיים שלך, ויקבע את סכום הפיצוי הסופי בהתאם לכיסויים הנרכשים.

ניתן להגיש תביעה באתר האינטרנט שלנו, באפליקציה, או במוקד השירות בטלפון *3699.

בברכה,
שירות לקוחות הראל ביטוח",incorrect,True,"The system's answer states the coverage limit is 5% (60,000 ILS), but the ground truth specifies it is 2% (24,000 ILS).",
dev-07-business-easy,business,easy,bare_Qwen_Qwen3.5-397B-A17B,Qwen/Qwen3.5-397B-A17B,default,deepseek-ai/DeepSeek-V4-Pro,"אני מעסיק במשרד עובדים דרך קבלן משנה. אם עובד של קבלן המשנה ייפגע ויתבע אותי, האם ביטוח החבות בפוליסת המכלול למשרד יכסה את זה?","לא. הפרק מחריג במפורש את חבות המבוטח כלפי קבלן, עובד של קבלן או קבלן משנה, עובד של קבלן משנה ועובדי חברות כוח אדם.","

שלום רב,

בפוליסת ""מכלול לעסקים"" של הראל, סעיף **חבות כלפי צד שלישי** נועד לכסות את אחריותך החוקית כלפי גופים או אנשים שאינם מוגדרים כעובדים שלך ישירות.

באופן עקרוני, עובדים של קבלן משנה נחשבים לצד שלישי ביחס אליך כמזמין העבודה, ולכן תביעה שלהם בגין נזק גוף עשויה להיות מכוסה under סעיף חבות כלפי צד שלישי, **אולם** ישנם מספר תנאים וסייגים חשובים שיש לבדוק בפוליסה הספציפית שלך:

1.  **הגדרת יחסי עובד-מעביד:** אם ייקבע משפטית כי מדובר ב""קבלנות כוח אדם"" וכי העובדים נחשבים בפועל כעובדים שלך (ולא של הקבלן), הביטוח הרלוונטי הוא ביטוח **חבות מעבידים** ולא חבות כלפי צד שלישי. פוליסת צד שלישי לרוב מ exclusion (מוציאה מראש) אחריות כלפי עובדי המבוטח.
2.  **חובת ביטוח של הקבלן:** ברוב הפוליסות, קיים תנאי המחייב כי לקבלן המשנה תהיה פוליסת ביטוח משלו (חבות כלפי צד שלישי ו/או קבלנים). לעיתים, הביטוח שלך יכסה רק את החלק העולה על כיסוי הביטוח של הקבלן, או ידרוש השתתפות עצמית גבוהה יותר אם לקבלן אין ביטוח.
3.  **אחריות חוקית:** הכיסוי ביטוחי מותנה בכך שתוכר אחריותך החוקית לנזק (למשל, רשלנות בפיקוח או בתיאום הבטיחות בשטח).

**המלצה:**
חשוב לעיין בנסבח הפוליסה שלך תחת הפרק העוסק ב""חבות כלפי צד שלישי"" ובסעיפים המתייחסים ל""קבלנים"" או ""קבלני משנה"". כמו כן, מומלץ לוודא כי בידך אישורים מעודכנים על ביטוחים רלוונטיים מטעם קבלן המשנה.

מומלץ תמיד להתייעץ עם סוכן הביטוח שלך או עם מחלקת התביעות כדי לקבל אישור סופי בהתאם לנסיחות המקרה הספציפי ולנוסח הפוליסה העדכנית.

בברכה,
צוות שירות לקוחות הראל ביטוח",incorrect,False,"The ground truth states the policy explicitly excludes coverage for subcontractor employees, but the system's answer suggests coverage may exist under certain conditions, contradicting the exclusion.",
dev-08-business-easy,business,easy,bare_Qwen_Qwen3.5-397B-A17B,Qwen/Qwen3.5-397B-A17B,default,deepseek-ai/DeepSeek-V4-Pro,"יש לי ביטוח ציוד אלקטרוני לעסק, ובאמצע תקופת הביטוח חל שינוי מהותי בעסק שלי. האם אני חייב להודיע על כך לחברת הביטוח בכתב?","כן. הפוליסה קובעת שבמשך תקופת הביטוח על המבוטח לגלות למבטח בכתב כל שינוי בעניין מהותי, באופן מיידי מעת שנודע לו על כך.","

שלום רב,

כן, במקרה של שינוי מהותי בסיכון במהלך תקופת הביטוח, **חובה עליך להודיע על כך לחברת הביטוח בכתב** ללא דיחוי.

חובת ההודעה נגזרת מהחוק ומופיעה גם בתנאי הפוליסה. אי-עדכון של חברת הביטוח על שינוי מהותי (כגון שינוי בפעילות העסק, מיקומו, או סוג הציוד המבוטח) עלול להוביל למצב שבו הטענה לכיסוי ביטוחי תידחה במקרה של אירוע ביטוח, או שהחברה תהיה רשאית לבטל את הביטוח.

יש להעביר את ההודעה בכתב (במייל, בפקס או במכתב רשמי) לסוכן הביטוח שלך או ישירות למחלקת העסקים בהראל, כדי שניתן יהיה לבחון את השינוי ולעדכן את תנאי הפוליסה והפרמיה במידת הצורך.

**מקור משפטי:**
חוק חוזה הביטוח, תשמ""א-1981, סעיף 9 (שינוי בסיכון במהלך תקופת הביטוח).

מומלץ ליצור קשר עם הסוכן המבטח שלך בהקדם לקבלת סיוע בהעברת ההודעה.

בברכה,
שירות לקוחות – הראל ביטוח",correct,True,"The system's answer confirms the obligation to notify in writing, matching the ground truth.",
dev-09-business-medium,business,medium,bare_Qwen_Qwen3.5-397B-A17B,Qwen/Qwen3.5-397B-A17B,default,deepseek-ai/DeepSeek-V4-Pro,"אם המשרד שלי יושבת בעקבות נזק מכוסה, לכמה זמן לכל היותר אקבל פיצוי על אובדן ההכנסות?","תקופת השיפוי מסתיימת בתום תקופת ההשבתה ולא יאוחר מ-100 ימים מתחילת ההשבתה, אלא אם נקבע אחרת ברשימה.","

שלום רב,

בפוליסות הביטוח העסקי של חברת הראל (כגון הרחבת ""אובדן רווחים"" או ""הפסקת עבודה""), תקופת הפיצוי בגין אובדן הכנסות נקבעת על פי הכלל הבא:

הפיצוי משולם לתקופה הנדרשת בפועל לשיקום העסק והחזרתו למצבו עובר לנזק, **אך לא יותר מהתקופה המקסימלית המוגדרת בפוליסה** (לעיתים נקראת ""תקופת האחריות"" או ""תקופת הפיצוי המרבית"").

ברוב הפוליסות הסטנדרטיות, התקופה המקסימלית הנפוצה היא **12 חודשים**, אולם ישנם מקרים בהם נרכשה תקופה ארוכה או קצרה יותר, בהתאם לסיכום האישי עמך ועל פי צרכי העסק.

**היכן ניתן למצוא את התשובה המדויקת?**
התקופה המקסימלית הרלוונטית אליך מופיעה במפורש ב**תוספת האישית** של הפוליסה שלך, תחת פרק העוסק ב""אובדן רווחים"" או ""הפסקת עבודה"".

אנו ממליצים לעיין במסמכי הפוליסה שברשותך, או ליצור קשר עם סוכן הביטוח שלך/מוקד השירות העסקי של הראל כדי לקבל את המידע המדויק בהתאם לכיסויים הספציפיים שלך.

בברכה,
צוות שירות לקוחות - הראל ביטוח",incorrect,True,"The ground truth states a maximum of 100 days, while the system's answer claims the common maximum is 12 months.",
dev-10-business-medium,business,medium,bare_Qwen_Qwen3.5-397B-A17B,Qwen/Qwen3.5-397B-A17B,default,deepseek-ai/DeepSeek-V4-Pro,אני חוקר שמתכנן ניסוי קליני שאושר על ידי ועדת הלסינקי. האם אני חייב לרכוש ביטוח לניסוי?,"כן. פוליסת ביטוח ניסויים קליניים נדרשת עבור כל ניסוי קליני המאושר על-ידי ועדת הלסינקי, בהתאם לנוהלי משרד הבריאות. הפוליסה מכסה תביעות נזיקין של משתתפים בניסוי או צד ג' וכוללת כיסוי הוצאות הגנה משפטית.","

שלום רב,

תודה על פנייתך להראל ביטוח.

לגבי שאלתך, על פי הנחיות משרד הבריאות וועדת הלסינקי בישראל, **קיימת חובה לבטח את המשתתפים בניסוי קליני**. אישור הוועדה לביצוע הניסוי מותנה לרוב בהצגת פוליסת ביטוח המכסה את המשתתפים במקרה של נזק שייגרם כתוצאה מהניסוי.

בהראל, אנו מציעים מסלול ביטוח ייעודי לניסויים קליניים, המותאם לדרישות הרגולטוריות ולצרכים הספציפיים של כל מחקר.

**חשוב לציין:**
המידע הנ""ל הינו כללי ואינו מהווה ייעוץ משפטי או תחליף לבדיקת הדרישות הספציפיות של ועדת הלסינקי הרלוונטית או משרד הבריאות. אנו ממליצים לוודא את היקפי הכיסוי הנדרשים מול הגוף המאשר ולפנות לצוות המומחים שלנו להתאמת הפוליסה.

לפרטים נוספים והצעת מחיר, הנך מוזמן ליצור קשר עם מחלקת הביטוחים הרפואיים בהראל.

בברכה,
צוות שירות לקוחות
הראל ביטוח",correct,True,"The system's answer confirms the obligation to purchase insurance for a clinical trial approved by the Helsinki Committee, matching the ground truth.",
